city,country_code
ABEJORRAL                     ,CO
ABREGO                        ,CO
ACACIAS                       ,CO
ACANDI                        ,CO
ACEVEDO                       ,CO
ACHI                          ,CO
AGRADO                        ,CO
AGUA DE DIOS                  ,CO
AGUACHICA                     ,CO
AGUADAS                       ,CO
AGUAZUL                       ,CO
AGUSTIN CODAZZI               ,CO
AIPE                          ,CO
ALBANIA                       ,CO
ALCALA                        ,CO
ALGARROBO                     ,CO
ALGECIRAS                     ,CO
ALMAGUER                      ,CO
ALPUJARRA                     ,CO
ALVARADO                      ,CO
AMAGA                         ,CO
AMALFI                        ,CO
AMBALEMA                      ,CO
ANAPOIMA                      ,CO
ANCUYA                        ,CO
ANDALUCIA                     ,CO
ANDES                         ,CO
ANGOSTURA                     ,CO
ANOLAIMA                      ,CO
ANORI                         ,CO
ANSERMA                       ,CO
ANSERMANUEVO                  ,CO
ANTIOQUIA                     ,CO
ANZA                          ,CO
APARTADO                      ,CO
APIA                          ,CO
APULO                         ,CO
AQUITANIA                     ,CO
ARACATACA                     ,CO
ARANZAZU                      ,CO
ARATOCA                       ,CO
ARAUCA                        ,CO
ARAUQUITA                     ,CO
ARBOLEDA                      ,CO
ARBOLETES                     ,CO
ARCABUCO                      ,CO
ARGELIA                       ,CO
ARIGUANI                      ,CO
ARIGUANI  EL DIFICIL          ,CO
ARJONA                        ,CO
ARMENIA                       ,CO
ASTREA                        ,CO
ATACO                         ,CO
AYAPEL                        ,CO
BAGADO                        ,CO
BAHIA SOLANO                  ,CO
BALBOA                        ,CO
BARANOA                       ,CO
BARBACOAS                     ,CO
BARBOSA                       ,CO
BARICHARA                     ,CO
BARRANCABERMEJA               ,CO
BARRANCAS                     ,CO
BARRANQUILLA                  ,CO
BECERRIL                      ,CO
BELALCAZAR                    ,CO
BELEN DE LOS ANDAQUIES        ,CO
BELEN DE UMBRIA               ,CO
BELLO                         ,CO
BETANIA                       ,CO
BETULIA                       ,CO
BOAVITA                       ,CO
BOGOTA                        ,CO
BOGOTA D C                    ,CO
BOGOTA D.C.                   ,CO
BOLIVAR                       ,CO
BOSCONIA                      ,CO
BOYACA                        ,CO
BRICENO                       ,CO
BUCARAMANGA                   ,CO
BUENAVENTURA                  ,CO
BUENAVISTA                    ,CO
BUENOS AIRES                  ,CO
BUESACO                       ,CO
BUGA                          ,CO
BUGALAGRANDE                  ,CO
BUSBANZA                      ,CO
CABRERA                       ,CO
CABUYARO                      ,CO
CACHIPAY                      ,CO
CACHIRA                       ,CO
CAICEDONIA                    ,CO
CAIMITO                       ,CO
CAJAMARCA                     ,CO
CAJIBIO                       ,CO
CAJICA                        ,CO
CALAMAR                       ,CO
CALARCA                       ,CO
CALDAS                        ,CO
CALDONO                       ,CO
CALI                          ,CO
CALIMA                        ,CO
CALOTO                        ,CO
CAMPAMENTO                    ,CO
CAMPO DE LA CRUZ              ,CO
CAMPOALEGRE                   ,CO
CAMPOHERMOSO                  ,CO
CAÑASGORDAS                   ,CO
CANDELARIA                    ,CO
CAPARRAPI                     ,CO
CAPITANEJO                    ,CO
CAQUETA                       ,CO
CAQUEZA                       ,CO
CAREPA                        ,CO
CARMEN DE APICALA             ,CO
CARMEN DE BOLIVAR             ,CO
CARMEN DE CARUPA              ,CO
CARMEN DE VIBORAL             ,CO
CAROLINA                      ,CO
CARTAGENA                     ,CO
CARTAGENA DEL CHAIRA          ,CO
CARTAGO                       ,CO
CASABIANCA                    ,CO
CASTILLA LA NUEVA             ,CO
CAUCASIA                      ,CO
CERETE                        ,CO
CERRITO                       ,CO
