city,coutry code
ALMA ROSA II,DO
ALTAMIRA,DO
ARENOSO,DO
AZUA,DO
BAITOA,DO
BANI,DO
BARAHONA,DO
BAVARO,DO
BAYAGUANA,DO
BAYAHIBE,DO
BELLA VISTA,DO
BOCA CHICA,DO
BONAO,DO
CABARETE,DO
CABRERA,DO
CAMBITA GARABITO,DO
CASTANUELAS,DO
CASTILLO,DO
CAYETANO GERMOSEN,DO
CEVICOS,DO
CONSTANZA,DO
CONSUELO,DO
COTUI,DO
CRISTO REY,DO
CUTUPU,DO
DAJABON,DO
DISTRITO NACIONAL,DO
DON GREGORIO,DO
DUVERGE,DO
EL CERCADO,DO
EL FACTOR,DO
EL MAMEY,DO
EL PINO,DO
EL RUBIO,DO
EL SEIBO,DO
ELIAS PINA,DO
ENS LA PAZ,DO
ENSANCHE LA FE,DO
ESPERANZA,DO
FANTINO,DO
GASPAR HERNANDEZ,DO
GUANANICO,DO
GUATAPANAL,DO
GUAYUBIN,DO
GUERRA,DO
GURABO,DO
HAINA,DO
HATO MAYOR,DO
HERRERA,DO
HIGUEY,DO
IMBERT,DO
JANICO,DO
JARABACOA,DO
JIMA ABAJO,DO
JIMANI,DO
JUAN DE HERRERA,DO
JUAN DOLIO,DO
JUAN LOPEZ,DO
LA CANELA,DO
LA COLONIA,DO
LA HERRADURA,DO
LA ISABELA,DO
LA MATA,DO
LA MATA DE COTUI,DO
LA OTRA BANDA,DO
LA ROMANA,DO
LA VEGA,DO
LAGUNA SALADA,DO
LAS CANAS,DO
LAS CHARCAS,DO
LAS GALERAS,DO
LAS GUARANAS,DO
LAS LAGUNAS DE NISIBON,DO
LAS MATAS DE FARFAN,DO
LAS MATAS DE SANTA CRUZ,DO
LAS TERRENAS,DO
LICEY AL MEDIO,DO
LOMA DE CABRERA,DO
LOS ALMACIGOS,DO
LOS MINA,DO
LOS PEPINES,DO
LOS PRADOS,DO
LUPERON,DO
MAIMON,DO
MANOGUAYABO,DO
MAO,DO
MEJIA DE NAVARRETE,DO
MICHES,DO
MOCA,DO
MONCION,DO
MONTE CRISTI,DO
MONTE LLANO,DO
MONTE PLATA,DO
MUNICIPIO DE GUERRA,DO
NAGUA,DO
NAVARRETE,DO
NEYBA,DO
NIGUA,DO
NIZAO,DO
NUEVO SABANA YEGUA,DO
OTRA BANDA,DO
OZAMA,DO
PADRE LAS CASAS,DO
PARTIDO,DO
PAYA,DO
PEDERNALES,DO
PEDRO BRAND,DO
PEPILLO SALCEDO,DO
PERALVILLO,DO
PIEDRA BLANCA,DO
PUERTO PLATA,DO
PUNTA CANA,DO
QUISQUEYA,DO
RESTAURACION,DO
RIO SAN JUAN,DO
SABANA DE LA MAR,DO
SABANA GRANDE DE BOYA,DO
SABANA IGLESIA,DO
SABANA YEGUA,DO
SABANETA YASICA,DO
SALCEDO,DO
SAMANA,DO
SAN CRISTOBAL,DO
SAN FRANCISCO DE MACORIS,DO
SAN ISIDRO,DO
SAN JOSE DE LAS MATAS,DO
SAN JOSE DE OCOA,DO
SAN JUAN DE LA MAGUANA,DO
SAN PEDRO DE MACORIS,DO
SAN RAFAEL DEL YUMA,DO
SAN VICTOR,DO
SANCHEZ,DO
SANTIAGO,DO
SANTIAGO RODRIGUEZ,DO
SANTO DOMIGO ESTE,DO
SANTO DOMINGO,DO
SANTO DOMINGO ESTE,DO
SANTO DOMINGO NORTE,DO
SANTO DOMINGO OESTE,DO
SOSUA,DO
TAMAYO,DO
TAMBORIL,DO
TENARES,DO
UVERO ALTO,DO
VALLEJUELOS,DO
VERON,DO
VERON PUNTA CANA,DO
VICENTE NOBLE,DO
VILLA ALTAGRACIA,DO
VILLA DEL MAR,DO
VILLA FUNDACION,DO
VILLA GONZALEZ,DO
VILLA ISABELA,DO
VILLA MARIA,DO
VILLA RIVAS,DO
VILLA TAPIA,DO
VILLA VASQUEZ,DO
YAGUATE,DO
YAMASA,DO
