"name","orig_id","streetAddress","state","location","platinum"
"AL FARDAN EXCHANGE AL MAMOURA","AED420694","Shop N0.2  Rema Abdullah","Abu Dhabi","24.464267,54.386066","Y"
"AL RAZOUKI INTL EXCHANGE CO LL","AED080331","Shop No Gf A 06 Post Box 28519","Abu Dhabi","24.453884,54.377344","N"
"AL FARDAN EXCHANGE","AED421046","Al Fardan Exchange-al Forsan C","Abu Dhabi","24.453835,54.377401","N"
"AL FARDAN EXCHANGE AL MAMOURA","AJ2210502","Shop N0 2  Rema Abdullah","Abu Dhabi","24.464267,54.386066","N"
"LULU EXCHANGE SALAM STREET","AED220504","Shop No 8 Building No 114 Al N","Abu Dhabi","24.46726,54.37515","N"
"LULU INTERNATIONAL EXCHANGE","AED220021","Al Wahda Mall","Abu Dhabi","24.470368,54.372867","Y"
"AL ANSARI EXCHANGE AL WAHDA","AED010888","Sheikh Hazaa Bin Zayed Street","Abu Dhabi","24.470394,54.372877","Y"
"AL FARDAN EXCHANGE AL WAHDA MA","AED420232","Behind Al Wahda Sports Clubal","Abu Dhabi","24.470598,54.372658","Y"
"AL ANSARI EXCHANGE","AED010558","G F Buteen Co Op Society Auh","Abu Dhabi","24.462271,54.359611","Y"
"LARI EXCHANGE","AED160334","1844 Unit-3,muroor Road","Abu Dhabi","24.473521,54.376297","Y"
"AL WADAH","AED960057","Oposite Al Wadah Mall","-","24.469859,54.372337","N"
"AL FARDAN EXCHANGE AL WAHDA MA","AJ2210195","Behind Al Wahda Sports Clubal","Abu Dhabi","24.470598,54.372658","N"
"EMIRATES INDIA INTL EXCHANGE","AJ2230193","Al Wahda Mall Hazza Bin Zayed St","Abu Dhabi","24.470594,54.372178","N"
"INDEX EXCHANGE","AED140149","Bldg Dalma Mall St Delma","Abu Dhabi","24.470981,54.387371","N"
"AL ANSARI EXCHANGE EST","AED010196","Al Falah Plaza, Old Passport R","Abu Dhabi","24.478252,54.37209","Y"
"LULU INTERNATIONAL EXCHANGE","AED220438","Shop No 7 Near Madinat Al Khai","Mussafah 37","24.474796,54.370576","N"
"WALL STREET EXCHANGE CENTRE","AED020711","Bldg Emirates Post St Sultan Bin Zayed","Abu Dhabi","24.48094,54.367727","Y"
"AL ANSARI EXCHANGE","AED010943","Shop 162 G/f, Opposite Lulu Hy","Abu Dhabi","24.470132,54.351701","Y"
"LULU INTERNATIONAL EXCHANGE LL","AED220087","Khalidiya Mall,","Abu Dhabi","24.470174,54.351654","Y"
"DELMA EXCHANGE AL FALAH","AED230107","Al Falah","Abu Dhabi","24.478943,54.369247","N"
"AL FARDAN EXCHANGE KHALIDIYA","AED420573","Ground Floor, Shop Number 4 Bi","Abu Dhabi","24.470498,54.346232","Y"
"AL RAZOUKI INTL EXCHANGE CO","AED080090","Shop No2 Liwa Hotel Apartments","Abu Dhabi","24.480111,54.366325","N"
"AL ANSARI EXCHANGE","AED011560","Beside Khalidiya Spar Supermar","Abu Dhabi","24.470196,54.342486","Y"
"AL ANSARI EXCHANGE","AED010437","Abela Super Store Khalidiya Au","Abu Dhabi","24.475844,54.346385","Y"
"AL ANSARI EXCHANGE","AED012121","Khalidiya Area, Zayed 1st St.","Abu Dhabi","24.469633,54.341751","Y"
"AL FUAD EXCHANGE","AED170047","Bldg Omair Ben Yousef Shop 5 St Lewa","Abu Dhabi","24.48711,54.359674","Y"
"LULU INT L  EXCHANGE LLC","AED220229","Mushriff Mall","Abu Dhabi","24.434691,54.412562","Y"
"AL ANSARI EXCHANGE","AED011438","Shop No. 1, Electra St.","Abu Dhabi","24.490226,54.367786","Y"
"ALANSARI EXCHANGE","AED011494","2nd Floor, Mushrif Mall","Abu Dhabi","24.43443,54.412661","Y"
"LULU INTERNATIONAL EXCHANGE LL","AED220186","Madinat Zayed","Abu Dhabi","24.434261,54.413041","Y"
"LULU INTERNATIONAL EXCHANGE","AED220472","Workers City 1","Abu Dhabi","24.434261,54.413041","Y"
"REDHA AL ANSARI EXCHANGE","AED150467","Electra Street Branch","Abu Dhabi","24.491511,54.370832","Y"
"ALANSARI EXCHANGE","AED011625","Ground Floor Amin Tower","Abu Dhabi","24.488085,54.358756","Y"
"AL ANSARI EXCHANGE","AED011933","Shop # 93 Gound Floor","Abu Dhabi","24.48749,54.35747","Y"
"AL FARDAN EXCHANGE","AED420209","Amin Khouri Building Liwa Stre","Abu Dhabi","24.488252,54.358624","Y"
"AL ANSARI EXCHANGE","AED012253","Shop # 8 Ground Floor","Abu Dhabi","24.426292,54.407388","Y"
"AL DAHAB EXCHANGE","AED970056","Bldg Ad Properties St Shaikh Rashid","Abu Dhabi","24.482627,54.363819","N"
"LULU EXCHANGE AFE ELECTRA","AED220515","Electra","Abu Dhabi","24.492898,54.372829","Y"
"AL ANSARI EXCHANGE","AED011955","Zone C Ground Floor","Abu Dhabi","24.490449,54.393223","Y"
"HEAD OFFICE","AJ2170022","Opp Madinat Zayed Shopping Centre","Abu Dhabi","24.483266,54.364874","N"
"LARI EXCHANGE ESTABLISHMENT","AED160059","Madinat Zayed Shopping Centre","Abu Dhabi","24.48325,54.364666","N"
"LARI EXCHANGE","AED160378","Saif Bin Darwish Building","Abu Dhabi","24.489342,54.358242","Y"
