"name","orig_id","streetAddress","state","location","platinum"
"MUN PUNTO PAGO PATIO OLMOS","AAN288909","Velez Sarsfield 363 Patio Olmos Gond 250","Cordoba","-31.419973,-64.188519","N"
"COOPECOR AGENCIA 093","AAN216014","Hipolito Irigoyen 8","Cordoba","-31.420343,-64.188758","N"
"DA.PATIO OLMOS","AAN377845","Velez Sarsfield 398","Cordoba","-31.41979,-64.188837","N"
"DEO-MARLE","AAN340478","Belgrano 343","Cordoba","-31.418506,-64.189662","N"
"DA.VELEZ SARSFIELD","AAN377724","Velez Sarsfield 286","Cordoba","-31.41834,-64.188271","N"
"EL MAGO DE LA SUERTE","AAN361994","Avenida Belgrano 278","Cordoba","-31.417472,-64.189483","N"
"DA.CASEROS","AAN378022","Av.velez Sarsfield 168","Cordoba","-31.41751,-64.187748","N"
"DA.ILLIA","AAN378000","Bv Illia 53","Cordoba","-31.420685,-64.185396","N"
"C.S. CORDOBA V","AAN313232","Buenos Aires 505","Cordoba","-31.422524,-64.185256","N"
"C.S. CORDOBA III","AAN286491","27 De Abril 305","Cordoba","-31.415927,-64.188626","N"
"CLARO-MERCADO SUD","AAN232128","Bv. Illia 155 Puesto 7","Cordoba","-31.4214,-64.18409","N"
"DA.27 DE ABRIL","AAN377922","27 De Abril 340","Cordoba","-31.415756,-64.189036","N"
"DA.OPTICA","AAN378044","Belgrano 61","Cordoba","-31.415392,-64.188323","N"
"DA.VERDU","AAN377944","Av Velez Sarsfield 34","Cordoba","-31.41557,-64.187069","N"
"DA.GRAL PAZ","AAN378066","General Paz 31","Cordoba","-31.414836,-64.186689","N"
"PASAJE CENTRAL","AAN390857","Dean Funes 52 Pb Loc J Galeria Pje Ctral","Cordoba","-31.415802,-64.184497","N"
"DA.TUCUMAN","AAN411703","Tucuman 128 Pb","Cordoba","-31.41338,-64.187452","N"
"DA.TUCUMAN","AAN420185","Tucuman 128 Pb","Cordoba","-31.41338,-64.187452","N"
"NENE (CRS)","AAN318644","Obispo Salguero 698","Cordoba","-31.425997,-64.184491","N"
"LA ESCALERITA","AAN349213","Bulevard Chacabuco 687 Local 23","Cordoba","-31.425375,-64.183365","N"
"SAUL HERMANOS DE COCO SAUL","AAN390693","Chacabuco 102","Cordoba","-31.418338,-64.180734","N"
"MAXIKIOSCO 24 HRS","AAN236210","Puyrredon 69","Cordoba","-31.427138,-64.189604","N"
"G BARUJEL","AAN411307","Rivadavia 97","Cordoba","-31.415275,-64.182435","N"
"MUN PUNTO PAGO LARRANAGA","AAN288965","Larranaga 115 Local2","Cordoba","-31.427215,-64.186873","N"
"MUN PUNTO PAGO 25 DE MAYO","AAN288899","25 De Mayo 140","Cordoba","-31.415637,-64.181708","N"
"DA.COLON","AAN377812","Av. Colon 167 Pb A O 1","Cordoba","-31.413162,-64.185313","N"
"DA.CINE","AAN377856","General Paz 186","Cordoba","-31.412976,-64.185716","N"
"CORREO CORDOBA - C","AAN019280","Av. Colon 210","Cordoba","-31.412816,-64.185825","N"
"MUN PUNTO PAGO ROSARIO DE SANTA FE","AAN417435","Rosario De Santa Fe 292","Cordoba","-31.417226,-64.180356","N"
"MUN PUNTO PAGO CINERAMA","AAN394884","Av Colon 335/337","Cordoba","-31.412353,-64.18798","N"
"DA.GALERIA","AAN377713","25 De Mayo 145","Cordoba","-31.415227,-64.181602","N"
"DA.RIVERA","AAN378088","Av Colon 82","Cordoba","-31.413343,-64.184088","N"
