"name","orig_id","streetAddress","state","location","platinum"
"AUSTRALIA POST","AAU316116","141 King William St","SA","-34.926735,138.599611","N"
"FIRST EASTERN FX ADELAIDE","AAU592819","Shop 30 Central Market Arcade","SA","-34.92939,138.597985","N"
"CURRENCY EXCHANGER","AR6062334","418  147 Pirie St","SA","-34.92592,138.60516","N"
"UNIMONI PTY LTD","AAU200318","80 King William Street","SA","-34.92407,138.59996","N"
"AUSTRALIA POST","AAU316776","7 Halifax Street","SA","-34.933058,138.600702","N"
"RUNDLE MALL PLAZA NEWSAGENCY","AAU343352","Shop Lg6 50 Rundle Mall","SA","-34.922804,138.601583","N"
"TRAVELEX","AAU001702","Shop 4, Beehive Corner Rundle","SA","-34.922759,138.599828","N"
"UNIMONI PTY LTD","AAU200307","33 King William Street","SA","-34.9228,138.59913","N"
"AUSTRALIA POST","AAU316039","272 Gouger Street","SA","-34.930412,138.588709","N"
"AUSTRALIA POST","AAU316886","190 Hutt St","SA","-34.931861,138.612535","N"
"AUSTRALIA POST","AAU315708","T59 City Cross","SA","-34.920598,138.617374","N"
"AUSTRALIA POST","AAU317337","Michael Matthews Shop 1, 168 Melbourne","SA","-34.907838,138.605342","N"
"AUSTRALIA POST","AAU636733","47 Kensington Rd","SA","-34.92759,138.626863","N"
"AUSTRALIA POST","AAU317821","Shop 1 Unley Shopping Centre","SA","-34.95073,138.606525","N"
"AUSTRALIA POST","AAU317326","166 Tynte St","SA","-34.906185,138.594063","N"
"AUSTRALIA POST","AAU921545","142a Goodwood Road","SA","-34.951908,138.589306","N"
"AUSTRALIA POST","AAU925121","179 King William Road","SA","-34.954414,138.600239","N"
"AUSTRALIA POST","AAU316062","Shop 13 180 Glen Osmond Rd","SA","-34.947695,138.626436","N"
"AUSTRALIA POST","AAU316073","Shop 13 Arkaba Village Centre","SA","-34.947554,138.626849","N"
"AUSTRALIA POST","AAU317348","Shops 23 24 The Parkade","SA","-34.921223,138.635562","N"
"AUSTRALIA POST","AAU631046","Shop 1 Avenues Shopping Centre","SA","-34.910046,138.62899","N"
"AUSTRALIA POST","AAU317799","Torrensville Plaza","SA","-34.924505,138.562442","N"
"AUSTRALIA POST","AAU633763","160 Sir Donald Bradman Drive","SA","-34.932151,138.561697","N"
"COWANDILLA NEWSAGENCY","AAU385778","108 Bagot Ave","SA","-34.932067,138.561192","N"
"AUSTRALIA POST","AAU315830","92 Walkerville Terrace","SA","-34.89644,138.615969","N"
"AUSTRALIA POST","AAU925132","398 Greenhill Road","SA","-34.941796,138.642082","N"
"AUSTRALIA POST","AAU928113","Shop 1 467 Fullarton Road","SA","-34.96066,138.625995","N"
"AUSTRALIA POST","AAU316259","Shop 6 Brompton Shopping Centre","SA","-34.894308,138.579611","N"
"KURRALTA PARK NEWSAGENCY","AAU781185","Shop 6 153 Anzac Highway","SA","-34.956208,138.565643","N"
"AUSTRALIA POST","AAU630870","50 60 North East Rd","SA","-34.888938,138.614204","N"
"AUSTRALIA POST","AAU921611","259 Kensington Road","SA","-34.926325,138.650805","N"
"AUSTRALIA POST","AAU339393","Shop 6 715 South Rd","SA","-34.962921,138.572885","N"
"AUSTRALIA POST","AAU921600","Shop 1 144 150 Prospect Road","SA","-34.884817,138.593518","N"
"AUSTRALIA POST","AAU317106","Shop 4 Marden Shopping Centre","SA","-34.895579,138.638505","N"
"AUSTRALIA POST","AAU634016","365 B Glen Osmond Rd","SA","-34.9599,138.641306","N"
"AUSTRALIA POST","AAU317041","Linden Park Pharmacy","SA","-34.947415,138.651688","N"
"AUSTRALIA POST","AAU316996","97 Belair Rd","SA","-34.975725,138.610434","N"
"AUSTRALIA POST","AAU923064","502 Glynburn Road","SA","-34.93664,138.660261","N"
"AUSTRALIA POST","AAU924142","194a Grange Road","SA","-34.90496,138.545962","N"
"AUSTRALIA POST","AAU316930","Shop B Erindale Shopping Centre","SA","-34.925723,138.663055","N"
"AUSTRALIA POST","AAU316567","Shop 7 Firle Plaza","SA","-34.905679,138.656671","N"
"AUSTRALIA POST","AAU339238","Shop 3 392 Marion Road","VIC","-34.962798,138.554246","N"
"AUSTRALIA POST","AAU315753","544 Goodwood Road","SA","-34.979921,138.591562","N"
"AUSTRALIA POST","AAU315807","409 Henley Beach Rd","SA","-34.927822,138.536582","N"
"AUSTRALIA POST","AAU317546","Shops 10 11 Northpark Shopping Centre","SA","-34.875807,138.601848","N"
"AUSTRALIA POST","AAU630254","Shop 3,50/52 Og Road","SA","-34.879366,138.635456","N"
"AUSTRALIA POST","AAU316358","Shop 11 Castle Plaza Shopping Centre","SA","-34.980288,138.571984","N"
"AUSTRALIA POST","AAU317700","Shop 9 Forbes Shopping Centre","SA","-34.976897,138.556218","N"
"AUSTRALIA POST","AAU631343","66 Reid Ave","SA","-34.8973,138.664291","N"
"AUSTRALIA POST","AAU316578","Shop 62 Findon Shopping Centre","SA","-34.904614,138.531154","N"
"AUSTRALIA POST","AAU925714","556 Magill Road","SA","-34.913159,138.674738","N"
"AUSTRALIA POST","AAU920797","Shop 21 Churchill Centre","SA","-34.866031,138.582091","N"
"AUSTRALIA POST","AAU316721","132 Muller Road","SA","-34.870592,138.635082","N"
"AUSTRALIA POST","AAU316303","Shop 5 122 Morphett Road","SA","-34.966299,138.536402","N"
"AUSTRALIA POST","AAU637174","Shop 5 90-94 St Bernards Road","SA","-34.903576,138.675022","N"
"KHAWAR HOMEWARE WHOLESALE PTY","AAU107589","U 1/2 371 Prospect Rd","SA","-34.862088,138.592758","N"
"AUSTRALIA POST","AAU632487","57 A Bray Street","SA","-34.980622,138.549019","N"
"AUSTRALIA POST","AAU316963","Hanson Road","SA","-34.873112,138.549303","N"
"AUSTRALIA POST","AAU335849","Shop 3 Clearview Plaza","SA","-34.858625,138.617925","N"
"AUSTRALIA POST","AAU339502","866 Port Road","SA","-34.880846,138.534558","N"
"AUSTRALIA POST","AAU922591","6 Main Road","SA","-34.998536,138.622453","N"
"AUSTRALIA POST","AAU316710","447-465 Tapleys Hill Rd","SA","-34.913695,138.514446","N"
"AUSTRALIA POST","AAU316314","620 Lower North East Road","SA","-34.877949,138.664328","N"
"AUSTRALIA POST","AAU638010","Pasadena Shopping Centre","SA","-35.001225,138.590225","N"
"AUSTRALIA POST","AAU928168","Shop 6 129 Ridley Grove","SA","-34.864035,138.557713","N"
"AUSTRALIA POST","AAU638207","Enfield Plaza Shopping Centre","SA","-34.853036,138.601141","N"
"AUSTRALIA POST","AAU316051","Shop 4 Park Holme Shopping Centre","SA","-34.994709,138.556434","N"
"HARISH KUMAR MANGLA AND MADHU BALA","AAU593371","Shop 9 445 449 Main North Road","SA","-34.852646,138.599211","N"
"IBRAHIM SUPER STORE","AR6061948","463 Prospect Road","SA","-34.85294,138.59204","N"
"AUSTRALIA POST","AAU317205","3 Denham Avenue","SA","-34.988191,138.539069","N"
"AUSTRALIA POST","AAU317887","693 Burbridge Road","SA","-34.93683,138.50584","N"
"AUSTRALIA POST","AAU316798","47 Henley Beach Road","SA","-34.925686,138.500896","N"
"AUSTRALIA POST","AAU317667","U 5 173 Tapleys Hill Rd","SA","-34.883265,138.513423","N"
"AUSTRALIA POST","AAU316820","Gilles Plains Shopping Centre Shop 26","SA","-34.856408,138.655599","N"
"BAY NEWSAGENCY & CARD CENTRE","AAU388782","122 Jetty Rd","SA","-34.980281,138.517133","N"
"AUSTRALIA POST","AAU315786","Qhop 1  340 Seaview Road","SA","-34.918899,138.494534","N"
