"name","orig_id","streetAddress","state","location","platinum"
"FALCON","AHE350156","Falconplein 1 And Oude Leeuwenrui 2","Antwerp","51.226711,4.405305","Y"
"JEHNABIN TRADERS","AHE151980","Korte Schipperskapelstraat 12","Antwerp","51.226093,4.402633","N"
"AKRAN","AHE153816","De Coninckplein 17","Antwerp","51.221627,4.420142","Y"
"PAPYRUS","AHE173133","Waalsekaai 2","Antwerp","51.212633,4.39234","N"
"SOMMA","AHE173265","Van Stralenstraat 6","Antwerp","51.219719,4.418897","N"
"DAMBRUGGE","AHE350145","Dambruggestraat 5","Antwerp","51.218875,4.423446","Y"
"MONEY FOR AFRICA","AHE342467","Houwerstraat 3","Antwerpen","51.225677,4.416378","N"
"ANTWERP SUPER STORE","AHE157700","Gemeentestraat 35","Antwerpen","51.21931,4.42036","N"
"M PRESS","AHE174640","Koningin Astridplein 35","Antwerpen","51.21813,4.42033","N"
"P.S. TRADING INTERNATIONAL","AHE174387","Van Wesenbekestraat 7","Antwerpen","51.219443,4.420561","N"
"ANADOLU CVBA","AHE170536","Van Kerckhovenstraat 39","Antwerp","51.226039,4.424371","Y"
"RAJIV CHOUHAN","AHE174936","Lange Kievitstraat 49","Antwerpen","51.21311,4.41913","N"
"BUDGET FOOD MARKET","AHE175487","Sint Gummarusstraat 35","Antwerp","51.22501,4.42065","N"
"DAGBLADHANDEL HET MUSEUM","AHE154729","Verschansingstraat 25","Antwerp","51.208297,4.391197","N"
"RAFAEL SAMIR  AFGEKORT   T AND S","AHE173881","Dambruggestraat 10","Antwerp","51.21897,4.42379","N"
"ZM MALIK","AHE159692","Dambruggestraat 203","Antwerpen","51.22534,4.42173","N"
"TECHPHONE","AHE156370","Carnotstraat 43","Antwerpen","51.218724,4.423907","N"
"AWAN INTERNATIONAL","AHE156392","Cogelsplein 27","Antwerpen","51.207746,4.413105","N"
"AYUBI AFGHAN","AHE159823","Offerandestraat 12","Antwerpen","51.21957,4.424","N"
"TAYIB WINKEL","AHE175081","Diepestraat 46","Antwerp","51.224,4.42304","N"
"STEP BY STEP","AHE340993","Diepestraat 49","Antwerpen","51.22425,4.42313","N"
"DE VRIJGEVIGHEID","AHE153827","Diepestraat 64","Antwerp","51.223882,4.42383","N"
"S S I","AHE174837","Carnotstraat 23","Antwerpen","51.2182,4.42529","N"
"TANMAN MARKT","AHE174529","Brialmontlei 1357","Antwerpen","51.2098,4.42047","N"
"EUROTRANSFER","AHE340102","Diepestraat 153","Antwerpen","51.22195,4.42627","N"
"AROFA TELECOM","AHE172033","Cuylitsstraat 1","Antwerpen","51.20489,4.394944","N"
"SHERA MULTANI","AHE341873","Stationstraat 52 Bus A","Antwerpen","51.22134,4.42679","N"
"SMART TECHNO","AHE341851","Lange Beeldekebsstraat 126","Antwerpen","51.22134,4.42679","N"
"IZMIR","AHE008882","Ketsstraat 2","Antwerp","51.214708,4.425842","N"
"FSC","AHE159801","Offerandestraat 100","Antwerpen","51.221031,4.42711","N"
"KOLBE","AHE175762","Offerandestraat 104","Antwerp","51.22107,4.42721","N"
"CITY EXPRESS SUPERMARKT","AHE170482","Montignystraat 2","Antwerp","51.205097,4.392154","N"
