"name","orig_id","streetAddress","state","location","platinum"
"LOJA WU LP BRASILIA II","ARE632019","Shopping Venancio  Shcs 8 50 E","Distrito Federal","-15.794819,-47.89269","Y"
"FUJIOKA 047 T25","ARE654679","Sdn Conj A Loja T25 Terreo Cnb","Distrito Federal","-15.791295,-47.883132","N"
"DAYCAMBIO SHOPPING LIBERTY MALL","ARE690165","St Scn Quadra 02 Bl D Sn","Distrito Federal","-15.786937,-47.884286","N"
"AGK BRASILIA","ARE655438","Shis Cl Qi 11 Bloco O Loja 13","Distrito Federal","-15.836856,-47.867328","Y"
"DAYCAMBIO SHOPPING GILBERTO SALOMAO","ARE690396","Shis   Qi 05 Bloco K","Distrito Federal","-15.845998,-47.896967","N"
"LOJA WU  BRASILIA","ARE630501","Sai/so Trecho 1 Area 6580   Gu","Distrito Federal","-15.83321,-47.955384","Y"
"DAYCAMBIO PARK SHOPPING BRASILIA","ARE691782","St Sai So 6580   Loja 290 291   Guara","Distrito Federal","-15.83375,-47.95581","N"
"DAYCAMBIO BRASILIA SHOP  IGUATEMI","ARE691759","St Shin Ca 04   Bloco A Loja 03c","Distrito Federal","-15.720944,-47.885922","N"
"LOJA WU TAGUATINGA","ARE632426","Qs-03 Rua 420 Area Especial Lt","Distrito Federal","-15.845406,-48.040835","Y"
"DAYCAMBIO AGUAS CLARAS","ARE691793","Avenida Das Araucarias","Distrito Federal","-15.84171,-48.02421","N"
"FUJIOKA 021 TAGUATINGA SHOPPIN","ARE654646","Qs 01 Rua 210 Lote 40","Distrito Federal","-15.841269,-48.043069","N"
"FUJIOKA 101 JK SHOPPING","ARE654800","Qnm Qd 34 Area Especial 01 Ljs 156 157 E","Distrito Federal","-15.8096,-48.093962","N"
"FUJIOKA 087 RECANTO DAS EMAS","ARE654756","Av Recanto Das Emas Qd 103 Lt","Distrito Federal","-15.904089,-48.066763","N"
"FUJIOKA 104 SANTA MARIA","ARE654822","Setor Norte Comercio Local 114","Distrito Federal","-16.006137,-48.000903","N"
"FUJIOKA 086 VALPARAISO ENTORNO BSB","ARE655197","Rod Br 040 Gleba F Km 12","Goias","-16.079213,-47.984258","N"
"FUJIOKA 071 AGUAS LINDAS ENTOR","ARE655098","Av Jk Qd 21 Lt 05 Jardim Brasi","Goias","-15.727508,-48.284537","N"
"LOJA WU RJ CENTRO","ARE631535","Av. Rio Branco, 156, Lojas G-1","Rio De Janeiro","-22.906814,-43.177492","Y"
"LOJA WU PACO DO OUVIDOR","ARE632240","Rua Do Ouvidor, 161 - Loja 104","Rio De Janeiro","-22.904182,-43.179501","Y"
"FUJIOKA 034 RIO VERDE INTERIOR","ARE654998","Av Presidente Vargas 550 Centr","Goias","-22.901455,-43.180878","N"
"LOJA WU RJ NITEROI","ARE631809","Av Visconde Do Rio Branco 360","Rio De Janeiro","-22.891878,-43.124524","Y"
"4 CANTOS   PLAZA SHOPPING","ARE657441","Rua Xv De Novembro 8 Loja 180","Rio De Janeiro","-22.896462,-43.123893","N"
"CONFIDENCE NITEROI PLAZA SH","ARE624364","Rua Xv De Novembro 8","Rio De Janeiro","-22.895726,-43.124046","N"
"DAYCAMBIO DAYCOVAL RIO SUL","ARE690033","Rua Lauro Muller 116","Rio De Janeiro","-22.955311,-43.17528","N"
"LOJA WU RJ COPACABANA II","ARE631140","Av Ns Sra De Copacabana 386","Rio De Janeiro","-22.967199,-43.18085","Y"
"BELVITUR RIO SUL","ARE691517","Avenida Lauro Sodre 445","Rio De Janeiro","-22.957201,-43.176633","N"
"4 CANTOS   ICARAI","ARE657429","Rua Otavio Carneiro 143 Loja 1","Rio De Janeiro","-22.905436,-43.108785","N"
"4 CANTOS   SHOPPING TIJUCA","ARE657452","Avenida Maracana 987 Loja 49","Rio De Janeiro","-22.921502,-43.235186","N"
"4 CANTOS COPACABANA","ARE657506","Rua Barata Ribeiro 370  Loja E","Rio De Janeiro","-22.967927,-43.185096","N"
"LOJA WU COPACABANA","ARE630600","Rua Francisco Otaviano 20 Lj","Rio De Janeiro","-22.986457,-43.189324","Y"
"LOJA WU LP RJ GAVEA","ARE632020","Rua Marques De Sao Vicente 52","Rio De Janeiro","-22.975241,-43.228428","Y"
"4 CANTOS   NORTE SHOPPING","ARE657496","Av Dom Helder Camara 5332 Loja","Rio De Janeiro","-22.886192,-43.282828","N"
"4 CANTOS   ILHA PLAZA","ARE657463","Av Maestro Paulo Da Silva 400","Rio De Janeiro","-22.801911,-43.201676","N"
"4 CANTOS   SHOPPING MULTICENTE","ARE657418","Estrada Francisco Da Cruz Nune","Rio De Janeiro","-22.941075,-43.056199","N"
"CONFIDENCE LOJA BARRA DA TIJUC","ARE624540","Av Das Americas 3255","Rio De Janeiro","-23.000513,-43.342765","Y"
"LOJA WU RJ BARRA DA TIJUCA","ARE631766","Av Das Americas 3555","Rio De Janeiro","-23.000933,-43.349705","Y"
"DAYCAMBIO SHOPPING METROPOLITANO","ARE690208","Av N S 135 Paa 10292","Rio De Janeiro","-22.971241,-43.372923","N"
"LOJA WU NOVA IGUACU","ARE632305","Avenida Governador Roberto Sil","Rio De Janeiro","-22.753225,-43.454251","Y"
"DAYCAMBIO SHOPPING AMERICAS","ARE690187","Av Das Americas 15500","Rio De Janeiro","-23.011122,-43.460963","N"
"CONFIDENCE PETROPOLIS","ARE624298","Rua Dr Nelson De Sa Earp 95","Rio De Janeiro","-22.511398,-43.180945","N"
"DGV TURISMO LTDA - FILIAL","ARE659014","Pc Da Se  N.398 Edificio Themis Box 03","BA","-12.972935,-38.512875","N"
"LOJA WU SALVADOR","ARE632251","Rua Portao Da Piedade, 155","Bahia","-12.982819,-38.513721","N"
"DAYCAMBIO SHOPPING BELA VISTA","ARE690110","Al Euvaldo Luz 92 Piso 1","Bahia","-12.970223,-38.474137","N"
"ITAIGARA TURISMO LTDA","ARE658068","Rua Rubens Guelli  N 135","-","-12.99542,-38.471276","N"
"LOJA EVIDENCE CAMBIO","ARE691562","Avenida Princesa Isabel 38  Loja 03","Bahia","-13.003151,-38.531829","N"
"SALVADOR CAMBIO","ARE691551","Avenida Antonio Carlos Magalhaes 656","Bahia","-12.996468,-38.463359","N"
"SIMPLE CAMBIO","ARE657946","Av Tancredo Neves N 2227 Camin","-","-12.977009,-38.458294","N"
"DAYCAMBIO SHOPPING PARALELA","ARE690121","Av Luiz Viana 8544","Bahia","-12.936688,-38.394586","N"
"LOJA PARK SHOPPING SALVADOR","ARE691847","Avenida Santos Dumont 4360","BA","-12.89895,-38.33186","N"
"DAYCAMBIO PQ SHOPPING BAHIA","ARE691375","Av Santos Dumont 4360","Bahia","-12.88793,-38.318188","N"
"LOJA WU LIBERDADE","ARE630480","Praca Carlos Gomes 152","Sao Paulo","-23.553956,-46.635885","Y"
"WU BRASIL TESTES CARTAO","ARE658992","Testes Cartao","Sao Paulo","-23.555771,-46.639557","N"
"PM LJ SP WLR AG","ARE658309","Rua Beijamim Constant 123 127","Sao Paulo","-23.549904,-46.635314","N"
"LOJA WU BARAO DE ITAPETININGA","ARE632185","Rua Conselheiro Crispiniano 151","Sao Paulo","-23.545699,-46.639762","Y"
"CONFIDENCE NOVA BARAO","ARE624551","Rua Barao De Itapetininga 37","Sao Paulo","-23.545484,-46.639723","Y"
"LOJA WU SP SAO BENTO","ARE631524","Rua Miguel Couto, 26","Sao Paulo","-23.546083,-46.635702","Y"
"DAYPAY EXPRESS NOVA BARAO","ARE691814","R Br De Itapetininga 37   Loja","-","-23.545603,-46.639637","N"
"LOJA WU 25 DE MARCO","ARE632152","Praca Ragueb Chofih 414","Sao Paulo","-23.544873,-46.631005","Y"
"CAMBIO UDI SP","ARE691090","R  Vinte E Quatro De Maio 77   Lj 05","Sao Paulo","-23.544575,-46.639494","N"
"HEAD WAY CAMBIO E TURISMO","ARE629402","Rua Frei Caneca 569","Sao Paulo","-23.5542,-46.652496","N"
"DAYCAMBIO PAULISTA TOP CENTER","ARE690747","Av Paulista 854  Edif Cd Top C","Sao Paulo","-23.565834,-46.65084","N"
"ORION CAMBIO   AUGUSTA","ARE690781","Rua Augusta 1039  Loja","Sao Paulo","-23.553772,-46.655417","N"
"LOJA WU PAULISTA","ARE632316","Avenida Paulista 2001","Sao Paulo","-23.559364,-46.659226","Y"
"PM LJ SP INTERTRAVEL","ARE658310","Rua Comendador Afonso Kherlaki","Sao Paulo","-23.541688,-46.633695","N"
"PM LJ SP INTERTRAVEL","ARE632570","Rua Comendador Afonso Kherlakian 79","Sao Paulo","-23.541688,-46.633695","N"
"DAYCAMBIO PAULISTA GALERIA 2001","ARE690088","Av Paulista 2001","Sao Paulo","-23.559282,-46.659181","N"
"LOJA WU LP SP BOM RETIRO","ARE632008","Rua Rodrigues Dos Santos 91","Sao Paulo","-23.53893,-46.620874","Y"
"LOJAO DO BRAS MATRIZ","ARE627509","Largo Da Concordia 88","Sao Paulo","-23.54184,-46.616163","Y"
"LOJA WU BRAS I","ARE630897","Rua Joao Teodoro 1122   Bras","Sao Paulo","-23.535509,-46.621729","Y"
"LOJA WU BRAS II","ARE631018","Rua Joao Teodoro 1122   Bras","Sao Paulo","-23.535102,-46.621819","Y"
"FAMILY TOUR VIAGENS E TURISMO","ARE658321","Rua Da Juta 301 Sala 135 136","Sao Paulo","-23.539528,-46.619762","N"
"FAMILY TOUR VIAGENS E TURISMO","ARE631315","Rua Da Juta, 301 Sala 135/136","Sao Paulo","-23.539528,-46.619762","N"
"DAYCAMBIO DAYCOVAL BOM RETIRO","ARE690055","R Graca 200","Sao Paulo","-23.531038,-46.638139","N"
"PM LJ SP SENHOR CAMBIO","ARE632602","Rua Pamplona 1551 Loja 16","Sao Paulo","-23.570188,-46.661808","N"
"PM LJ SP SENHOR CAMBIO","ARE658507","Rua Pamplona 1551 Loja 16","Sao Paulo","-23.570188,-46.661808","N"
"LOJA WU BRESSER","ARE632196","Rua Bresser, 1415","Sao Paulo","-23.542385,-46.6071","Y"
