"name","orig_id","streetAddress","state","location","platinum"
"GEORGE'S CONVENIENCE","ACN284742","630 Peter Robertson Blvd","ON","43.740314,-79.760183","Y"
"METRO #083","ACN225727","20 Great Lakes Dr","ON","43.731223,-79.76299","N"
"KITCHEN FOOD FAIR","ACN303762","428 Rutherford Road N","ON","43.713865,-79.766555","N"
"HASTY MARKET","ACN296303","27 Ruth Ave #02","ON","43.722663,-79.786963","N"
"HASTY MARKET","ACN339303","27 Ruth Ave #02","ON","43.722663,-79.786963","N"
"2219528 ONTARIO INC","ACN240698","221-164 Sandalwood Parkway East","ON","43.727677,-79.796366","Y"
"HASTY MARKET #397","ACN282773","230-sandalwood Pkwy E U#4","ON","43.730581,-79.790044","N"
"CONESTOGA CONVENIENCE","ACN293135","380 Bovaird Dr","ON","43.714135,-79.78047","N"
"BECKER'S CONVENIENCE STORE","ACN323825","3005 Charleston Sideroad","ON","43.712904,-79.745292","N"
"SCOTIABANK #25882","ACN286832","10645 Bramalea Road","ON","43.75621,-79.759814","N"
"METRO #360","ACN225783","180 Sandalwood Pkwy","ON","43.728626,-79.796491","N"
"LAKE CONVENIENCE","ACN294433","2 Philosphers Trail","ON","43.749656,-79.738772","N"
"CASH MONEY #1547","ACN107654","372 Queen Street","ON","43.704173,-79.740967","Y"
"G MARKET LTD","ACN335343","10 Dewside Dr Unit 16","ON","43.757007,-79.761815","N"
"2711367 ONTARIO INC","ACN325717","10 Dewside Drive Unit 12","ON","43.757013,-79.761813","N"
"HASTY MARKET","ACN264096","5-1098 Peter Robertson Blvd","ON","43.758089,-79.737272","Y"
"CASH MONEY #1511","ACN047077","10 Gillingham Dr","ON","43.703621,-79.784707","Y"
"ROYAL PAAN","ACN295072","2260 Bovaird Dr E","ON","43.751341,-79.738441","N"
"MONEY MART #0819","ACN018619","267 Queen St E Unit C","ON","43.701866,-79.74186","Y"
"MONEY MART #1825","ACN198568","25 Peal Ctr Dr","ON","43.71608,-79.720814","Y"
"CASH MONEY #1645","ACN263479","1771 Queen Street East","ON","43.724722,-79.716322","Y"
"DR CELL","ACN331833","227 Vodden St E","ON","43.703747,-79.757609","N"
"SCOTIABANK #63552","ACN202704","66 Quarry Edge Dr","ON","43.707837,-79.783591","N"
"CASH 4 YOU #027","ACN236266","10015 Hurontario St #3","ON","43.707518,-79.785579","N"
"MONEY MART #0893","ACN126552","10906 Hurontario Street","ON","43.724793,-79.813695","Y"
"FOOD BASICS #904","ACN233812","227 Vodden St","ON","43.701643,-79.756262","N"
