"name","orig_id","streetAddress","state","location","platinum"
"Fibesco Laden","ASW064321","Elsaesserstrasse 14","BS","47.568471,7.58033","Y"
"CORNER SERVICES BASEL","ASW150253","Untere Rebgasse 18","Basel","47.562654,7.592341","N"
"SMALL WORLD FS   BASEL","ASW300029","Klingentalgraben 37","BS","47.564268,7.591107","N"
"STADTFILIALE BASEL","ASW002853","Aeschenvorstadt 2","BS","47.553364,7.592238","N"
"MIGROS DRACHENZENTER","ASW064309","Aeschenvorstadt 24","BS","47.552986,7.59266","N"
"SBB CFF FFS","ASW000037","Centralbahnstrasse 20","BS","47.54736,7.59049","Y"
"TRAVELEX BASEL BADISCHER BAHNH","ASW070117","Schwarzwaldallee 200","BS","47.567322,7.606848","N"
"ME MONEY EXCHANGE GMBH BASEL","ASW290030","Voltastrasse 76","BS","47.571,7.57414","N"
"SBB CFF FFS","ASW000862","Amthausstrasse 1","SO","47.48862,7.61103","Y"
"SBB CFF FFS","ASW000697","Bahnhofplatz 1","BL","47.48452,7.73142","Y"
"SBB CFF FFS","ASW000488","Bahnhofplatz 1","AG","47.55651,7.78399","Y"
"SBB CFF FFS","ASW001016","Bahnhofstrasse 45","BL","47.41933,7.50258","Y"
"SBB CFF FFS","ASW001160","Bahnhofstrasse 12","BL","47.4628,7.81228","Y"
"SBB CFF FFS","ASW000367","Place De La Gare 11","JU","47.36206,7.34996","Y"
"SBB CFF FFS","ASW001609","Bahnhof","SO","47.28548,7.71035","Y"
"SBB CFF FFS","ASW001401","Bahnhofplatz 2","AG","47.50738,8.01314","Y"
"SBB CFF FFS","ASW000455","Bahnhofstrasse 22","SO","47.35199,7.90761","Y"
"SBB CFF FFS","ASW001061","Avenue De La Gare 22","BE","47.28084,7.38126","Y"
"OEBB BAHNHOF BALSTHAL","ASW003425","Bahnhofplatz 1","-","47.313235,7.694585","N"
"SBB CFF FFS","ASW000280","Bahnhofplatz 1","AG","47.39138,8.04956","Y"
"SBB CFF FFS","ASW000532","Dornacherstrasse 48","SO","47.20423,7.54245","Y"
"SBB CFF FFS","ASW001258","Untere Grabenstrasse 28","AG","47.28807,7.94316","Y"
"SEVENTOURS S DURAN","ASW064419","Solothurnerstrasse 9","SO","47.350952,7.893893","N"
"SBB CFF FFS","ASW000675","Eisenbahnstrasse 8","BE","47.21729,7.78492","Y"
"SBB CFF FFS","ASW000608","Place De La Gare 4","JU","47.42103,7.07968","Y"
"GRENCHEN SUED","ASW000927","Bahnhofstrasse 65","SO","47.18878,7.39812","Y"
"SBB CFF FFS","ASW000828","Bahnhofplatz 2","AG","47.48086,8.20872","Y"
"SBB CFF FFS","ASW000686","Bahnhofstrasse 50","AG","47.39111,8.17034","Y"
"SOLO CITY SHOP","ASW064738","Luterbachstrasse 12","Soleure","47.208177,7.5589","N"
"SOLO CITY SHOP KIOSK","ASW063616","Luterbachstrasse 12","SO","47.208177,7.5589","N"
"KIOSK CRUZ ACARO","ASW064145","Allmendstrasse 31a","SO","47.209177,7.521951","N"
"DART BAR OBERENTFELDEN","ASW065003","Schinhuetweg 10","Argovia","47.359905,8.052786","N"
"SBB CFF FFS","ASW001610","Lagerstrasse 9","BE","47.18807,7.70105","N"
"UTZENSTORF BLS","ASW003393","Bahnhofstrasse 24","BE","47.129522,7.553709","N"
"SMALL WORLD FS   SCHLIEREN","ASW300128","Badenerstrasse 1","ZH","47.39319,8.19421","N"
"SBB CFF FFS","ASW000268","Bahnhofplatz 10 A","BE","46.94892,7.439924","Y"
"SMALL WORLD FS   BERN","ASW300106","Spitalgasse 27","BE","46.947969,7.44206","N"
"BERN BLS","ASW003294","Genfergasse 11","BE","46.95011,7.441856","N"
"CITY SHOP BERN","ASW064749","Rodtmattstrasse 86","Bern","46.959638,7.45815","N"
"WEISSENBUEHL BLS","ASW003304","Suedbahnhofstrasse 14","BE","46.935822,7.430081","N"
"BLS","ASW003085","Bahnhofsareal 1","BE","46.956834,7.481426","N"
"BLS","ASW002963","Muehledorfstrasse 20","BE","46.945792,7.389705","Y"
"KIOSK BUEMPLIZ","ASW061504","Bruennenstrasse 110","BE","46.941879,7.390261","Y"
"KONIZ BLS","ASW003359","Sonnenweg 21","BE","46.924559,7.415046","N"
"EDOZIEM KIOSK STOECKACKER","ASW064101","Bethlehemstrasse 110","BE","46.944037,7.399571","N"
"BLS","ASW002282","Bahnhofstrasse 21","BE","46.933765,7.50659","Y"
"BLS","ASW001566","Bernstrasse 214","BE","47.0018,7.46281","Y"
"SBB CFF FFS","ASW002600","Bahnhofstrasse 4","BE","47.01853,7.49462","Y"
"BELP BLS","ASW003315","Bahnhofplatz 6","BE","46.888965,7.498708","N"
