"name","orig_id","streetAddress","state","location","platinum"
"CHILEXPRESS SA","ACL000161","Latorre 2516","Antofagasta","-23.648583,-70.398004","Y"
"CIS SERVICIOS INFOR  BASTIAN PADILLA","ACL242798","Carlos Condell 2337","Antofagasta","-23.650476,-70.398696","N"
"CHILEXPRESS SA","ACL006651","Capitan Arturo Prat Chacon Na 677","Antofagasta","-23.649337,-70.398186","N"
"GLOBAL PERU ANTOFAGASTA II","ACL242282","Baquedano 482","Antofagasta","-23.648469,-70.398427","Y"
"GLOBAL PERU ANTOFAGASTA","ACL241182","Baquedano 482 Local 16","Antofagasta","-23.648469,-70.398427","Y"
"CHILEXPRESS SA","ACL061209","M A Matta 2680","Antofagasta","-23.649483,-70.395741","N"
"CHILEXPRESS SA","ACL060330","Arturo Prat 630 Local 1 B","Antofagasta","-23.65236,-70.3954","N"
"SOCIEDAD GIROS EXPRESS LIMITADA","ACL056096","Baquedano 482 498 Loc 1 Antofagasta","Santiago","-23.648548,-70.398325","N"
"CHILEXPRESS SA","ACL060154","Calle Manuel Baquedano 482 Local 12","Antofagasta","-23.64846,-70.3984","N"
"GIROS EXPRESS","ACL290032","Baquedano 428","Antofagasta","-23.647804,-70.398937","Y"
"CIS LATAM ANTOFAGASTA II","ACL241753","Almirante Jose La Torre 2551","Antofagasta","-23.64723,-70.396408","Y"
"CIS LATAM ANTOFAGASTA","ACL240082","Baquedano 300","Antofagasta","-23.646886,-70.399622","Y"
"CHILEXPRESS SA","ACL009830","Washintong 2318 Local 3","Antofagasta","-23.648317,-70.401145","N"
"CHILEXPRESS SA","ACL006529","Balmaceda 2408","Antofagasta","-23.646992,-70.401193","N"
"CHILEXPRESS SA","ACL007135","Avenida Argentina 1095 Local 3","Antofagasta","-23.665653,-70.398972","N"
"CHILEXPRESS SA","ACL007267","Avenida Argentina 1095 Local 3","Antofagasta","-23.665653,-70.398972","N"
"CHILEXPRESS SA","ACL060165","Avenida Las Americas 3961 L 1417","Antofagasta","-23.668317,-70.389859","N"
"CHILEXPRESS SA","ACL009973","Av Angamos 088 Local 1","LOA","-23.674915,-70.407691","N"
"CHILEXPRESS SA","ACL006628","Iquique N 5201 Local 8 Antofagasta","Antofagasta","-23.622479,-70.392338","N"
"CHILEXPRESS SA","ACL008158","Azapa 5935 Local 4","Antofagasta","-23.616505,-70.387169","N"
"CHILEXPRESS SA","ACL060989","Av Argentina 1910","Antofagasta","-23.692659,-70.40982","N"
"CHILEXPRESS SA","ACL006914","Juan Glasinovic N 480 Galpon 5","Antofagasta","-23.597253,-70.385641","N"
"CHILEXPRESS SA","ACL008071","Baquedano 364","Bio Bio","-23.588839,-70.388408","N"
"CHILEXPRESS SA","ACL005276","Psje Coya N 1573","Antofagasta","-23.578137,-70.373772","N"
"CHILEXPRESS SA","ACL008510","Colipi 484 Local 106","Atacama","-23.552792,-70.388051","Y"
"GLOBAL PERU COPIAPO","ACL241160","Colipi 484 Local B-201","Atacama","-23.552792,-70.388051","N"
"CHILEXPRESS SA","ACL005946","Coipa 461","Antofagasta","-23.552792,-70.388051","N"
"CIS LATAM VESPUCIO","ACL240170","Vicuna Mackenn 7110 Local M3","Metropolitana","-33.519746,-70.602439","N"
"CHILEXPRESS SA","ACL060505","Av Vicuna Mackenna 8040","-","-33.528444,-70.595764","N"
"CHILEXPRESS SA","ACL061221","San Carlos De Ancud 402","Metropolitana","-33.51652,-70.601737","N"
"CHILEXPRESS SA","ACL009061","Avda Vicuna Mackenna Poniente 6695","Metropolitana","-33.516788,-70.605873","N"
"CHILEXPRESS SA","ACL060990","Trinidad Poniente 1540","Region Metropolitana","-33.546766,-70.611408","N"
"CHILEXPRESS SA","ACL060725","Vicuna Mackenna 4102 Local 3","Metropolitana","-33.49888,-70.615616","N"
"CHILEXPRESS SA","ACL006574","Santa Amalia 1763 Local 27, La Florida","Metropolitana","-33.54353,-70.564912","Y"
"CHILEXPRESS SA","ACL009566","Walker Martinez 1786 Local 8b","Metropolitana","-33.522185,-70.563775","N"
"CHILEXPRESS SA","ACL006310","Avenida Santa Rosa 5320 Local4","Metropolitana","-33.506403,-70.638133","Y"
"CHILEXPRESS SA","ACL008323","Avenida Macul 3049","Metropolitana","-33.485147,-70.5992","Y"
"CHILEXPRESS SA","ACL061045","Carlos Valdovinos 58","Region Metropolitana","-33.487073,-70.620413","N"
"CIS ODELINE ETIENNE","ACL242699","Uruguay 1498","Metropolitana De Santiago","-33.532447,-70.645866","N"
"CHILEXPRESS SA","ACL060044","Gran Avenida Jose Miguel Carrera 4649","San Miguel","-33.496422,-70.653139","Y"
"CHILEXPRESS SA","ACL000534","Gran Avenida 8592","Metropolitana","-33.534401,-70.663333","Y"
"CIS EA Z EXPRESS SPA","ACL242819","Pasaje Los Abedules 9805","Metropolitana De Santiago","-33.551429,-70.641517","N"
"LINDA KATHERIN MUNIVE TIRADO","ACL242248","Nonato Coo 3406","Metropolitana","-33.576399,-70.57034","Y"
