"name","orig_id","streetAddress","state","location","platinum"
"JORDANS SUPERMARKET LIMITED","ABB020195","Queens S Street","Saint Peter","13.2476,-59.6439","N"
"CELL AND ACCESSORIES SUNSET CR","ABB000395","Massy Stores Supermarket Sunset Blvd","Saint James","13.185036,-59.637435","N"
"CELL AND ACCESSORIES WARRENS","ABB000405","Massystores Warrens St Michael","Saint Michael","13.141968,-59.608753","N"
"JORDANS SUPERMARKET LIMITED","ABB020139","Jordans Road","Saint James","13.145884,-59.637839","N"
"C O B CREDIT UNION LTD","ABB020128","Manor Lodge Complex","Saint Michael","13.138579,-59.605842","N"
"C O B CREDIT UNION LTD","ABB020117","One Carlton Plaza","Saint Michael","13.124192,-59.624775","N"
"CELL AND ACCESSORIES BLACK ROC","ABB000339","Black Rock St Michael","Saint Michael","13.118529,-59.619877","N"
"WIGS PLUS BEAUTY","ABB020227","Skymall","Saint Michael","13.106533,-59.579081","N"
"CELL AND ACCESSORIES SKY MALL","ABB000362","Haggat Hall St Michael","Saint Michael","13.106416,-59.579169","N"
"NATURE FOODS LTD","ABB000483","Fontabelle","Saint Michael","13.099527,-59.622507","N"
"CAVE SHEPHERD","ABB000306","Broad Street Bridgetown St Mic","Saint Michael","13.097191,-59.615399","N"
"JORDANS SUPERMARKET LIMITED","ABB020140","Fairchild Street","Saint Michael","13.095837,-59.611674","N"
"NEW WORLD CAPITAL INC","ABB020029","Carlisle House","Saint Michael","13.096428,-59.617138","N"
"CELL & ACCESSORIES WILDEY","ABB000416","6 Impulse Shopping Plaza","Saint Michael","13.09056,-59.580981","N"
"NEW WOLD CAPITAL INC","ABB020096","Emerald City Supermarket","Saint Philip","13.116807,-59.475335","N"
"CELL AND ACCESSORIES PRICE LO","ABB000351","Price Lo Supermarket","Christ Church","13.085912,-59.573071","N"
"NEW WORLD CAPITAL INC","ABB020030","Skyway Plaza","Christ Church","13.07464,-59.597406","N"
"CELL AND ACCESSORIES WORTHING","ABB000340","Worthing Christ Church","Christ Church","13.07396,-59.5822","N"
"MONTROSE","ABB000494","Montrose","Christ Church","13.073988,-59.550915","N"
"NIKARLA INC","ABB000461","Shop#18 Southern Plaza Complex","Christ Church","13.065643,-59.545853","N"
