"name","orig_id","streetAddress","state","location","platinum"
"REISEBANK AG","A18020941","Bahnhof Friedrichstrasse","Berlin","52.520014,13.387861","Y"
"POSTBANK","A18430504","Rathausstr 5","Berlin","52.519737,13.411517","N"
"POSTBANK","A4G829564","Behrenstr 29","Berlin","52.515537,13.390371","N"
"POSTBANK","A18800929","Brueckenstr 1a","Berlin","52.511537,13.416885","N"
"POSTBANK","A4G835361","Chausseestr 6","Berlin","52.528027,13.386492","N"
"POSTBANK","A4G835086","Markgrafenstr 19a","Berlin","52.507322,13.394557","N"
"POSTBANK","A18800633","Platz Der Vereinten Nationen 14","Berlin","52.522613,13.428429","N"
"POSTBANK","A4G838814","Adele Schreiber Krieger Str 1","Berlin Zentrum","52.520193,13.378386","N"
"REISEBANK AG","A18020183","Am Ostbahnhof 5","Berlin","52.510122,13.434569","Y"
"REISEBANK AG","A18034713","Europaplatz 1","Berlin","52.525084,13.369402","Y"
"POSTBANK","A4G834809","Leipziger Platz 12","Berlin","52.510154,13.37952","N"
"POSTBANK","A18172048","Prenzlauer Allee 39","Berlin","52.53515,13.42236","N"
"SALAR TRAVEL","A3G021117","Skalitzer Str 28","Berlin","52.498788,13.423563","Y"
"ELFIDA SHOP","A2G443771","Brunnenstr 77","Berlin","52.54305,13.392799","Y"
"POSTBANK","A4G833709","Ritterstr 4-5","Berlin","52.50077,13.412869","N"
"SPATKAUF AYKUT","A2G461205","Oranienstrasse 176","Berlin","52.501228,13.41896","N"
"HARNOOR TELECAFE","A2G460523","Oranienstrasse 176","Berlin","52.501228,13.41896","N"
"POSTBANK","A18803768","Potsdamer Platz 2","Berlin","52.509656,13.375045","N"
"BURCAK 36","A2G150125","Kottbusser Damm 101","Berlin","52.49497,13.42116","Y"
"REISEBURO AM KOTTI","A2G461106","Skalitzer Strasse 134","Berlin","52.4993,13.41944","N"
"QADIR FOOD TRADERS AND MONEY TRANSFER","A2G443517","Brunnenstr 111a B","Berlin","52.543486,13.391702","N"
"TABAKWAREN ZEITUNGEN CELIK","A2G150181","Schoenleinstr 20","Berlin","52.4903,13.419692","Y"
"MEDIA CENTER AM GESUNDBRUNNEN","A3G030939","Behmstasse 5","Berlin","52.549903,13.38663","Y"
"WESTERN UNION BANK","A18400475","Potsdamer Str 138","Berlin","52.49845,13.36192","Y"
"TABAKWAREN GETRANKE WEIN","A2G461227","Kottbusser Damm 95","Berlin","52.49396,13.42178","N"
"POSTBANK","A4G835691","Tamara Danz Str 11","Berlin","52.505018,13.445194","N"
"POSTBANK","A18803054","Ebertystr 5","Berlin","52.526623,13.451055","N"
"MY ISTORE UG","A3G028785","Prinzenallee 13","Berlin","52.553992,13.383176","Y"
"WESTERN UNION BANK","A18400167","Badstr 44","Berlin","52.552856,13.378415","Y"
"POSTBANK","A18803098","Schoenhauser Allee 79","Berlin","52.549458,13.415781","N"
"POSTBANK","A4G838540","Warschauer Str 85","Berlin","52.514913,13.454154","N"
"EXPERT REPAIR","A3G017509","Luxemburger Str 34","Berlin","52.545867,13.358792","Y"
"FIRST CLASS INTERNETCAFE","A3G022459","Schulstr 117","Berlin","52.55001,13.36436","Y"
"POSTBANK","A18001339","Bergmannstr 72","Berlin","52.48888,13.39785","N"
"GOLDANKAUF BERLIN","A3G017060","Potsdamer Str 103","Berlin","52.500474,13.363624","N"
"MF CITY SERVICE BERLIN GMBH","A3G020941","Sonnenallee 68","Berlin","52.484118,13.434684","Y"
