"name","orig_id","streetAddress","state","location","platinum"
"AAIB ALEXANDRIA BRANCH","AEV060050","73 En. Ahmed Mohamed Ismaiel","Alexandria","31.200129,29.91876","Y"
"AAIB HORREYA BRANCH","AEV060292","73 El Horreya Road","Alexandria","31.19854,29.9077","Y"
"BANK OF ALEXANDRIA SAAD ZAGHLO","AEV090529","59 Saad Zaghloul St","Cairo","31.199869,29.899727","Y"
"BANK OF ALEXANDRIA TALAAT HARB","AEV092620","23 Talaat Harb","Alexandria","31.196304,29.900963","N"
"BANK OF ALEXANDRIA ITALIAN CONSULATE","AEV092576","25 Elgish St Elramel Station","Alexandria","31.201589,29.900369","N"
"AAIB SMOUHA BRANCH","AEV060731","74 Albert Al Awal Street","Alexandria","31.206514,29.946021","Y"
"BANK OF ALEXANDRIA ALEXANDRIA","AEV090057","6 Salah Salem St","Alexandria","31.196834,29.895786","N"
"BANK OF ALEXANDRIA SADAT","AEV090738","172 Omar Lotfy St","Sharqia","31.217823,29.931454","N"
"BANK OF ALEXANDRIA SPORTING","AEV090035","172 Omar Lotfy St","Alexandria","31.218252,29.931886","N"
"AAIB ALEX DOWN TOWN BRANCH","AEV060984","Unit 4 Meroz Project Suez Change","Alexandria","31.171944,29.932417","Y"
"AAIB ALEX ROUSHDY BRANCH","AEV060083","431 El Hoerreya Road Roushdy","Alexandria","31.226959,29.950502","Y"
"BANK OF ALEXANDRIA MINA EL BASAL","AEV091025","Othman Abaza St  And Mahmoudia","Alexandria","31.183508,29.885833","N"
"BANK OF ALEXANDRIA KIROSEZ","AEV092619","9 Ibrahem El Shrif St    Mostafa Kamel","Alexandria","31.223419,29.948114","N"
"AAIB ALEX PORT BRANCH","AEV060072","In Front Of Logistic Building","Alexandria","31.188023,29.872119","N"
"AAIB ALEX SAN STEFANO BRANCH","AEV060094","A30 San Stefano Mall","Alexandria","31.245765,29.967296","Y"
"BANK OF ALEXANDRIA GLEEM","AEV090046","568 Horreya Road Gleem Square","Alexandria","31.237456,29.957914","N"
"GLEEM EL TERAM","AEV092730","74 Abd El Salam Aref","Alexandria","31.238622,29.958812","N"
"IBC FISAL","AEV002971","Bldg 334st Fisal","Giza","31.173305,30.003666","N"
"IBC AL BAHR AL AAZAM","AEV002993","Bldg 100st Bahr Aazam","Giza","31.218048,30.007882","N"
"AAIB MANDARA BRANCH","AEV061051","737 El Geisha Road, Mandara, A","Alexandria","31.276974,30.003595","Y"
"AAIB REHAB BRANCH","AEV060269","Banks District Building No 4","Cairo","31.201344,30.057357","Y"
"BANK OF ALEXANDRIA LUXOR","AEV092817","Khaled Ibn El Waleed St","Luxor","31.245266,30.016759","N"
"AAIB FAIRMONT NILE CITY","AEV060896","2005 B Corniche El-nile","Cairo","31.227897,30.072018","Y"
"IBAG WEZARET EL ZERAA","AEV002959","Bldg 25st Wezart El Zeraah","Giza","31.212178,30.043482","N"
"IBAG MONTAZAH","AEV000902","Bldg Fatahallah  Marketst Andarah Area","Alexandria","31.281605,30.012097","N"
"AAIB ALEX PETROL BRANCH","AEV060061","Petroleum Complex Building Km","Alexandria","31.0987,29.856323","N"
"BANK OF ALEXANDRIA DEKHEILA","AEV090783","2 National Steel Company Premises","Alexandria","31.120317,29.803237","N"
"BANK OF ALEXANDRIA ABU QIR","AEV092608","23 Port Said St  Abu Qir","Alexandria","31.280386,30.071569","N"
"IBC HADAYEK AL KOBBA","AEV003004","Bldg 6st Walley El Aahad","Cairo","31.283297,30.086583","N"
"ALEX BANK ABBAS ELAKAAD","AEV092565","59 Abbas Elakaad St","Cairo","31.338006,30.056141","N"
"IBAG NOZHA","AEV002960","Bldg 27st Zozha","Cairo","31.338223,30.07116","N"
"BANK OF ALEXANDRIA KAFR EL DAWWAR","AEV091256","89 Port Said St","Beheira","31.134123,30.13671","N"
"AAIB SODIC BRANCH","AEV061127","Unit H5 (the Strip Mall), Sodi","Giza","30.940254,30.058154","Y"
"AAIB EL OBOUR BRANCH","AEV060445","Unit 60 And 61 Golf City Mall","Qalyubia","31.475916,30.174793","Y"
"IBAG VICTORIA SIDI BESHR","AEV002508","Bldg 64st Mohamed Naguib","Alexandria","31.15254,29.58575","N"
"IBAG AGAMY","AEV001112","Bldg 42st Elbitash","Alexandria","31.07036,29.47272","N"
"BANK OF ALEXANDRIA BORG AL ARAB","AEV090772","44 Aly Ibn El Khattab St","Alexandria","30.882587,29.577148","N"
"AAIB BORG EL ARAB BRANCH","AEV060313","Banks District New Borg El Ara","Alexandria","30.901198,29.551088","N"
"AAIB KASR EL NIL BRANCH","AEV060324","29 Kasr El Nil St","Cairo","30.048512,31.241377","Y"
"BANK OF ALEXANDRIA TAHRIR","AEV090255","1 Kasr El Nile St","Cairo","30.046485,31.23573","N"
"BANK OF ALEXANDRIA FALAKI","AEV091102","Bldg 8 St Magles El Shaab","Cairo","30.039502,31.238316","N"
"ARAB AFRICAN INTERNATIONAL BANK","AEV060005","5 Midan El Saray El Kobra","Cairo","30.037873,31.23264","N"
"BANK OF ALEXANDRIA SHERIF","AEV092653","23 Gawad Hossiny St","Cairo","30.047899,31.243219","N"
"BANK OF ALEXANDRIA CAIRO","AEV090244","49 Kasr El Nile St","Cairo","30.049327,31.246247","Y"
"AAIB ALFY BRANCH","AEV060302","54 D El Gomhoria St","Cairo","30.04268,31.24562","N"
"IBAG GARDEN CITY","AEV000782","Bldg 1079st Cornich Elnil","Cairo","30.033526,31.229904","N"
"BANK OF ALEXANDRIA MARRIOT","AEV092554","16 Saray Elzamalek","Giza","30.057125,31.225402","Y"
"BANK OF ALEXANDRIA 26TH OF JULY","AEV090408","157 26th Of July St","Giza","30.059024,31.224243","Y"
"AAIB ZAMALEK BRANCH","AEV060401","3 Hassan Sabry St","Cairo","30.0559,31.21978","Y"
"AAIB EL NILE BRANCH","AEV060807","3 Ibn Ahrab Street, Giza","Giza","30.05664,31.220451","Y"
"BANK OF ALEXANDRIA DOKKI","AEV090628","131 Tahrir St","Giza","30.039022,31.215674","Y"
"BANK OF ALEXANDRIA AGOUZA","AEV090419","106 El Nil St","Giza","30.042645,31.218968","N"
"IBAG DOKKI","AEV001002","Bldg 58 Ast Elgiza","Giza","30.037273,31.216223","N"
"AAIB MESSAHA BRANCH","AEV060797","19 El Messaha St El Messaha St","Giza","30.035222,31.210111","Y"
"BANK OF ALEXANDRIA MUSKI","AEV091092","14 Gohar El Kaaed St","Cairo","30.048448,31.257542","N"
"BANK OF ALEXANDRIA ZAMALEK","AEV090925","9 El Kamel Mohamed St","Giza","30.05974,31.220112","N"
"AAIB NADY EL SEID BRANCH","AEV060335","12 Nady El Seid St","Giza","30.042972,31.203983","Y"
"BANK OF ALEXANDRIA SHOOTING CL","AEV090420","20 A Elsayed St","Giza","30.042944,31.203001","Y"
"BANK OF ALEXANDRIA QENA","AEV090431","El Shahid Abdel Moneim Riyad Sq","Qena","30.068537,31.229464","N"
"AAIB MOHANDESSIN BRANCH","AEV060962","48 Geziert El Arab Mohandesin","Cairo","30.055673,31.200893","Y"
"BANK OF ALEXANDRIA GAME ET EL","AEV090749","31 Gameat El Dowal El Arabia","Giza","30.051381,31.199423","Y"
"AAIB NAWAL BRANCH","AEV061006","5 Nawal St, El Agouza","Giza","30.017006,31.213451","Y"
"AAIB AZHAR BRANCH","AEV060906","160 Gawhar Elkaeed-elazhar","Cairo","30.045674,31.266703","N"
"BANK OF ALEXANDRIA SHUBRA","AEV090585","46 Shoubra St","Cairo","30.071053,31.24472","N"
"BANK OF ALEXANDRIA MARSA MATROUH","AEV090068","63 69 Tahrir St","Matrouh","30.036373,31.203094","N"
"AAIB NRC BRANCH","AEV060258","National Research Centre","Giza","30.036412,31.200722","N"
"BANK OF ALEXANDRIA MANYAL","AEV090354","5 El Mamalik Square","Cairo","30.01347,31.224927","N"
"AAIB SUDAN BRANCH","AEV060841","359 Sudan St.","Giza","30.070115,31.199675","Y"
"BANK OF ALEXANDRIA GIZA","AEV090365","511 El Ahram St  Nasr Building","Giza","30.014688,31.211139","N"
"IBAG MOHANDESEEN","AEV000023","Bldg 27a St Ahmed Oraby","Giza","30.06614,31.20072","N"
"AAIB CAIRO BRANCH","AEV060126","44 Abdel Khalek Sarwat St","Cairo","29.996385,31.233981","Y"
"BANK OF ALEXANDRIA GHAMRA","AEV090211","227 Ramses St","Cairo","30.069856,31.270247","N"
"AAIB KASR EL AINI BRANCH","AEV060346","8 Ibrahim Naguib St","Cairo","29.99552,31.242969","Y"
"AAIB 10TH OF RAMDAN BRANCH","AEV060038","3rd Industrial Zone Area","Sharqia","29.993268,31.260447","Y"
"BANK OF ALEXANDRIA BAHR AL AZAM","AEV090903","123 El Bahr El Aazam","Giza","29.996932,31.2148","N"
"BANK OF ALEXANDRIA ABBASSIYA","AEV091070","3 Ramsis St  Extension Misr","Cairo","30.072418,31.285484","N"
"IBAG EL REHAB CITY","AEV002937","Bldg Rehab Mall 1st Mall 1","Cairo","30.03319,31.29454","N"
"AAIB ABOU EL HOL BRANCH","AEV060874","232 Haram St, Royal Tower-el T","Giza","29.999051,31.171577","Y"
"AAIB FAISAL BRANCH","AEV061017","271 King Faisal Street, Police","Giza","30.000356,31.165365","Y"
"AAIB OBOUR BUILDING","AEV061084","6 Obour Building, Salah Salem","Cairo","30.078932,31.314522","Y"
"AAIB TAYARAN BRANCH","AEV061040","2 Amr Zaafaan Of Tayaran St","Cairo","30.054367,31.327118","Y"
"AAIB EL NASR BRANCH","AEV060951","7 2 Elnasr Street","Cairo","29.976198,31.285039","Y"
"BANK OF ALEXANDRIA HARAM","AEV090376","187 Spates St","Giza","29.994473,31.162583","Y"
"AAIB MAADI LASELKY","AEV060687","4/1 Laselki St-new Maadi-cairo","Cairo","29.973736,31.280611","Y"
"BANK OF ALEXANDRIA NASR CITY CLUB","AEV090596","El Mokhayam El Daem St","Cairo","30.059242,31.309715","N"
"BANK OF ALEXANDRIA QOBBA","AEV090233","9 El Qods St","Cairo","30.093578,31.289588","N"
"BANK OF ALEXANDRIA NOZHA","AEV090222","178 Nouzha St  Saint Fatima Sq","Cairo","30.058986,31.333659","Y"
"BANK OF ALEXANDRIA ROXY","AEV091081","14 Ibrahim El Lakani St  Roxy","Cairo","30.091466,31.319318","Y"
"AAIB MAADI BRANCH","AEV060214","Road No 9 Maadi Palace Building","Cairo","29.96011,31.259513","Y"
"AAIB EL KORBA BRANCH","AEV060830","6 Baghdad St El Korba Heliopolis","Cairo","30.089809,31.322623","Y"
"AAIB ZAYTOUN BRANCH","AEV060928","10 Ebn Sandar Square","Cairo","30.089196,31.301798","N"
"AAIB HAREM BRANCH","AEV060160","85 Al Haram St","Giza","29.955381,31.262366","Y"
"AAIB MERGHANI BRANCH","AEV060368","140 El Merghani St","Cairo","30.084846,31.332757","Y"
"BANK OF ALEXANDRIA HELIOPOLIS","AEV090200","99 Merryland St","Cairo","30.099771,31.322944","Y"
"AAIB ROXY BRANCH","AEV060357","33 El Hegaz Street Heliopolis","Cairo","30.099462,31.323516","Y"
"BANK OF ALEXANDRIA CITY STARS","AEV090277","2 El Raed Aly Rashed Star Capi","Cairo","30.072009,31.344437","Y"
"AAIB KATTAMIA BRANCH","AEV060193","Shooting Club Ring Road","Cairo","29.974128,31.315591","Y"
"AAIB ARD GOLF BRANCH","AEV060104","13 Tag El Din E Sobky St","Cairo","30.08001,31.34214","Y"
"BANK OF ALEXANDRIA ABU HUMMUS","AEV091267","Nasr St","Beheira","29.975247,31.280326","N"
"IBAG HARAM","AEV000881","Bldg 188st Haram","Giza","29.995523,31.163707","N"
"BANK OF ALEXANDRIA ELTAYARAN","AEV092675","15 El Tayaran Rabaa El Adyia Squear","Cairo","30.067445,31.324505","N"
"AAIB CITY STARS BRANCH","AEV060720","Unit 1240b - Market Level Ph2","Cairo","30.073339,31.347382","Y"
"IBAG MAADI","AEV000045","31 St Maadi","Cairo","29.96755,31.267395","N"
"IBAG SHUBRA","AEV002883","Bldg 1365st Dawletian","Cairo","30.06008,31.14296","N"
"BANK OF ALEXANDRIA SHOBRA ELKHEIMA","AEV090848","1 Nasser Shabab Centre St","Qalyubia","30.125345,31.255336","N"
"BANK OF ALEXANDRIA ALKHALIFA MAMOUN","AEV092664","21 Khalifa Maamoun St  Roxiy","Cairo","30.091791,31.314025","N"
"IBAG DOWNTOWN","AEV001013","Bldg 4st Hussein Elmaamar","Cairo","30.02355,31.14146","N"
"BANK OF ALEXANDRIA MAADI","AEV090893","2 Wahib Doss St","Cairo","29.960256,31.258947","N"
"AAIB HELIOPOLIS BRANCH","AEV060171","24 Cleopatra St","Cairo","30.090886,31.327998","N"
"IBAG HELIOPOLIS","AEV000034","Bldg 29st Elhegaz","Cairo","30.099066,31.323164","N"
"IBAG NASR CITY","AEV002894","Bldg 22 St Nour Eldein Bahgt","Cairo","30.051697,31.34559","N"
"BANK OF ALEXANDRIA KHANKA","AEV092851","Central Hospital St","Qalyubia","30.077218,31.347191","N"
"IBC SIDI GABIR","AEV003015","Bldg 334st Gamal Abdel Nasser","Alexandria","29.941211,31.219071","N"
"BANK OF ALEXANDRIA WADI DEGLA","AEV092598","Autostrad Road","Cairo","30.071788,31.353523","N"
"BANK OF ALEXANDRIA SHERATON HELIOPOLIS","AEV090266","Abdel Hamid Badawy St   Extension","Cairo","30.105967,31.375757","Y"
"AAIB SHERATON BRANCH","AEV060281","13 Khaled Ebn El Waleed St","Cairo","30.103059,31.377551","Y"
"IBAG EIN SHAMS","AEV002904","Bldg 161st Ain Shams","Cairo","30.127027,31.320433","N"
"BANK OF ALEXANDRIA THE 5TH SETTLEMENT","AEV092895","305  - El 90-st","Cairo","30.071888,31.365355","N"
"BANK OF ALEXANDRIA MAAMOUN","AEV092828","Osman Mohame St","Gharbia","30.118622,31.339473","N"
"BANK OF ALEXANDRIA ALMAZA","AEV090750","2 Almaza St  Nacser City","Cairo","30.081201,31.365181","N"
