"name","orig_id","streetAddress","state","location","platinum"
"MAHI LOCUTORIO","A17727792","Calle Don Ramon De La Cruz Num 60","Madrid","40.416705,-3.703582","N"
"TALHA ARTICULOS SL","A17723677","Calle Amparo 60","Madrid","40.416705,-3.703582","N"
"LOCUTORIO A R A","A17772527","Calle Sierra De Gador 21","Madrid","40.416705,-3.703582","N"
"SMART SHOP MADRID","A17771890","Avenida Ciudad De Barcelona Num 51 Bj","Madrid","40.416705,-3.703582","N"
"MISHU MOVIL","A17772022","Avenida Ciudad De Barcelona 23","Madrid","40.416698,-3.703583","N"
"BUSHRA SPAIN S R L","A17725284","Plaza Lavapies 8","Madrid","40.416698,-3.703573","N"
"WORLD TECH MOBILE","A17723798","Calle Eugenio Salalzar 47","Madrid","40.416698,-3.703573","N"
"EL YAQUEMARKET","A17770426","Calle Jose Tamayo 17","Madrid","40.416698,-3.703573","N"
"LOCUTORIO A Y M","A17727967","Calle Ramos Carrion 5","Madrid","40.416698,-3.703573","N"
"MEADLANE TRADING SP S","A17729057","Calle La Pena Ambote 2","Madrid","40.416698,-3.703572","N"
"LOCUTORIO TROPIC AT LLS","A17721840","Calle Marcenado   38","Madrid","40.416698,-3.703572","N"
"MACCORP EXACT CHANGE PUERTA DEL SOL","A17365594","Plaza De La Puerta Del Sol 12","Madrid","40.417286,-3.70342","N"
"MACCORP EXACT CHANGE C SEVILLA","A17725305","Calle Sevilla 2 Lc","Madrid","40.416795,-3.702327","N"
"MACCORP EXACT CHANGE CALLE MAYOR","A17579214","Calle Mayor 3","Madrid","40.416481,-3.705324","N"
"CORREOS Y TELEGRAFOS","A17072245","Calle Preciados 3","Madrid","40.417676,-3.704882","N"
"CHANGE EXPRESS","A17020084","Calle Gran Via 25","Madrid","40.419728,-3.702206","Y"
"EURODIVISAS TIENDA ARENAL","A17570381","Calle Del Arenal 7","Madrid","40.416901,-3.705663","N"
"LOCUTORIO ROSA BEN AVID","A17500827","Ca Cruz 14 Piso 0 Pta 2","Madrid","40.415604,-3.701911","N"
"CORREOS Y TELEGRAFOS","A17097028","Carrera De San Jeronimo 8","Madrid","40.416626,-3.701308","N"
"CHANGE EXPRESS 4","A17671273","Calle Gran Via 56","Madrid","40.419746,-3.702259","Y"
"CANALEJAS","A17673253","Calle Carrera De San Jeronimo 9","Madrid","40.41689,-3.700087","N"
"CORREOS Y TELEGRAFOS","A17107732","Madrid Suc 86","Madrid","40.419926,-3.705378","N"
"CHANGE EXPRESS","A17020039","Calle Gran Via 16","Madrid","40.419809,-3.699386","Y"
"FOTOCOPIAS","A17718387","Calle Gran Via 33 13","Madrid","40.41974,-3.699877","N"
"LOCUTORIO MADRID COSTANILLA DE LOS ANGEL","A17485021","Costanilla Angeles 15 Planta 0 Local 2","Madrid","40.419759,-3.708077","N"
"CORREOS Y TELEGRAFOS","A17070012","C Dublin 7 Parque Ferial","Madrid","40.418192,-3.69739","N"
"EXPENDEDURIA 93 MADRID","A17511597","Calle Hortaleza 18","Madrid","40.421203,-3.700401","N"
"CORREOS Y TELEGRAFOS","A17097237","C/ Madrazo, 15-17","Madrid","40.417775,-3.696956","N"
"LOCUTORIO INFORMATIC AT","A17717913","Calle Calle Juanelo 10","Madrid","40.411343,-3.705412","N"
"MARCAS TRAVEL GRUPO CYBAS","A17650065","Calle San Bernardo 8","Madrid","40.421833,-3.707691","N"
"CORREOS Y TELEGRAFOS","A17097370","Pza. Rey 1","Madrid","40.420207,-3.696414","N"
"CORREOS Y TELEGRAFOS","A17071321","Calle De Pizarro 17","Madrid","40.423397,-3.705753","N"
"LOCUTORIO WORLD INTERNET","A17275327","C Pez 12 Bj 2a","Madrid","40.423511,-3.704929","N"
"MOBILE HOUSE","A17727594","Calle Ruda 18","Madrid","40.41071,-3.708572","N"
"JMP MARKET","A17724139","Calle Hortaleza 66","Madrid","40.422983,-3.699089","N"
"LOCUTORIO DAROU KHOUDOSS","A17729640","Plaza De Lavapies 1","Madrid","40.409509,-3.701405","N"
"CORREOS Y TELEGRAFOS","A17097392","Pza. Marina Espanola 8","Madrid","40.420373,-3.712665","N"
"TABACOS EXP NO 635","A17512927","Calle Cabestreros 17","Madrid","40.408973,-3.705198","N"
"M N TELETECH","A17719894","Plaza Lavapies Num 5","Madrid","40.408791,-3.700891","N"
"SR TECNOLOGIA 2","A17716275","Calle Sombrerete 10","Madrid","40.40852,-3.702389","N"
"CORREOS Y TELEGRAFOS","A17097282","Paseo Del Prado 18 20","Madrid","40.418631,-3.692519","N"
"CORREOS Y TELEGRAFOS","A17070090","Paseo Del Prado 1","Madrid","40.418659,-3.692518","N"
"BHUIYAN MONEY TRANSFER","A17674562","Calle Tribulete 5 Bj Dr","Madrid","40.408081,-3.701979","N"
"CORREOS Y TELEGRAFOS","A17076492","Carrera De San Francisco 13","Madrid","40.410673,-3.713211","N"
"TABACOS EXP NO 266 LA CIGARRERA DE LAVAP","A17523345","Calle De Valencia 26","Madrid","40.40673,-3.699998","N"
"POSTAL TRANSFER","A17102090","Calle Mejia Lequerica 7","Madrid","40.426613,-3.698249","N"
"TABACOS","A17524852","Calle Argumosa 26","Madrid","40.40745,-3.696148","N"
"CORREOS Y TELEGRAFOS","A17097039","Calle Del Marques De La Ensenada 8","Madrid","40.424239,-3.692479","N"
"MONEY EXCHANGE 1","A17750033","Paseo De Santa Maria De La Cabeza 12","Madrid","40.40636,-3.696882","N"
"TABACOS","A17524807","Calle Ronda De Atocha 1","Madrid","40.407234,-3.694202","N"
"CASA DEL MOVIL","A17771098","Glorieta Ruiz Gimenez 2","Madrid","40.429944,-3.706034","N"
"ALIMENTACION CASA JULIAN","A17771560","Calle Cardenal Cisneros 9","Madrid","40.429964,-3.701685","N"
"INTERNACIONAL LOCUTORIO","A17712413","Calle Ercilla 12","Madrid","40.403238,-3.703268","N"
"CORREOS Y TELEGRAFOS","A17074049","Calle Alburquerque 2","Madrid","40.431067,-3.702735","N"
"MACCORP EXACT EXCHANGE ATOCHA","A17365538","St Estacion De Ave Atocha Sn","Madrid","40.406504,-3.69068","N"
"CORREOS Y TELEGRAFOS","A17072191","Calle Palos De La Frontera 6 10","Madrid","40.402771,-3.699607","N"
"LOCUTORIO INTERNET TALAL","A17713294","Calle Batalla Del Salado 14","Madrid","40.402701,-3.696037","N"
"CORREOS Y TELEGRAFOS","A17074038","Calle De Martin De Los Heros 57","Madrid","40.428311,-3.717009","N"
"CORREOS Y TELEGRAFOS","A17074368","Calle De Villanueva 30","Madrid","40.422286,-3.684978","N"
"PHONE SHOP","A17672890","Calle Fuencarral 146","Madrid","40.432361,-3.703625","N"
"MADRID SUC 73","A17095202","Princesa 47 Planta Baja","Madrid","40.429829,-3.715331","N"
"LOCUTORIO INTERNET","A17675178","Calle Rodriguez San Pedro  31","Madrid","40.431562,-3.712171","N"
"SM TECHNOLOGY","A17729981","Paseo Extremadura 1","Madrid","40.413906,-3.725174","N"
"SPACE MOBIL","A17723392","Calle Calle Rodriguez San Pedro 49","Madrid","40.431792,-3.713956","N"
"LA TIENDA DE NAT","A17723897","Calle Galileo 33","Madrid","40.433065,-3.710404","N"
"ESTANCO ALBERTO","A17522070","Plaza Huarte De San Juan 1","Madrid","40.412978,-3.725729","N"
"BLUE ENVIOS","A17713029","Calle Canarias 29","Madrid","40.401915,-3.69257","N"
"MADRIDTEL","A17772044","Calle Fernando El Catolico 6","Madrid","40.433935,-3.707365","N"
"SHIPXPRESS","A17729860","Calle Fernando El Catolico 12","Madrid","40.433881,-3.707832","N"
"JONA S TIENDA DE ALIMENTACION","A17727703","Calle Batalla De Salado 31","Madrid","40.400331,-3.696134","N"
"LOCUTORIO MILA","A17500081","Calle Del Cardenal Cisneros 64","Madrid","40.434292,-3.70272","N"
"UNIVERSAL DE ENVIOS","A17728968","Paseo De Extremadura  15","Madrid","40.41369,-3.72675","N"
"LOCUTORIO FAROOQ","A17718343","Calle Caramuel 19","Madrid","40.412059,-3.72663","N"
"LATIN TRAVEL","A17679150","Calle Embajadores 105","Madrid","40.399274,-3.697678","N"
"LOCUTORIO CIBER BANGLA","A17672845","Calle Antillon Num 3","Madrid","40.413204,-3.728195","N"
"LOCUTORIO TALAL 2","A17713304","Calle Benito Gutierrez 8","Madrid","40.432087,-3.718412","N"
"FRUTAS Y VERDURAS ALIMENTACION BAREK","A17727307","Calle Jose Antonio Armona 28","Madrid","40.397739,-3.702143","N"
"ELICASH 2","A17725251","Calle General Martinez Campos 13","Madrid","40.435167,-3.696542","N"
"MOVILONIA COM","A17770866","Calle Donoso Cortes 8","Madrid","40.43616,-3.70533","N"
"SMALL WORLD DELICIAS","A17690072","Paseo De Las Delicias 78 Bajo Local 2","Madrid","40.398645,-3.694458","N"
"LOCUTORIO MANAO","A17673956","Calle Jaime Vera 4","Madrid","40.413152,-3.729019","N"
"LOCUTORIO DELICIAS","A17729332","Calle Caceres 1","Madrid","40.398444,-3.694704","N"
"CORREOS Y TELEGRAFOS","A17097116","Calle De Rafael Calvo 33","Madrid","40.434121,-3.691815","N"
"TABACOS EXP 56","A17525095","Calle Hilarion Eslava 21","Madrid","40.434035,-3.716756","N"
"LOCUTORIO LETICIA","A17718815","Calle Garcia De Paredes 18","Madrid","40.436837,-3.701446","N"
"QUICKGOLD USERA","A17772989","Calle Antonio Lopez 30","Madrid","40.397581,-3.715563","N"
"MINI MARKET 24 HORAS","A17719267","Calle Antonio Lopez 2","Madrid","40.397236,-3.714942","N"
"PHONE SHOP","A17726504","Glorieta Marques De Vadillo 6","Madrid","40.397588,-3.716625","N"
"GLOBAL LOCUTORIO INTERNET","A17674540","Calle Jaime El Conquistador 40","Madrid","40.395569,-3.698657","N"
"N K S MOVIL GALARIA","A17679260","Calle Antonio Lopez Num 43","Madrid","40.395655,-3.710926","N"
"CORREOS Y TELEGRAFOS","A17074379","Calle Claudio Coello 100","Madrid","40.433608,-3.685412","N"
"CORREOS Y TELEGRAFOS","A17076371","Calle De Jacinto Verdaguer 4","Madrid","40.396317,-3.714308","N"
"ANIKA TELECOM","A17715438","Paseo De Extremadura 65","Madrid","40.412192,-3.732048","N"
"CORREOS Y TELEGRAFOS","A17076382","C/ Tomas Borras 5-7","Madrid","40.395414,-3.696851","N"
"OPEN 24 HORAS","A17712358","Calle Antonio Lopez 51","Madrid","40.395169,-3.709957","N"
"ANIKA TELECOM 2","A17724700","Paseo Extremadura 90","Madrid","40.412434,-3.732291","N"
"MY DIGITAL","A17714239","Calle Claudio Coello 102","Madrid","40.434141,-3.685444","N"
"LOCUTORIO MADRID","A17678094","Calle Narciso Serra 5","Madrid","40.404287,-3.679474","N"
"ALIMENTACION OPEN 18 7","A17712336","Calle Antonio Lopez 61","Madrid","40.394535,-3.708506","N"
"VIAJES SOLPARAISO HALCON VIAJES","A17729387","Calle Antonio Lopez 61","Madrid","40.394535,-3.708506","N"
"STAR CALL","A17728506","Calle Jacinto Verdaguer  12","Madrid","40.396073,-3.71564","N"
"CORREOS Y TELEGRAFOS","A17076436","Avenida De Valladolid 39","Madrid","40.428327,-3.729361","N"
"GEOMIL ENVIOS","A17578466","Calle Embajadores 176","Madrid","40.394784,-3.695726","N"
"OMER LOCUTORIO","A17500773","Calle Radio 4 Lo 5","Madrid","40.392644,-3.724053","Y"
"ALI MOBILE","A17718563","Paseo De Las Delicias 122","Madrid","40.39486,-3.694852","N"
"ROBERT LOCUTORIOS PLAZA BEATA","A17506285","Plaza Beata Maria Ana De Jesus 10","Madrid","40.394485,-3.69527","N"
"CORREOS Y TELEGRAFOS","A17074083","Calle Del Conde De Penalver 19","Madrid","40.426666,-3.676072","N"
"LOCUTORIOS NERY GUILLERMO DE OSMA","A17675716","Calle Guillermo De Osma 6 Iz","Madrid","40.394204,-3.695761","N"
"SAFE INTERENVIOS LOCUTORIO","A17673781","Plaza Rutilio Gasis 6","Madrid","40.394176,-3.695802","N"
"LOCUTORIO SVADEY","A17772659","Calle Marques De Jura Real 7","Madrid","40.393411,-3.708295","N"
"TABACOS EXP N 071","A17524863","Calle Alcalde Sainz De Baranda 42","Madrid","40.416617,-3.672717","N"
"SMALL WORLD LEGAZPI","A17690038","Plaza De La Beata Maria Ana De Jesus 6","Madrid","40.394221,-3.69408","N"
"GOLOSINAS","A17716703","Calle Maldonado 22","Madrid","40.433723,-3.681699","N"
"CORREOS Y TELEGRAFOS","A17071343","Calle Guzman El Bueno 86","Madrid","40.439872,-3.71261","N"
"CORREOS Y TELEGRAFOS","A17097105","Calle Guzman El Bueno 139","Madrid","40.439872,-3.712615","N"
"AYALA 102 TABACOS EXP N 248","A17525303","Calle Ayala 102 Lo","Madrid","40.42732,-3.675334","N"
"CORREOS Y TELEGRAFOS","A17101143","Calle Turismundo 4 6","Madrid","40.411584,-3.735058","N"
"LOCUTORIO ISA TELEGLOBAL","A17721280","Calle Abtao 13","Madrid","40.404412,-3.676214","N"
"CORREOS Y TELEGRAFOS","A17074104","Avda. Tellez 27","Madrid","40.402248,-3.678068","N"
"LOCUTORIO GOYA","A17717957","Calle Alcantara 3","Madrid","40.426134,-3.674058","N"
"CORREOS Y TELEGRAFOS","A17076393","Calle De Antonio Arias 2","Madrid","40.417908,-3.671589","N"
"REMESAS FAMILIARES 8","A17678753","Calle Doctor Santero 4 Bj Dr","Madrid","40.447817,-3.704376","Y"
"LOCUTORIO LUZCAR","A17447818","Cl Alcalde Sainz De Baranda","Madrid","40.41651,-3.671079","N"
"MONEY EXCHANGE 5","A17750077","Paseo De Las Delicias 146","Madrid","40.392163,-3.697338","N"
"RUBEN LOCUTORIO","A17727242","Paseo De Las Delicias 146","Madrid","40.392108,-3.695147","N"
"THE MOBILE ZONE","A17720025","Calle General Ricardos 20 Lc","Madrid","40.394684,-3.721421","N"
"ARREGLEMOS","A17676146","Calle Alonso Cano 75","Madrid","40.442202,-3.697575","N"
"LOCUTORIO LEGAZPI 2","A17771999","Paseo De Las Delicias 154","Madrid","40.39175,-3.6952","N"
"A AND J LOCUTORIO Y ALIMENTACION","A17723754","Calle Juan Anton 6","Madrid","40.410093,-3.737166","N"
"LOCUTORIO LEGAZPI","A17773627","Calle Bolivar 10","Madrid","40.391402,-3.693738","N"
"CORREOS Y TELEGRAFOS","A17097040","C/ Serrano 117","Madrid","40.440914,-3.687833","N"
"SUPER EFECTIVO 2030","A17441834","Calle De Alcala 183","Madrid","40.427285,-3.670951","N"
"HERMANO ACCESORIOS WORLD","A17725635","Paseo De Extremadura 158","Madrid","40.40992,-3.739334","N"
"CORREOS Y TELEGRAFOS","A17074380","Calle Martires Concepcionistas 21","Madrid","40.429247,-3.670714","N"
