"name","orig_id","streetAddress","state","location","platinum"
"MONEX FX","A14540560","31 Cours Victor Hugo","-","44.835893,-0.567705","Y"
"BORDEAUX MERIADECK","A14646963","52 Rue Georges Bonnac","Nouvelle Aquitaine","44.839896,-0.583303","N"
"LE 404 CAFE","A14415358","15 Rue Fernand Philippart","-","44.840892,-0.571684","N"
"DATAVOX","A14192859","13 B Rue Elie Gintrac","Gironde","44.830879,-0.571238","Y"
"BORDEAUX TOURNY BP","A14646831","29 Allees De Tourny","Nouvelle Aquitaine","44.844791,-0.576754","N"
"GSM INFO","A16350369","Gsm Info","-","44.83208,-0.57295","N"
"EXOTIQUE LAND SARL","A14130325","9 Cours De La Marne","Gironde","44.830406,-0.571504","Y"
"CHOUIREF HICHAM","A16350105","59 Rue Des Faures","Gironde","44.835141,-0.566709","Y"
"BORDEAUX VICTOIRE","A14648316","19 Place De La Victoire","Nouvelle Aquitaine","44.830518,-0.572253","N"
"BORDEAUX LES SALINIERES BP","A14648350","18 Cours Victor Hugo","Nouvelle Aquitaine","44.835892,-0.567094","N"
"REHOBOTH","A14722984","37 Cours De L Argonne","-","44.82931,-0.57388","N"
"KALEZON SERVICES","A14723303","10 Rue Permentade","Nouvelle Aquitaine","44.83259,-0.567628","N"
"KAPI","A14544245","42 Rue Elie Gintrac","-","44.830856,-0.569218","N"
"KBS STORE","A14308692","65 Rue Elie Gintrac","-","44.830775,-0.568575","N"
"TONNELLIER","A14302081","57 B Rue De Landiras","Gironde","44.827733,-0.586169","N"
"EPICERIE LE THIOF","A14305699","15 Quai De La Monnaie","-","44.834067,-0.562706","N"
"BORDEAUX FONDAUDEGE BP","A14648338","11 Rue Du Temps Passe","Nouvelle Aquitaine","44.850592,-0.586116","N"
"BORDEAUX BARRIERE DE PESSAC BP","A14647580","224 Rue De Pessac","Nouvelle Aquitaine","44.825593,-0.588641","N"
"TABAC SAINT GENES","A14418153","4 Place Louis Barthou","-","44.821581,-0.582445","N"
"BORDEAUX SAINT JEAN BP","A14648361","205 Cours De La Marne","Nouvelle Aquitaine","44.827892,-0.559836","N"
"BORDEAUX NANSOUTY BP","A14648372","378 Cours De La Somme","Nouvelle Aquitaine","44.821195,-0.57254","N"
"BORDEAUX BASTIDE","A14648305","80 Avenue Thiers","Nouvelle Aquitaine","44.843316,-0.555214","N"
"CHATRTRONS NET","A14544575","7 Crs Balguerie Stuttenberg","-","44.855047,-0.571547","N"
"BORDEAUX LES CHARTRONS","A14648349","3 Cours Saint Louis","Nouvelle Aquitaine","44.855293,-0.571721","N"
"BORDEAUX GRAND PARC BP","A14648493","Place De L Europe","Nouvelle Aquitaine","44.858895,-0.581868","N"
"GBIKPI BENISSAN DEDE","A14540274","108 Av Emile Counord","-","44.8597,-0.574931","N"
"BORDEAUX SAINT AUGUSTIN BP","A14648383","13 Rue Berruer","Nouvelle Aquitaine","44.8323,-0.6111","N"
"BORDEAUX CAUDERAN","A14648514","47 Avenue Louis Barthou","Nouvelle Aquitaine","44.851499,-0.609572","N"
"TALENCE","A14648064","262 Cours Gambetta","Nouvelle Aquitaine","44.812691,-0.590508","N"
"MERIGNAC MONDESIR BP","A14648273","21 Avenue De La Marne","Nouvelle Aquitaine","44.838198,-0.616891","N"
"MAISON DE LA PRESSE","A14416908","Maison De La Presse C C Atac","-","44.837357,-0.61722","N"
"BORDEAUX BENAUGE BP","A14648239","Centre Commercial Des Bastides","Nouvelle Aquitaine","44.843795,-0.541974","N"
"EPICERIE ON THE WAY","A14549899","14 Cours Gambetta","-","44.842342,-0.540334","N"
"BORDEAUX MARITIME","A14648327","130 Cours Edouard Vaillant","Nouvelle Aquitaine","44.863593,-0.562421","N"
"BEGLES TERRES NEUVES BP","A14648217","406 Boulevard Jean Jacques Bosc","Nouvelle Aquitaine","44.815668,-0.550617","N"
"FDJ LE TANDONNET","A14414104","4 Rue Hippolyte Tandonnet","-","44.817533,-0.54689","N"
"LE BOUSCAT","A14646996","11 Rue Emile Zola","Nouvelle Aquitaine","44.864859,-0.599726","N"
"BEGLES","A14646907","115 Avenue Lucien Lerousseau","Nouvelle Aquitaine","44.807699,-0.560383","N"
"MERIGNAC ARLAC BP","A14648482","3 Avenue Victor Hugo","Nouvelle Aquitaine","44.823994,-0.624653","N"
"CENON JEAN JAURES BP","A14648206","62 Avenue Jean Jaures","Nouvelle Aquitaine","44.8557,-0.5352","N"
"UNIVERS COM","A14542540","43 Cours Des Aubiers","-","44.873448,-0.572492","N"
"FLOIRAC","A14647238","7 Avenue Du President Francois Mitteran","Nouvelle Aquitaine","44.830299,-0.526898","N"
"SAS AKWAABA EXOTIC COM","A14192332","19 Rue Salvador Allende Centre","Gironde","44.845029,-0.511381","Y"
