"name","orig_id","streetAddress","state","location","platinum"
"BAMSA CELL TECK II","AGT123894","Entrada Principal 25","Escuintla","14.300939,-90.788216","N"
"FORMON DE LA 8","AGT097746","Trocha 8 Calle Vieja Zona 0","Escuintla","14.300905,-90.788334","N"
"GYTSA WAY PALMERAS","AGT210761","4a Avenida 5 42 Zona 1","Escuintla","14.301385,-90.788162","N"
"GYT ESCUINTLA III","AGT161216","4ta Avenida 672 Z 1 Escuintla","Escuintla","14.298931,-90.786323","N"
"INMOBILIARIO ESCUINTLA","AGT032253","4 Avenida 7 40 Zona 1","Escuintla","14.304652,-90.785076","N"
"GYT PS ESCUINTLA 7 INT CENT DE ALIMENTOS","AGT163153","00 Calle Principal Z 00 Ruta Nacional","Escuintla","14.303357,-90.792591","N"
"BI ESCUINTLA","AGT150096","4a Avenida 6 14 Zona 1","Escuintla","14.303497,-90.783002","N"
"GYTSA APOYO INTEGRAL GUATEMALA 1","AGT212444","1ra Avenida 1ra Calle Centro","Escuintla","14.307478,-90.788147","N"
"GENESIS EMPRESARIAL ESCUINTLA III","AGT124905","Centro Com Plza Palmeras 1acall Y 1aav","Escuintla","14.308421,-90.788521","N"
"BI PLAZA PALMERAS","AGT150403","Centro Comercial Plaza Palmeras Local 38","Escuintla","14.309186,-90.787706","N"
"GENESIS EMPRESARIAL ESCUINTLA","AGT120693","Plaza Palmeras 2do Nivel","Escuintla","14.30926,-90.78798","N"
"INTERNACIONAL PLAZA AMERICAS MAZATENANGO","AGT082281","Km 158 Carr. Al Pacifico, Anex","Suchitepequez","14.300181,-90.797344","N"
"BI LA ROTONDA ESCUINTLA","AGT152285","Lote No 31 Manzana A Lotificacion","Escuintla","14.291819,-90.783158","N"
"GENESIS EMPRESARIAL ESCUINTLA II","AGT121474","1a Avenida 1 30 Zona 3 Colonia","Escuintla","14.29103,-90.78365","N"
"BI PRADERA ESCUINTLA","AGT151361","1 Ave 1 40 Z 3","Escuintla","14.2901,-90.787013","N"
"GYT PRADERA ESCUINTLA","AGT161117","1ra Avenida 140 Z 3 Cc Pradera Escuintla","Escuintla","14.29001,-90.78451","N"
"BAMSA CELCOM","AGT124653","4 Avenida 11 50 Zona 1","Escuintla","14.311105,-90.799091","N"
"GYT PS ESCUINTLA VI","AGT163087","Km 505 Carretera A Taxisco Colonia Palo","Escuintla","14.287004,-90.7733","N"
"BAMSA LOS LICHOS MARKET","AGT124356","3a Avenida 6 66 Zona 01","Escuintla","14.321984,-90.789562","N"
"AGROMERCANTIL ESCUINTLA","AGT001958","7 Calle 3 07 Zona 1","Escuintla","14.323122,-90.796318","N"
"CHN ESCUINTLA","AGT035982","4ta Ave 6 98 Zona 1","Escuintla","14.322805,-90.798921","N"
"TRABAJADORES ESCUINTLA","AGT054857","4 Avenida 6 61 Zona 1","Escuintla","14.297136,-90.817348","N"
"BAMSA ACADEMIA DE COMPUTACION COMPUNET","AGT123652","2 Avenida Parcela 49 Parcelamiento","Escuintla","14.27528,-90.77446","N"
"TRABAJADORES PRADERA ESCUINTLA","AGT055210","Cc Pradera Escuintla Local 28","Escuintla","14.289631,-90.820099","N"
"GYTSA CYBERNET","AGT211586","5 Calle 5 38 Apt B Zona 3","Escuintla","14.390007,-90.718289","N"
"BAMSA VENTA DE MEDICINAS ESQUIPULAS","AGT123904","Km 85 Aldea Llanitos","Escuintla","14.206119,-90.850835","N"
"AGROMERCANTIL COINCO","AGT123674","Km 74 Carretera A Puerto Quetzal","Escuintla","14.182288,-90.777847","N"
"GYTSA COMERCIAL ESQUICENTRO","AGT168927","4 Canton","Chimaltenango","14.417899,-90.750327","N"
"BISA FERRETERIA PETEN","AGT157103","5a Calle 0 32 Zona 2","Escuintla","14.404199,-90.69524","N"
"BI PRADERA PALIN","AGT151646","1 Av 7 67 Z 2 Barrio San Lucas Palin","Escuintla","14.404352,-90.692566","N"
"TRABAJADORES PRADERA EXPRESS PALIN","AGT094237","Km 33 5 Carretera Al Pacifico","Escuintla","14.404582,-90.692619","N"
"AGROMERCANTIL PRADERA EXPRESS PALIN","AGT055319","1 Avenida 7 67 Barrio San Lucas","Escuintla","14.404396,-90.692208","N"
"BAMSA CIBER Y LIBRERIA ADONAI","AGT123872","Km  38 5","Escuintla","14.41216,-90.685812","N"
"BAMSA FARMACIA TU SALUD Y MAS","AGT124257","9a Calle 5 24 Zona 1","Escuintla","14.304856,-90.961627","N"
"BAMSA ANGELICA SERVIS","AGT124411","3 Avenida L 16 Zona 0","Escuintla","14.2295,-90.945986","N"
"AGROMERCANTIL LA DEMOCRACIA ESCUINTLA","AGT053757","3 Avenida 6 Calle No 17","Escuintla","14.229012,-90.946235","N"
"BAMSA FARMACIA JIREH","AGT124763","04 Avenida 6 17 Apartamento A","Escuintla","14.307502,-90.966417","N"
"BAMSA FARMACIA JIREH","AUL124764","04 Avenida 6 17 Apartamento A","Escuintla","14.307502,-90.966417","N"
