"name","orig_id","streetAddress","state","location","platinum"
"MNC BANK KCP BANDUNG SUNDA","ADO213982","Jl Sunda No 52 B","Jawa Barat","-6.91902,107.61813","N"
"BRI TERAS PASAR KOSAMBI","AQ6297131","Pasar Kosambi","Jawa Barat","-6.91888,107.62135","N"
"BRI TERAS PASAR KOSAMBI","AQ6295140","Pasar Kosambi","Jawa Barat","-6.91888,107.62135","N"
"BRI UNIT KOSAMBI","AQ6261985","Jl Ahmad Yani No 67","Jawa Barat","-6.92127,107.61905","N"
"BRI KC BANDUNG NARIPAN","AQ6230239","Jl Naripan No 36 Kel Kebon Pisang","Jawa Barat","-6.92081,107.6165","N"
"PT POS KPC BANDUNG KOSAMBI","ADO043877","Jl Jend A Yani No 200 Lengkong","Jawa Barat","-6.9192,107.623505","N"
"PT POS KPC BANDUNG UNPAD","ADO043383","Jl Dipatiukur No 35","Jawa Barat","-6.922153,107.618154","N"
"JNE BANDUNG NARIPAN","ADO162248","Jl Naripan No 17 Bandung","Jawa Barat","-6.920665,107.61489","N"
"BANK SYARIAH INDONESIA KC ASIA AFRIKA","AQ6384031","Jl Asia Afrika No 174 Rt 009 Rw 004","Jawa Barat","-6.922559,107.616617","N"
"BANK SYARIAH INDONESIA KC ASIA AFRIKA","AQ6382468","Jl Asia Afrika No 174 Rt 009 Rw 004","Jawa Barat","-6.922559,107.616617","N"
"BANK BJB KCP KOSAMBI","ADO206557","Jl  Ahmad Yani No  221 223 Blok A 13","Jawa Barat","-6.91805,107.625767","N"
"MAYBANK KC ASIA AFRIKA","ADO000856","Jl Asia Afrika No. 95-97","Jawa Barat","-6.922051,107.614221","N"
"PEGADAIAN UPC LENGKONG","ADO478994","Jl Lengkong Kecil No 40 Paledang","Jawa Barat","-6.923112,107.614253","N"
"PT POS KPC BANDUNG BANJARSARI","ADO072730","Jl Jawa No 7 Bandung Babakan","Jawa Barat","-6.914671,107.612166","N"
"BRI KC BANDUNG","AQ6293511","Jl Asia Afrika No 57 59","Jawa Barat","-6.90961,107.61661","N"
"BRI KW BANDUNG","AQ6293445","Gedung Menara Bri Lt 4","Jawa Barat","-6.90961,107.61661","N"
"BRI KC BANDUNG AA","AQ6230196","Jl Asia Afrika No 57 59","Jawa Barat","-6.90961,107.61661","N"
"BRI KK LEMBONG","AQ6294006","Jl Lembong No 15","Jawa Barat","-6.91613,107.61048","N"
"BRI KK LEMBONG","AQ6295964","Jl Lembong No 15","Jawa Barat","-6.91613,107.61048","N"
"BANK SYARIAH INDONESIA  KC BANDUNG","ADO513677","Jl Jend Ahmad Yani No 252","Jawa Barat","-6.917035,107.62811","N"
"BRI UNIT CIHAPIT","AQ6261952","Jl Cihapit No 7","Jawa Barat","-6.90875,107.62128","N"
"PT POS KPC BANDUNG CIHAPIT","ADO072817","Jl Banda No 30 Bd Bandung Wetan","Jawa Barat","-6.90849,107.621434","N"
"BANK BJB KANTOR PUSAT","ADO200012","Jl Naripan No 12 14","Jawa Barat","-6.919537,107.609866","N"
"BRI KCP RIAU","AQ6232352","Jl Re Martadinata No 110","Jawa Barat","-6.90977,107.6255","N"
"BRI UNIT DALEM KAUM BANDUNG","AQ6261974","Jl Lengkong Besar","Jawa Barat","-6.92448,107.61199","N"
"BRI UNIT DALEM KAUM BANDUNG","AQ6291960","Jl Lengkong Besar","Jawa Barat","-6.92448,107.61199","N"
"BANK BJB KCP MARTADINATA","ADO203817","Jl Ll Re Martadinata No.106","Jawa Barat","-6.909479,107.625299","N"
"PEGADAIAN UPS SADAKELING","ADO508068","Jl Sadakeling No 18 Kel Burangrang","Jawa Barat","-6.928201,107.618987","N"
"BRI UNIT KARAPITAN","AQ6265451","Jl Karapitan No 114a","Jawa Barat","-6.92801,107.61667","N"
"BRI SSB POLWILTABES BANDUNG","AQ6289738","Jl Jawa No 1","Jawa Barat","-6.914182,107.608492","N"
"BANK BJB KC UTAMA","ADO200023","Jl Braga No 12","Jawa Barat","-6.917407,107.607826","N"
"BANK BJB KK PEMDA KOTA BANDUNG","ADO200221","Jl Wastukencana No 2","Jawa Barat","-6.911692,107.609328","N"
"BRI KC BANDUNG MARTHADINATA","AQ6230152","Jl Re Martadinata No 99","Jawa Barat","-6.91553,107.63049","N"
"BRI KK PENGADILAN NEG. BANDUNG","AQ6236400","Jl Re Martadinata No 74 80","Jawa Barat","-6.9064,107.62213","N"
"PT POS LE CANGKUANG KULON","ADO175657","Jl Palasari","Jawa Barat","-6.928302,107.623189","N"
"BANK BJB KK KODYA TAMANSARI","ADO203543","Jl  Wastukencana No 21","Jawa Barat","-6.911364,107.608967","N"
"JNE BANDUNG AHMAD YANI","ADO162567","Jl. Ahmad Yani No.255 A","Jawa Barat","-6.915452,107.630972","N"
"BRI UNIT BANCEUY BANDUNG","AQ6292257","Jl Suniaraja No 25 Braga Sumur","Jawa Barat","-6.91918,107.60699","N"
"BRI UNIT BANCEUY BANDUNG","AQ6265406","Jl Suniaraja No 25 Braga Sumur","Jawa Barat","-6.91918,107.60699","N"
"BANK SYARIAH INDONESIA KC CITARUM","AQ6382480","Jl Taman Citarum No 4","Jawa Barat","-6.905517,107.621832","N"
"BANK SYARIAH INDONESIA KC CITARUM","AQ6384053","Jl Taman Citarum No 4","Jawa Barat","-6.905517,107.621832","N"
"BANK BJB KCP PEMKOT TAMANSARI","ADO203334","Jl Wastukencana No 21","Jawa Barat","-6.911365,107.608408","N"
"MAYBANK KC BANDUNG","ADO000054","Jl R E Martadinata 23","Jawa Barat","-6.906708,107.612874","N"
"BRI KK ASABRI BANDUNG","AQ6236378","Jl Citarum No.6","Jawa Barat","-6.90526,107.62168","N"
"BANK BJB KK YANTAP","ADO200232","Jl Cianjur No 34","Jawa Barat","-6.9165,107.6324","N"
"PT POS KPC BANDUNG HUSEIN","ADO043316","Jl Pajajaran No 154","Jawa Barat","-6.920632,107.606153","N"
"PT POS KPRK BANDUNG","ADO041127","Jl Asia Afrika No 49","Jawa Barat","-6.920839,107.606173","N"
"PT POS MPS BANDUNG 3","ADO178858","Jl Asia Afrika No 49 Bandung","Jawa Barat","-6.920837,107.606172","N"
"PT POS MPS BANDUNG 1","ADO178836","Jl Asia Afrika No 49 Bandung","Jawa Barat","-6.920752,107.606134","N"
"PT POS MPS BANDUNG 2","ADO178847","Jl Asia Afrika No 49 Bandung","Jawa Barat","-6.920752,107.606134","N"
"BRI KC BANDUNG DEWI SARTIKA","AQ6230228","Jl Dewi Sartika No 1 3","Jawa Barat","-6.92263,107.60653","N"
