"name","orig_id","streetAddress","state","location","platinum"
"MUTHOOT FINANCE LTD","A4I826424","Prem No 1 3","Uttar Pradesh","27.17667,78.008075","N"
"KHURJA JN RS","AT6002600","Khurja Jn Rs","Uttar Pradesh","27.17667,78.008074","N"
"UTKARSH SMALL FINANCE BANK LTD","A4I789596","1581 Gr Flr 383 And 384 Survey No 233 46","Uttar Pradesh","27.173284,78.008802","N"
"AGRA FORT POST OFFICE","AII198213","Agra Fort","Uttar Pradesh","27.183012,78.009275","N"
"SACHDEVA LAPTOP AND MOBILE HOUSE","A4I330444","Hardyal Road","Punjab","27.16765,78.00614","N"
"ALI TOURS AND TRAVELS","A4I796668","Paltan Bazar","Uttar Pradesh","27.160733,78.011554","N"
"MUTHOOT FINCORP LIMITED","A4I275004","Shop No G 5 Anupam Plaza","Uttar Pradesh","27.198937,78.005992","N"
"UTKARSH SMALL FINANCE BANK LTD","A4I691651","S.no.g 12 And B 12  Friends Wasan Plaza","Uttar Pradesh","27.204546,78.007174","N"
"SRI MADHOPUR HEAD POST OFFICE","AII229487","Sri Madhopur","Rajasthan","27.160152,77.982412","N"
"SARA COLLECTION","A4I799539","Abhinandan Complex Udayraj Gali Punjabi","Uttar Pradesh","27.202432,77.994923","N"
"BHOJPURIYA GARMENTS","A4I803797","Nh 30 Bali Sonvarsha","Bihar","27.19959,78.02673","N"
"TRAVEL SOLUTIONS","A2I952011","11 Sehra Building Bansal Nagarv","Uttar Pradesh","27.16441,78.038162","N"
"TAJ TRAVELS","A4I689759","Surya Nagar Chauraha Main Road Padrauna","Uttar Pradesh","27.20608,78.00102","N"
"MUTHOOT FINANCE LTD","A4I826127","Premises No 2&3","Uttar Pradesh","27.162217,78.037821","N"
"MANI PHOTO STATE","A4I949691","Teri Bagiya Hathras Road","Uttar Pradesh","27.189937,78.039235","N"
"MUTHOOT FINANCE LTD","A4I865221","Ground Floor","Uttar Pradesh","27.14361,78.01428","N"
"MUTHOOT FINCORP LIMITED","A4I250748","Upper Ground Floor Mayur Complex","Uttar Pradesh","27.210967,78.002131","N"
"MUTHOOT FINCORP LIMITED","A4I273662","1stflrdrno5021infrontsreramchowk","Uttar Pradesh","27.215276,78.019502","N"
"S K  SECURITIES","A4I793104","Shop No 2 Sikardra Delhi Road","Uttar Pradesh","27.206576,77.97205","N"
"GLOBAL FOREX","A4I624134","1811 Basement Premises Hotel Amar","Uttar Pradesh","27.157989,78.054397","N"
"MUTHOOT FINANCE LTD","A4I848381","1 St Floor Plot No 46 Near Kargil Petrol","Uttar Pradesh","27.18098,77.95653","N"
"MANAPPURAM FINANCE LIMITED","A4I315968","568 1 Nekpur Chourasi","Uttar Pradesh","27.206578,77.945603","N"
