"name","orig_id","streetAddress","state","location","platinum"
"SHALOM SRLS","AJW965204","Corso Sardegna 202 204r","Genova","44.411416,8.954908","Y"
"SHUJOY PHONE CENTER DI MIAH RITON","AS6037749","Shujoy Phone Center Di Miah Riton","Genova","44.407917,8.949632","N"
"RICEVITORIA MARGHERITA DI CARIDA FRANCES","AS6034966","Via Della Consolazione 16 R","Genova","44.406235,8.941206","N"
"GARBINI MICHELE","AJW877259","Via Canevari 96r","Genova","44.408661,8.950321","N"
"GIACOBBE ANNA MARIA","AS6034384","Via Pisacane 1","Genova","44.400421,8.952388","N"
"BANCA POPOLARE DI SONDRIO 1 AG DI GENOVA","AS6093156","Piazza Tommaseo 7 R","Genova","44.401738,8.954213","N"
"SERVIZI 2012 SAS DI BEGUM MOKTA AND C","AJW827177","Via Alessandro Rimassa 128 R","Genova","44.397007,8.948482","N"
"GOLDEN CAFE DI AMBROSINI ANNA","AS6067131","Viale Brigata Bisagno 20 22 Rr","Genova","44.4063,8.9339","N"
"BANCA POP SONDRIO AGENZIA DI GENOVA","AJW332714","Via Venticinque Aprile 7","Genova","44.40911,8.934834","N"
"PHONE CENTER WORLD SERVICE VELOZ","AJW230843","Piazza Romagnosi 4r","Genova","44.413271,8.952723","N"
"L ITALIA POSTALE SOCIETA A RESPONSABILIT","AS6037167","Via Tommaso Pendola 38r","Genova","44.407238,8.958964","N"
"WASIM TAHIR","AJW960232","Corso Sardegna 95r","Genova","44.413001,8.956039","N"
"ALVARADO FEBRES JUAN JOSE","AJW522333","Via Della Maddalena 19r","Genova","44.410311,8.932278","N"
"ZUMAETA ALICEDO BLANCA LILIANA","AJW959308","Piazza Leopardi 1 A R","Genova","44.399518,8.961019","N"
"BROTHER SOCIETA IN NOME COLLETTIVO DI IS","AS6093442","Via Di Sottoripa 49 R","Genova","44.409635,8.929313","N"
"ZARIF S N C DI HM FARDIN YEAMIN AND C","AS6093365","Via Di Sottoripa 65r","Genova","44.410638,8.92897","N"
"LA MANTIA GIORGIO","AJW969880","Via Bobbio 148r","Genova","44.41919,8.947235","N"
"LA MIA ALIMENTARI SAS DI ARIF HASAN AND","AJW820642","Via Lomellini 28 R","Genova","44.41275,8.929372","N"
"CLEMENTE BARBARA","AS6067791","Via Bobbio 264 R","Genova","44.419792,8.94718","N"
"ARIF PHONE CENTER DI ARIF MUHAMMAD","AJW798950","Via Del Campo 28 R","Genova","44.412242,8.928336","N"
"MAMUN IBNA ALAUDDIN","AJW337379","Via Di Pre 136 R","Genova","44.415428,8.923734","Y"
"MAA TELECOMUNICAZIONI DI HM FARDIN","AJW732477","Via Del Campo 46 R","Genova","44.412781,8.927675","N"
"KHAN BROTHERS","AJW933942","Via Del Campo 14 R","Genova","44.412781,8.927643","N"
"UNIVERSAL MARKET DI MUSHTAQ MUHAMMAD MUB","AS6067395","Via Donghi 117r","Genova","44.408557,8.96721","N"
"MISHEL E SHAIYANI MINIMARKET DI WAVALAGE","AS6092199","Corso De Stefanis 41 R","Genova","44.421053,8.949206","N"
"GENOVA CALL CENTER SNC DI SWEETY AKTER E","AJW590774","Via Di Pre 11","Genova","44.413195,8.927105","N"
"PHONE CENTER DIANE SERIGNE","AJW939409","Via Di Pre 33r","Genova","44.413667,8.926625","N"
"TABACCHERIA TREDICI BIS","AJW951421","Piazzale Parenzo 21 23 R","Genova","44.422461,8.948398","N"
"MA PHONE CENTER DI BABLU BADRUL AHASAN","AS6090593","Via Di Pre 180 R","Genova","44.414802,8.924736","N"
"TOUBA DIAMBALMS DI GADIAGA KHADIM","AJW904704","Via Di Pre 128 R","Genova","44.415199,8.923969","N"
"S K SOCIETA IN NOME COLLETTIVO DI SOHEL","AJW965017","Via Balbi 146r","Genova","44.415911,8.9244","N"
"KHAIRUN PHONE CENTER DI NESA KHAIRUN","AJW590718","Via Balbi 148","Genova","44.416157,8.924356","N"
"NAHAR TECNOLOGIA DI NAHAR N M MONJUN","AS6095268","Via Balbi 97 R","Genova","44.416388,8.923575","N"
"FERRARO ANTONELLA","AJW935373","Via Tortona 20 R","Genova","44.42537,8.949867","N"
"SADEK SUPER CASALINGHI DI KHUDA KUORATE","AJW934163","Via Fereggiano 261 263 265 267 Rr","Genova","44.41978,8.966618","N"
"AL JOBIN","AJW954325","Via Andrea Doria 64 R","Genova","44.416221,8.920176","N"
"TARAR TARIQ MAHMOOD","AJW959430","Via Buozzi 51 R","Genova","44.415071,8.913921","N"
"ALASSAN ABOUBAKAR SIDIKOU","AJW738725","Via Bruno Buozzi 56 A R","Genova","44.414185,8.912209","N"
"CALDINI SEVERINO","AS6066372","Via Chighizola 32 A R 24 R","Genova","44.39559,8.97991","N"
"TABACCHERIA MILANO DI TRAMACERE PANCRAZI","AS6065809","Via Milano 68r","Genova","44.412647,8.909316","N"
"VILLANI SONIA","AJW909918","Via Posalunga 3r","Genova","44.404823,8.985631","N"
"ABDULLAH ALIMENTARI DI ABDUL GHANI","AJW829542","Via Walter Fillak 127 R","Genova","44.4264,8.91519","N"
"MAA MINIMARKET DI BEPARI NAHID","AJW731058","Via Antonio Cantore 269 R","Genova","44.41298,8.889433","Y"
"UK S N C DI NAEEM AKHTER AND C","AJW957746","Via Canzio 43r","Genova","44.41135,8.888194","Y"
"TABACCHERIA DI CACCIAVILLANI ALESSANDRO","AS6090274","Via Piacenza 318r","Genova","44.438522,8.962384","N"
"SHARIF MINIMARKET DI SHARIF ADNAN","AJW959023","Via Brunello 196 198","Genova","44.410535,8.89172","N"
"INVIONET DI HM","AS6031819","Via Urbano Rela 67 R","Genova","44.412598,8.889701","N"
"SAMIUR INTERNET POINT DI SALMA UMME","AJW825207","Via Stefano Dondero 32 R","Genova","44.412719,8.886715","N"
"AN NAS PHONE CENTER DI ISLAM SIRAJUL","AJW551614","Via W Fillak 43 R","Genova","44.427264,8.892447","N"
"MUHIN MINIMARKET DI MOHAMMED JOYNAL","AS6067625","Via B Agnese 11 R","Genova","44.416992,8.885995","N"
"HOSSAIN BELAYET","AJW931940","Via Jori 87 R","Genova","44.43055,8.892167","N"
"LAVEZZATO PIERANGELO","AS6091648","Via Linneo Carlo 328 A","Genova","44.448948,8.907881","N"
"INTERNET POINT DI SINGH MANBIR","AJW953061","Via Cornigliano 118 R","Genova","44.416022,8.873108","N"
"PRIVITERA TULLIOLA","AJW298713","Via Molassana 89 91r","Genova","44.454144,8.980348","N"
"STUDIO DI MD FAISAL HOSSAIN","AS6091538","Via Cornigliano 113","Genova","44.41576,8.870609","N"
"FORTE DIAMANTE DI TRAVAGLIA GABRIELE","AS6031732","Via Sbarbaro 33","Genova","44.453211,8.907304","N"
"TERRA RUBRA VIAGGI E VACANZE DI BESATI O","AS6065513","Via Angelo Gianelli 132 R","Genova","44.384113,9.021583","N"
"UK S N C DI NAEEM AKHTER AND C","AS6066350","Via Cornigliano 178 R","Genova","44.415302,8.865411","N"
"GOLDEN CAFE DI AMBROSINI ANNA","AS6092913","Via Del Commercio 24r","Genova","44.386215,9.032087","N"
"SARTORI ILARIA","AJW946768","Via Oberdan Guglielmo 108 R","Genova","44.385006,9.034316","N"
"PERINO VALENTINA","AS6067636","Via Struppa 95 R","Genova","44.449684,9.017827","N"
"VETTORELLO FULVIA AMANDA","AS6060024","Via Oberdan Guglielmo 187 R","Genova","44.384067,9.036176","N"
"SAHA RONI","AS6038322","Via Ramiro Ginocchio 56r","Genova","44.425129,8.852993","N"
"NUOVA PASSATEMPO S N C DI STRADI MAURIZI","AS6063247","Via Romairone 10","Genova","44.46809,8.900959","N"
