"name","orig_id","streetAddress","state","location","platinum"
"KUWAIT BAHRAIN INTL EXCHANGE","AWD010202","Bldg Shaya Shaibah St 107 Blk 5","Capital Governorate","29.316359,47.847318","Y"
"AL MUZAINI EXCHANGE CO","AWD020597","Bldg: Sama Mall F  Al Hamlan St","Capital Governorate","29.311452,47.863545","Y"
"AL MULLA EXCHANGE CO","AWD121555","Bldg  No 145  Blk No 8  St No 1","Farwaniya Governorate","29.306768,47.869141","N"
"KUWAIT BAHRAIN INTL EXCHANGE","AWD010356","Sulaibiya Coop Society Al Shaibi St","Al Jahra Governorate","29.272291,47.842011","N"
"AL MULLA EXCHANGE CO","AWD120686","Bldg: No 201 Blk 10 St No 1","Farwaniya Governorate","29.302071,47.889459","Y"
"AL MUZAINI EXCHANGE CO","AWD020717","Bldg : Sabah Al Nasser St No 1","Mubarak Alkabeer Governorate","29.269687,47.874579","Y"
"AL MUZAINI EXCHANGE CO","AWD020618","Bldg: Andalus Coop St No 101","Farwaniya Governorate","29.301182,47.901193","Y"
"UAE EXCHANGE CENTRE","AWD000478","Bldg Ardiya Coop Society St No 7","Farwaniya Governorate","29.281818,47.895568","Y"
"NATIONAL MONEY EXCHANGE","AWD290031","Bldg Al Forda Central Mkt B4 Rd 604","Al Jahra Governorate","29.255519,47.843882","N"
"AL MULLA EXCHANGE CO","AWD121467","Sulaibiya Market Blk 8  St No 16","Al Jahra Governorate","29.253978,47.844106","N"
"AL MUZAINI EXCHANGE CO","AWD021103","Bldg: No 24 Blk 1 Nazzal Al Moassab St","Farwaniya Governorate","29.297621,47.91002","Y"
"UAE EXCHANGE CENTRE","AWD000346","Bldg W  Al Zawawi A M H Al Musailem St","Farwaniya Governorate","29.307183,47.914478","Y"
"KUWAIT BAHRAIN INTL EXCHANGE","AWD010235","Bldg Rehab Al Khaleej Haji Almusailem St","Farwaniya Governorate","29.306401,47.914581","Y"
"AL MUZAINI EXCHANGE CO","AWD020245","Bldg: No 16 St No 1","Farwaniya Governorate","29.305838,47.914587","Y"
"AL MULLA EXCHANGE CO","AWD120796","Bldg: No87 A Muhsin M Al Musailim St","Farwaniya Governorate","29.307791,47.914969","Y"
"AL MUZAINI EXCHANGE CO","AWD020607","Bldg: Saad Abdullah Coop  St No 26","Al Jahra Governorate","29.306943,47.715525","Y"
"AL MUZAINI EXCHANGE CO","AWD021004","Bldg: Coop Society Blk 2 St No2","Mubarak Alkabeer Governorate","29.340008,47.708129","Y"
"AL MUZAINI EXCHANGE CO","AWD020476","Bldg: A Al Mubarak Coop St No 501","Farwaniya Governorate","29.243764,47.895018","Y"
"AMAN EXCHANGE CO","AWD260078","Bldg Avenues Mall Mutlaq Munawir St","Farwaniya Governorate","29.303081,47.933961","Y"
"AL MUZAINI EXCHANGE CO","AWD021060","Bldg: The Avenues Mall Ghazali St","Farwaniya Governorate","29.302277,47.933977","Y"
"AL MUZAINI EXCHANGE CO","AWD020311","Bldg: Avenues Mall St No 5","Farwaniya Governorate","29.302289,47.934024","Y"
"AL MUZAINI EXCHANGE CO","AWD020652","Bldg: Naeem Coop St No 102","Al Jahra Governorate","29.331793,47.696953","Y"
"AL MUZAINI EXCHANGE CO","AWD020971","Bldg: No 13 Sky Bros Complex St No 28","Farwaniya Governorate","29.311926,47.936942","Y"
"AL MUZAINI EXCHANGE CO","AWD021202","Bldg : No 83 Blk 2 St No 1 Shop No  2","Farwaniya Governorate","29.305635,47.912157","N"
"KUWAIT BAHRAIN INTL EXCHANGE","AWD010048","Bldg Saud Al Rasheed Mohd Bin Kasim St","Farwaniya Governorate","29.266192,47.925005","Y"
"AL MULLA EXCHANGE CO","AWD120367","Bldg: No B24 St No 16","Farwaniya Governorate","29.300616,47.913335","N"
"OMAN EXCHANGE COMPANY","AWD130234","Bldg  No 114 Essa Dloum St No 101","Farwaniya Governorate","29.306331,47.914581","N"
"AL MULLA EXCHANGE CO","AWD121137","Bldg: No 354 Blk 2 St No 145","Farwaniya Governorate","29.258013,47.922889","Y"
"AMAN EXCHANGE CO","AWD260067","Bldg 271 Fares F Albasmaan Complex Blk 2","Farwaniya Governorate","29.260594,47.927194","Y"
"AL MUZAINI EXCHANGE CO","AWD020850","Bldg: Al Thahiya Center St No 315","Farwaniya Governorate","29.273776,47.936779","Y"
"AL MUZAINI EXCHANGE CO","AWD020728","Bldg: No 102 Blk 1 St No 23","Capital Governorate","29.324094,47.946213","Y"
"AL MULLA EXCHANGE CO","AWD120895","Bldg: Panda Mallalzima St Street 19","Capital Governorate","29.323691,47.946521","Y"
"KUWAIT BAHRAIN INTL EXCHANGE","AWD010114","Bldg Lafi Naser Al Mutairi Al Ashhab St","Farwaniya Governorate","29.259139,47.932496","Y"
"AL MUZAINI EXCHANGE CO","AWD020179","Bldg: No 17 Khaled Uqab Al Ashhab St","Farwaniya Governorate","29.259233,47.932758","Y"
"AL MUZAINI EXCHANGE CO","AWD020388","Bldg: No 69 A  Mutlaq Al Musailim St","Farwaniya Governorate","29.261769,47.940374","Y"
"AL MULLA EXCHANGE CO","AWD120707","Bldg: No 286 St No 6","Farwaniya Governorate","29.255195,47.936747","Y"
"AL MULLA EXCHANGE CO","AWD120653","Bldg: No 26 A  Mutlaq Al Musailim St","Farwaniya Governorate","29.256613,47.940374","Y"
"LULU EXCHANGE COMPANY","AWD180020","Bldg: Lulu Hypermkt Al Rai 4th Ring Rd","Farwaniya Governorate","29.315071,47.959222","Y"
"AL MUZAINI EXCHANGE CO","AWD020827","Bldg :no 10 Blk 78 St No 200","Farwaniya Governorate","29.278488,47.954055","Y"
"AL MULLA EXCHANGE CO","AWD120280","Bldg: Al Acool St No 4","Al Jahra Governorate","29.339077,47.673189","Y"
"AL MULLA EXCHANGE CO","AWD120774","Bldg: Al Nasseem Coop Society Rd No 1","Al Jahra Governorate","29.323141,47.670921","Y"
"AL MUZAINI EXCHANGE CO","AWD021181","Bldg: J Al Aaqul S Al Mutawtah St","Al Jahra Governorate","29.33941,47.671708","Y"
"AL MUZAINI EXCHANGE CO","AWD020542","Bldg: No 43 Saad Al Mutawah St","Al Jahra Governorate","29.339399,47.671647","Y"
"AL MUZAINI EXCHANGE CO","AWD020762","Bldg: No 8 Blk 5 St No 119","Farwaniya Governorate","29.272556,47.954935","Y"
"AL MULLA EXCHANGE CO","AWD120763","Bldg: No 170 Jordan St","Farwaniya Governorate","29.289431,47.960551","Y"
"AL MUZAINI EXCHANGE CO","AWD020421","Bldg: Khaldiya Coop  St No 20","Capital Governorate","29.328716,47.963749","Y"
"AL MUZAINI EXCHANGE CO","AWD020498","Bldg: No 10 Blk 1 St No 122","Farwaniya Governorate","29.284771,47.960678","Y"
"AL MUZAINI EXCHANGE CO","AWD020289","Bldg: Kaifan Coop Fahad B  Al Sabeeh St","Capital Governorate","29.339444,47.962757","Y"
"AL MUZAINI EXCHANGE CO","AWD020739","Bldg: No 1264 Ali F  Al Dewailah St","Farwaniya Governorate","29.281896,47.961287","Y"
"KUWAIT BAHRAIN INTL EXCHANGE","AWD010071","Dhuwaikh Complex Marzouk Al Metab St","Al Jahra Governorate","29.348139,47.669004","Y"
"LULU EXCHANGE COMPANY","AWD180240","Bldg: Dhuwaikh Complex St No 6","Al Jahra Governorate","29.348136,47.668999","Y"
"UAE EXCHANGE CENTRE","AWD000193","Bldg No 7 N 9 Marzouq Al Miteb St","Al Jahra Governorate","29.347726,47.668815","Y"
"AL MULLA EXCHANGE CO","AWD121489","Bldg  No 25 Shuwaikh Industrial Area","Farwaniya Governorate","29.312046,47.936946","N"
"AL MULLA EXCHANGE CO","AWD120169","Near Maghateer Center Habeeb Munawer St","Farwaniya Governorate","29.279743,47.961801","Y"
"AL MUZAINI EXCHANGE CO","AWD020047","Bldg: Kazma Marzouq Alotaibi St","Al Jahra Governorate","29.349364,47.668645","Y"
"AL MULLA EXCHANGE CO","AWD121313","Bldg: Al Aliya Centre Ain Jalut St No 2","Al Jahra Governorate","29.354264,47.670046","Y"
"AMAN EXCHANGE CO","AWD260023","Bldg Magateer Complex Habib Munawar St","Farwaniya Governorate","29.279278,47.961922","Y"
"AL MUZAINI EXCHANGE CO","AWD020805","Bldg: Magateer Complex H Munawer St","Farwaniya Governorate","29.279126,47.962062","Y"
"AL MUZAINI EXCHANGE CO","AWD020883","Bldg: National Kuwaiti Cinema St No 24","Farwaniya Governorate","29.295407,47.966268","Y"
"AL MUZAINI EXCHANGE CO","AWD020629","Bldg: Yarmouk Coop Abdulaziz B  Baz St","Capital Governorate","29.309604,47.969351","Y"
