"name","orig_id","streetAddress","state","location","platinum"
"AM TELECOM","AEL113984","Bldg Malabe St Al Masaref","Mount Lebanon","33.806734,35.603138","N"
"AA FOR TRADING N SERVICES SARL","AEL109101","Bldg: Alameh   St: Bechara El Khoury","Mount Lebanon","33.807092,35.603412","N"
"BOB FINANCE ALEY","AEL060039","Bldg Bank Of Beirut St Aley Main","Mount Lebanon","33.808073,35.598536","N"
"GHANDI S BOOKSHOP","AEL001717","Bldg: Rotonda   St Alsaraya","Mount Lebanon","33.808215,35.597848","N"
"FAWAZ GENERAL TRD S A R L  ALLO YARA","AEL073107","Bldg: Hatoum   St Maroun Aboud Street","Mount Lebanon","33.804773,35.606802","N"
"FAYEZ EL MOGHRABI FOR GENERAL TRADING","AEL107396","Sanawiye Str","Mount Lebanon","33.804838,35.606915","N"
"RASHAL FOR THE OWNER KHALED ASAAD RASHID","AEL104920","Near Kfc","Mount Lebanon","33.811879,35.608037","N"
"K AND K CORPORATION","AEL058467","Bldg: Rayes Mall St Alsaa","Mount Lebanon","33.811871,35.608487","N"
"X PRESS SERVICES STORE  ALEY","AEL109408","Bldg: Khaldoun Chehayeb   St Souk Aley","Mount Lebanon","33.812085,35.608578","N"
"REEM FOR GENERAL TRADE STORE","AEL109639","Main Street","Mount Lebanon","33.801767,35.579801","N"
"I FOCUS PRODUCTION STUDIO & WO","AEL118747","Bldg Bejjani St Main","Mount Lebanon","33.825302,35.58977","N"
"ROUND TRIP TRAVEL PLUS","AEL058083","Bldg: Bejjani   St Alcham Road","Mount Lebanon","33.828834,35.587265","N"
"JOY FOR TRADING STORE   ABADIY","AEL109178","Main Street","Mount Lebanon","33.82879,35.61955","N"
"N AND N CELL","AEL115018","Bldg Khaourafi St Main","Mount Lebanon","33.813699,35.641641","N"
"JUDY TELECOM STORE WADI CHAHROUR","ALE123940","Bldg Bassam Osta St Main Road","Baabda","33.817536,35.559523","N"
"G B S BOOKS AND STATIONERY","AEL068840","Bldg Assaf St Jean","Mount Lebanon","33.819164,35.559975","N"
"MIKE CELL","ALE131552","Bldg Samir Hamad St Abdeh Main","Tripoly","33.833065,35.635023","N"
"ESTEPHAN ZAKHIA FOR GENERAL TR","AEL009638","Bldg Rizkallah  St Main Road","Mount Lebanon","33.832329,35.568485","N"
"RABAH BOU MJAHED STORE  BAALES","AEL121716","Bldg: Amin Bou Faraj St Al Kroum","Mount Lebanon","33.811787,35.652781","N"
"I CELL STORE  LOUAIZE","AEL120672","Damascus Road","Mount Lebanon","33.836628,35.564375","N"
"ELISE ABI KHALIL FOR TRADE STO","AEL109903","Bldg: Paul Maalle   St Antonine Shchool","Mount Lebanon","33.811161,35.544551","N"
"1 MISSED CALL BAYSOUR STORE BAYSOUR","AEL074317","Bldg: Ziad El Aridi St: Baysour Main","Mount Lebanon","33.771569,35.562014","N"
"FOUAD ZAYAT EST","AEL054221","Bldg: Hamouch   St: Main Road","Mount Lebanon","33.853516,35.578429","N"
"ACHKAR CELL STORE DAYSHOUNIEH","AEL106669","Bldg: Sakr   St: Bedran","Mount Lebanon","33.851953,35.573892","N"
"Q CELL","AEL131166","Bldg Hamouch St Mansourieh Main","Mount Lebanon","33.854126,35.577046","N"
"KARAM CAR CENTER","AEL007900","Bldg Karam Station  St Main Road","Mount Lebanon","33.857991,35.590371","N"
"J E D STORE [BATCHAY]","AEL106416","Bldg Antonine Center  St Main Road","Mount Lebanon","33.828788,35.544993","N"
"CHAHROUR STORE  BAABDA","AEL122014","Bldg Chahine St Taabiaa","Mount Lebanon","33.843244,35.556697","N"
"SALAMEH C SERV EST HAZMIEH","AEL102005","Bldg Maktabi  St St. Takla","Mount Lebanon","33.852556,35.544971","Y"
"RIZKO SERVICES","AEL054528","Bldg: Massoud St Daychouniyeh Main Road","Mount Lebanon","33.855954,35.574912","N"
"JOYFUL HOME APPLIANCES EST  HADATH","AEL103853","Bldg: Farah    St: Bechara El Khoury","Mount Lebanon","33.843671,35.553078","N"
"SABBAGH AND CO","ALE131507","Bldg Najemkhoury St Municipality","Metn","33.857082,35.572754","N"
"MALAEB SERVICES","AEL068938","Bldg Malaeb St Baysour Main","Mount Lebanon","33.75957,35.5658","N"
"DANIEL CENTER EST   BAABDA","AEL121057","Bldg: Daniel    St Kamil Chamoun","Mount Lebanon","33.83406,35.542381","N"
"TMG SARL","AEL130923","Bldg Yazbek St Balata","Mount Lebanon","33.854014,35.56399","N"
"JD TELECOM   AIN AANOUB   ALEY","AEL109002","Bldg: Fahed Nasser St Municipality","Mount Lebanon","33.785092,35.538941","N"
"DOM   TECH S A R L  MANSOURIEH","AEL073503","Bldg: Domtech Tech St Al Sayde Main","Mount Lebanon","33.857873,35.571106","N"
"MADI DOT COM","AEL069292","Bldg Rouhana St Beit Merry Main","Mount Lebanon","33.86482,35.60177","N"
"BOB FINANCE MANSOURIEH","AEL060260","Bldg Salamil St Mansourieh Main","Mount Lebanon","33.857681,35.567953","N"
