"name","orig_id","streetAddress","state","location","platinum"
"POST OFFICE","AKA070858","Colombo Gpo","Western","6.927079,79.861243","N"
"PEOPLES BANK COLOMBO MEDICAL C","AKA046231","Colombo Medicle College Permis","Western","6.927079,79.861243","N"
"DEDIGAMA GROUP","AKA021139","Maligawattha Pawn Shop","Western","6.927079,79.861243","N"
"DEDIGAMA GROUP","AKA021052","Keselwatta Pawn Shop D.g.s.01","Western","6.927079,79.861243","N"
"DEDIGAMA GROUP","AKA021030","Armour Street Pawn Shop","Western","6.927079,79.861243","N"
"CITIZENS DEVELOPMENT BUSINESS FINANCE","AKA208932","No 123","Western","6.92707,79.861","N"
"CITIZENS DEVELOPMENT BUSINESS FINANCE","AKA209647","No 123","Western","6.92707,79.861","N"
"PEOPLES BANK MARADANA","AKA046066","Maradana","Western","6.926997,79.863984","N"
"LB FINANCE PLC","AKA321330","No 133 Deans Road","Western Province","6.924242,79.862953","N"
"SRI LANKA POST  CSC","AKA074708","310 D R Wijewardena Mawatha","Western","6.927757,79.857923","N"
"DEDIGAMA GROUP  PVT  LTD","AKA118721","321 Darley Road","Western","6.923686,79.861917","N"
"PEOPLES BANK SUDUWELLA SC","AKA043810","Suduwella","Western","6.923643,79.861883","N"
"BANK OF CEYLON","AKA160311","Building 94 St S Mahinda Himi Mawatha","WPN","6.925015,79.864204","N"
"SAMPATH BANK PLC","AKA171926","No65 Colombo 10","Western Province","6.930634,79.864868","N"
"SINGER SRI LANKA","AKA201551","Maradana","Western","6.930298,79.865675","N"
"COMMERCIAL BANK OF CEYLON PLC","AKA180320","32 Maradana Branch","Western","6.926104,79.866743","N"
"LB FINANCE PLC","AKA320339","No 538 Maradana Road Colombo 10","Western Province","6.932634,79.860244","N"
"MMBL MONEY TRANSFER PVT LTD","AKA081573","Groun Level  Aitken Spence Tow","Western","6.922497,79.857794","N"
"PAN ASIA BANKING CORPORATION PLC","AKA100328","031","Western Province","6.932728,79.86018","N"
"HATTON NATIONAL BANK","AKA150082","Bldg Hnb St Maligawatte Secretariat","Western","6.931453,79.86533","N"
"PEOPLES BANK TREASUTY UNIT","AKA046671","Treasuty Unit Min Of Finance","Western","6.931966,79.857751","N"
"SINGER SRI LANKA","AKA203036","Shomes  Wellawatta","Western","6.931966,79.857751","N"
"HATTON NATIONAL BANK","AKA151049","Bldg No 18st Main Street","Southern","6.928914,79.855381","N"
"LB FINANCE PLC","AKA321154","No 157 D New Pradeepa Road","Western Province","6.927016,79.854977","N"
"HATTON NATIONAL BANK","AKA150543","Bldg No 479st T B Jayah Mw","Western","6.920807,79.862384","N"
"COMMERCIAL BANK OF CEYLON PLC","AKA182135","231 Attidiya Branch","Western","6.933097,79.858882","N"
"SAMPATH BANK PLC","AKA171454","No 657 Kularathne Mawatha","Western Province","6.92493,79.867789","N"
"BANK OF CEYLON","AKA164854","Blg No114 St 4th Floor Norris Canal Rd","WPN","6.920399,79.86369","N"
"NATIONAL DEVELOPMENT BANK PLC","AKA057297","No 31/5","Western","6.92561,79.868334","N"
"BANK OF CEYLON","AKA163105","Building 500 Street T B Jayah Mawatha","WPS","6.919957,79.859476","N"
"SINGER SRI LANKA","AKA204466","Customer Service","Western","6.919844,79.859331","N"
"COMMERCIAL BANK OF CEYLON PLC","AKA181936","210 Moratuwa Minicom","Western","6.921605,79.856057","N"
"HATTON NATIONAL BANK","AKA150620","Bldg No 150  St Mihindu Mw","Western","6.934436,79.85905","N"
"BANK OF CEYLON","AKA160245","Building 30 Street Sebastian Hill","WPN","6.933615,79.857178","N"
"NATIONS TRUST BANK PLC","AKA118941","House No 242","Western","6.921066,79.856412","N"
"HATTON NATIONAL BANK PLC","AKA152457","Bldg 3rd Floor No 114  St  Norris Canal","Western","6.92042,79.865799","N"
"SEYLAN BANK PLC","AKA270476","Blg No 250st  Sri Sangaraja Mawatha","Western","6.93401,79.865375","N"
