"name","orig_id","streetAddress","state","location","platinum"
"OXXO ESMERALDA MEX","AME726403","Jimenez Cantumz 3 Lt 4","Estado De Mexico","19.549225,-99.288289","N"
"OXXO SAYAVEDRA MEX","AME690377","Jorge Jimenez Cantu 5","Estado De Mexico","19.556695,-99.296443","N"
"OXXO LAGO ESMERALDA MEX","AME682787","Dr Jorge Jimenez Cantu30 Mz1 Lt2","Estado De Mexico","19.549455,-99.286611","N"
"BANORTE ZONA ESMERALDA","AMX741495","Dr Jorge Jimenez Cantu S N Modulos 9 11","Estado De Mexico","19.559,-99.297","N"
"OXXO CANTU MEX","AME726645","Jorge Jimenez Cantulote 6 Y 7","Estado De Mexico","19.560375,-99.296121","N"
"SUPERAMA ESMERALDA","AME570390","Via Doctor Jorge Jimenez Cantu Sn","Estado De Mexico","19.545486,-99.275553","N"
"SORIANA ATIZAPAN 969","AME498340","Boulevar Gral Ignacio Zaragoza  L3","Estado De Mexico","19.564017,-99.279536","N"
"BANORTE LA ANTIGUA","AMX742342","Jorge Jimenez Cantu Lote A2 4","Estado De Mexico","19.572207,-99.302576","N"
"OXXO WINDSOR MEX","AME995836","Jorge Jimenez Cantu 1","Estado De Mexico","19.572938,-99.302906","N"
"OXXO RAYON MEX","AR5060066","Ruiz Cortinez Tlatlaya200","Estado De Mexico","19.552,-99.2684","N"
"FARM AHORRO GUADALAJARA NORTE BUGAMBILIA","AR5025043","Lopez Mateos Sur 1005","Jalisco","19.552511,-99.26751","N"
"BANCOPPEL 1472 ATIZAPAN","AMX020839","Calle Presidente Lopez Mateos 45","Distrito Federal","19.554304,-99.267568","N"
"OXXO PIONEROS MEX","AME693907","Adolfo Lopez Mateos Mz 63 Lt 1","Estado De Mexico","19.555431,-99.267634","N"
"OXXO CENTRO ATIZAPAN MEX","AME684691","Allende Y Adolfo Lopez Mateos Numero45","Estado De Mexico","19.554509,-99.266818","N"
"OXXO Atizapan MEX","AME678454","Mexico Nuevo1","Estado De Mexico","19.553934,-99.266416","N"
"AURRERA EXPRESS LOMAS DE ATIZAPAN 2198","AR5182319","Adolfo Lopez Mateos 143","Estado De Mexico","19.554529,-99.266494","N"
"OXXO Lomas de AtizapanMEX","AME678597","Ruiz Cortinez133","Estado De Mexico","19.554432,-99.262853","N"
"OXXO COMANCHE MEX","AR5121556","Av Toluca 1","Estado De Mexico","19.5527,-99.2613","N"
"OXXO CONCORDIA II MEX","AME689003","Sabadonas116","Estado De Mexico","19.519454,-99.272036","N"
"OXXO PLATEROS MEX","AME820190","General Agustin De Iturbide2 Lt 42 A","Estado De Mexico","19.516223,-99.276245","N"
"ELEKTRA PPR 4032","AMX750086","Carr Atizapan Tlalnepantla 28 D6 Y D7","Estado De Mexico","19.552511,-99.257921","N"
"OXXO MEXICO NUEVO MEX","AME683436","Mexico Nuevo 2","Estado De Mexico","19.55519,-99.257931","N"
"OXXO COPORO MEX","AME820200","Estado De Mexico16","Estado De Mexico","19.560305,-99.257861","N"
"OXXO Lopez Mateos MEX","AME681159","Presidente Adolfo Lopez Mateos17 Mz10 L1","Estado De Mexico","19.566372,-99.260679","N"
"WALMART LOMAS VERDES","AME569082","Super Carretera Lomas Verdes Numero 1200","Estado De Mexico","19.515972,-99.267937","N"
"BANORTE LA CUSPIDE NAUCALPAN","AMX724281","Lomas Verdes  1200","Estado De Mexico","19.5139,-99.2656","N"
"OXXO CANTAROS MEX","AME689180","Blv Universitario23","Estado De Mexico","19.588329,-99.282286","N"
"OXXO RINCON VERDE MEX","AME969064","Av San Mateo 300","Estado De Mexico","19.502557,-99.282882","N"
"BANCO AZTECA ATM NCR O07692","AR5192297","Carretera Villa Nicolas Romero Sn","Estado De Mexico","19.571797,-99.255912","N"
"OXXO Fuen de SateliteMEX","AME681731","Las Fuentes58 Local 4","Estado De Mexico","19.51962,-99.256055","N"
"MODATELAS 99 AP CASH","AME186973","Km 28 Carr Atizapan Villa Nicolas Romero","Estado De Mexico","19.570469,-99.25485","N"
"ELEKTRA 7692","AMX336233","Carretera Villa Nicolas Romero Sn","Estado De Mexico","19.572054,-99.255724","N"
"AURRERA PLAZA ATIZAPAN","AME566902","Carretera Atizapan Villa Nicolas Romero","Estado De Mexico","19.576623,-99.259049","N"
"OXXO PASEO DE ESPANA MEX","AME687924","Paseo De Espaua98","Estado De Mexico","19.518076,-99.256345","N"
"AURRERA NOPALA","AME579058","Avenida San Mateo Nopala Sn","Estado De Mexico","19.502248,-99.276364","N"
"OXXO SEN FERNANDO MEX","AME995661","2 De Abril 17 B","Estado De Mexico","19.559765,-99.249065","N"
"BANORTE PLAZA ATIZAPAN","AMX727734","Tlalnepantla  28 Local E 1","Estado De Mexico","19.5697,-99.2536","N"
"OXXO BODEGAS MEX","AR5060406","Carretera De Atizapan Nicolas Romero66","Estado De Mexico","19.5675,-99.2523","N"
"OXXO DEL BOSQUE MEX","AR5104287","Carr Atizapan Nicolas Romero 37 C","Estado De Mexico","19.57972,-99.2613","N"
"OXXO ACROPOLIS MEX","AME685032","Centro Civico 17","Estado De Mexico","19.512636,-99.260288","N"
