"name","orig_id","streetAddress","state","location","platinum"
"UBA OJODU BO PLOT 104 ISHERI RD","ADH180873","Lagos","Lagos","6.63907,3.35681","N"
"ACCESS BANK PLC","ADH162130","Ibadan Challenge Challenge Area","OYO","6.63739,3.355372","N"
"ACCESS BANK PLC","ADH162129","Ojodu Berger 101 Isheri Road","Lagos","6.638856,3.361174","N"
"GTBANK OGBA 2","ADH092422","19 Isheri Road Opposite Waec Building","Lagos","6.63524,3.34844","N"
"POLARIS BANK LTD","ADH140338","37 38 Isheri Ojodu Road, Ogba","Lagos","6.635101,3.34881","N"
"UBA 26 ISHERI RD OJODU","ADH182051","Lagos","Lagos","6.63886,3.36203","N"
"FIDELITY BANK","ADH201752","Plot P, Blk 2 Ogba Housing Sch","Lagos","6.63535,3.34678","N"
"WEMA BANK PLC","ADH110429","Plot 45 Omole","Lagos","6.63468,3.35255","N"
"GTBANK","ADH091542","50 Isheri Road","Lagos","6.634564,3.350152","N"
"ZENITH BANK","ADH080179","Plot 1  Block B Ogba Housing Scheme","Lagos","6.63533,3.34613","N"
"UBA AKUTE BUSINESS OFFICE","ADH185296","85 Alagbole Akute","Lagos","6.666804,3.356358","N"
"POLARIS BANK LTD","ADH142208","Isheri Ojodu","Lagos","6.635116,3.360304","N"
"FIRST CITY MONUMENT BANK PLC","ADH150052","Km 23 Berger Bus Stop Lagos Expressway","Lagos","6.639822,3.367783","N"
"UNION BANK OF NIGERIA PLC OJODU BERGER","ADH244212","Ogunusi Road, Ojodu Berger","Lagos","6.639964,3.367881","N"
"ECOBANK NIGERIA","ADH053263","420 Oba Ogunnusi Road","Lagos","6.63975,3.36815","N"
"UBA 50 IJAIYE ROAD OGBA LAGOS","ADH182248","Lagos","Lagos","6.63203,3.34046","N"
"FIDELITY BANK PLC ABA 1","ADH200025","Auto Parts Market","Abia","6.63274,3.339118","N"
"GTBANK","ADH090518","Plot 4 Isheri Rd","Lagos","6.63535,3.33472","N"
"ZENITH BANK","ADH081390","1 Ibadan Road","Ogun","6.632663,3.365337","N"
"FIRST CITY MONUMENT BANK PLC","ADH150535","34 Ojodu Akute Road","Ogun","6.672158,3.360124","N"
"KEYSTONE BANK OGBA","ADH191334","38 Ogba Ijaiye Road Ogba Lagos","Lagos","6.63111,3.33924","N"
"ZENITH INTERNATIONAL BANK","ADH081192","8-10 Lateef Jakande Rd","Lagos","6.627698,3.354628","N"
"STERLING BANK","ADH102279","22 Ogunlowo Street","Ogun","6.67512,3.349548","N"
"FIRST BANK OF NIGERIA PLC","ADH007657","Fbn Ogba 2","Lagos","6.62973,3.33789","N"
"ECOBANK NIGERIA","ADH052844","21 Ijaiye Road","Lagos","6.628601,3.337505","N"
"UBN PLC OGBA","ADH241824","Acme Road Rales Glass House","Lagos","6.62485,3.3423","N"
"UBA NIGERIA","ADH181632","Lagos","Lagos","6.62448,3.34272","N"
"UBA 96 IJU ROAD","ADH182293","Lagos","Lagos","6.64901,3.32335","N"
"KEYSTONE BANK IJU","ADH190531","123 Iju Road Iju","Lagos","6.64948,3.32318","N"
"HERITAGE BANK ENTREPRISE","ADH230396","All Seasons Plaza Lateef Jakande Road","Lagos","6.622665,3.352807","N"
"UBN PLC IJU","ADH241264","169 Iju Rd Fagba","Lagos","6.65643,3.32321","N"
"GTBANK IJU","ADH092433","90 Iju Fagba Road Iju","Lagos","6.65811,3.32329","N"
"STERLING BANK","ADH100529","102 Iju Road","Lagos","6.643,3.323377","N"
"ZENITH INTERNATIONAL BANK","ADH081224","149 Iju Rd Agege","Lagos","6.642438,3.323485","N"
"GUARANTY TRUST BANK PLC","ADH092796","41/43 Itire Road, Surulere, La","Lagos","6.62237,3.34537","N"
"ZENITH BANK","ADH082708","No 38 Ajuwon Akute Road","Ogun","6.678213,3.361434","N"
"ECOBANK NIGERIA PLC","ADH055605","155 Iju Road","Lagos","6.627904,3.331704","N"
"ACCESS BANK","ADH167168","4 Ashabi Cole Str Agidingbi Alausa","Lagos","6.620752,3.353423","N"
"FIRST BANK OF NIGERIA PLC","ADH002597","Agidingbi Branch","Lagos","6.62072,3.35407","N"
"ZENITH BANK","ADH082027","18 Iju Road","Lagos","6.636611,3.324007","N"
"ACCESS BANK PLC","ADH162570","Blk 34 Plot 2250","Lagos","6.623623,3.334206","N"
"UBA ELEPHANT CEM HSE ALAUSA IKEJA","ADH181555","Lagos","Lagos","6.61716,3.35648","N"
"FIDELITY BANK","ADH201961","28/29 Iju Road Agege","Lagos","6.628782,3.324283","N"
"POLARIS BANK LTD","ADH140570","Commercial Scheme","Lagos","6.616327,3.357211","N"
"STANBIC IBTC OKO OBA BRANCH","ADH171172","Abattoire Market, New Oko Oba","Lagos","6.645963,3.316259","N"
"ACCESS BANK","ADH166848","54b Adeniyi Jones Ikeja","Lagos","6.61604,3.34601","N"
"ZENITH BANK","ADH082621","42 Ogba Ijaiye Road","Lagos","6.627336,3.324302","N"
"UBN PLC PEN CINEMA","ADH242221","4 Iju Rd Stro House Pen Cinema Agege","Lagos","6.62761,3.32335","N"
"GUARANTY TRUST BANK PLC.","ADH090936","Besides Technical Ref. Centre","Lagos","6.61615,3.36189","N"
"STANBIC IBTC IKEJA MALL","ADH171710","Ikeja Mall , Alausa","Lagos","6.61516,3.35812","N"
"POLARIS BANK LTD","ADH142835","2 Adeniyi Jones","Lagos","6.614867,3.345913","N"
"UBA 473B ABEOKUTA EXPRESS RD LAGOS","ADH181797","Lagos","Lagos","6.647404,3.314728","N"
