"name","orig_id","streetAddress","state","location","platinum"
"PRIMERA WATERLOOPLEIN","A11282192","Waterlooplein 169","North Holland","52.368523,4.90235","Y"
"EXCHANGE CORPORATION NETHERLANDS BV","A11250016","Damrak 12","-","52.37675,4.897483","N"
"PRIMERA BEUKENPLEIN","A11181190","Beukenplein 6","Noord Holland","52.357445,4.91758","Y"
"H A VAN HARTINGSVELDT V O F","A11180155","Eerste Van Der Helststraat 39","Noord Holland","52.35539,4.89328","Y"
"BELHUIS PRINCE","A11270146","Sumatrastraat 58 H","Noord Holland","52.362916,4.93578","Y"
"TABAKS GEMAKZZAK VIVANT DE JORDAAN","A11282510","Westerstraat 114","-","52.378598,4.883442","N"
"KINKERSTRAAT","A11440097","Kinkerstraat 232","Amsterdam","52.36798,4.875128","N"
"HAJI TELECOM","A11146166","Molukkenstraat 119","Noord Holland","52.361916,4.939891","Y"
"FRED S TABAKSHOP","A11180209","Javastraat 72","Noord Holland","52.363891,4.934635","N"
"PRIMERA MOSVELD","A11281531","Mosveld 103","North Holland","52.390633,4.914049","Y"
"E S M  PHONEHOUSE","A11270849","Van Der Hoopstraat 97","Noord Holland","52.384169,4.871486","Y"
"THE READ SHOP INSULINDEWEG","A11181475","Insulindeweg 478","Noord Holland","52.361384,4.939597","N"
"SATELLITE WORLD COMMUNICATION","A11270597","Jan Van Galenstraat 127 H","Noord Holland","52.374478,4.85791","Y"
"PRIMERA HEIJM","A11180803","Stadionweg 139","NH","52.346112,4.865359","Y"
"TABAKSPECIAALZAAK ADMIRAAL","A11149345","Admiraal De Ruijterweg 389 H","Zuid Holland","52.382392,4.851401","Y"
"PRIMERA BUIKSLOTERMEERPLEIN","A11181189","Buikslotermeerplein 100","Noord Holland","52.398383,4.938047","Y"
"PRIMERA VAN VUURE","A11282817","Waterlandplein 260","-","52.392053,4.95491","N"
"PRIMERA BROUWER","A11181288","Burgemeester De Vlugtlaan 178","Noord Holland","52.381478,4.822657","Y"
"SARRA PHONE","A11271060","Burg Van Leeuwenlaan 65 Bd","Noord Holland","52.377076,4.81236","Y"
"UNITY MONETARY SERVICES","A11143130","Bijlmerdreef 1131a","Noord Holland","52.321961,4.972609","Y"
"PHONE GATE","A11149071","Osdorper Ban 98","Noord Holland","52.361902,4.798386","Y"
"PRIMERA DIJKGRAAFPLEIN","A11283050","Dijkgraafplein 32","North Holland","52.356102,4.786534","Y"
"REIS EN BEMIDDELING BUREAU GHABIANG","A11141314","Annie Romeinplein 50","-","52.322047,4.969387","N"
"AKASH MULTI PLAZA","A11148784","Holendrechtplein 14 B","Noord Holland","52.299851,4.963276","Y"
"GOLD COAST TRAVEL","A11270245","Kralenbeek 70","Noord Holland","52.313981,4.975027","N"
"PRIMERA VLASKAMP","A11180133","Wisseloord 97","Noord Holland","52.296448,4.987025","Y"
"DE TABAKKER Z O","A11280970","Holendrechtplein 4","North Holland","52.300087,4.963149","N"
"PAX SHOP","A11148674","Paxlaan 10","Noord Holland","52.309157,4.681906","Y"
"SIGARENMAGAZIJN TIMMY","A11180090","Rijksstraatweg 108","Noord Holland","52.404007,4.648169","Y"
"MILLENNIUM INTERNETCAFE AND BELHUIS","A11147354","Hendrik Mandeweg 41","Noord Holland","52.485438,4.663681","Y"
"TAKE AWAY CORNER","A11270838","Lange Nieuwstraat 196","Noord Holland","52.45738,4.612159","N"
"GEMAKSWINKEL LANGERAAR","A11180463","Nokweg 3","Zuid Holland","52.224951,4.672301","N"
"TABAKSHOP FRANK EVERS","A11180089","Mariastraat 2","Zuid Holland","52.294637,4.580578","N"
