"name","orig_id","streetAddress","state","location","platinum"
"NEW GALAXY MONEY TRANSFER","ANP118092","Bharatpur 4","Narayani","27.670626,84.438461","N"
"SULAV MONEY TRANSFER","ANP146921","Bharatpur Mnc 12","Narayani","27.670997,84.437865","N"
"KISAN SACCOS","ANP285664","Branch Office Saptarangi","Bagmati","27.672168,84.438793","N"
"BHATBHATENI MONEY TRANSFER PVT LTD","ANP266997","Branch Office Bharatpur Mmnc 5","Narayani","27.670467,84.435772","N"
"LUMBINI BIKAS BANK LTD","ANP195310","Branch Office Hakimchowk","Narayani","27.67112,84.435808","N"
"MEGA BANK NEPAL LIMITED","ANP283244","Bharatpur Branch","Bagmati","27.67098,84.435668","N"
"MACHHAPUCHCHHRE BANK LTD","ANP238716","Branch Office Bharatpur Np","Narayani","27.669778,84.435608","N"
"SUNRISE BANK LIMITED","ANP210556","Bharatpur Sub Metropolitan City 7","Narayani","27.673,84.437","N"
"SAMU AND EMANU TRADE LINK","ANP262850","Bharatpur Mmnc 6","Narayani","27.671464,84.435381","N"
"MAX MONEY TRANSFER","ANP178074","Bharatpur Mnc 9","Narayani","27.671225,84.434916","N"
"MUKTINATH BIKAS BANK LTD","ANP224306","Chitwan Mnc Ward No 10","Narayani","27.671003,84.434402","N"
"KUMARI BANK LTD","ANP281990","Branch Office Bharatpur 10","Narayani","27.671404,84.434062","N"
"KISAN SACCOS","ANP285653","Branch Office Samriddhi","Bagmati","27.674669,84.439152","N"
"EVEREST BANK LIMITED","ANP290262","Bharatpur Na Pa 10","Bagmati Province","27.671218,84.43387","N"
"MAHALAXMI BIKAS BANK LIMITED","ANP169384","Branch Office Bharatpur 10","Narayani","27.670643,84.433777","N"
"PRIME COMMERCIAL BANK LTD","ANP268263","Branch Office Bharatpur Mmnc 10","Narayani","27.670037,84.433691","N"
"NABIL BANK LIMITED","ANP226913","Hakimchowk Branch","Bagmati","27.671674,84.433673","N"
"SIDDHARTHA BANK LTD","ANP217201","Bharatpur Mahanagarpalika 10","Narayani","27.67173,84.433541","N"
"BABA MONEY TRANSFER","ANP237133","Bhartpur 2","Narayani","27.671011,84.433392","N"
"ATHARWA BACHAT TATHA RIN SAHAKARI S L","ANP330687","Malpot Chowk Bharatpur","Bagmati","27.677826,84.439488","N"
"KALIKA VISION TRADERS","ANP198951","Munal Chowk Road Naurange","Bagmati Province","27.67528,84.445615","N"
"NEW ANMOL MONEY TRANSFER","ANP211393","Bharatpur Sub Metropolitan Cit","Narayani","27.667209,84.429621","N"
"NMB BANK LTD","ANP272552","Khaireni Nagarpalika 8","Narayani","27.680863,84.439444","N"
"NMB BANK LTD","ANP272310","Bharatpur Upamahanagarpalika 7","Narayani","27.680958,84.4396","N"
"DOKO MONEY TRANSFER","ANP218345","Bharatpur Mahanagarpalika 1","Narayani","27.66412,84.449587","N"
"KUMARI BANK LTD","ANP237847","Branch Office Bharatpur 10","Narayani","27.681137,84.431825","N"
"D AND B SUB MONEY TRANSFER","ANP171583","Bharatpur Mnc  10","Narayani","27.681678,84.430393","N"
"JYOTI BIKAS BANK LTD","ANP170681","Branch Office Bharatpur Mnc 9","Narayani","27.683333,84.433333","N"
"CENTURY COMMERCIAL BANK LTD","ANP171671","Branch Office Bharatpur Mnc4","Narayani","27.683333,84.433333","N"
"NEPAL BANGLADESH BANK LTD","ANP173705","Branch Office Bharatpur Mnc4","Narayani","27.683333,84.433333","N"
"SHANGRILA DEVELOPMENT BANK LTD","ANP176203","Branch Office Bharatpur Mnc 3","Narayani","27.683333,84.433333","N"
"LAXMI GANESH MONEY TRANSFER","ANP157107","Bharatpur Vdc 2","Janakpur","27.683333,84.433333","N"
"CIVIL BANK LTD","ANP123117","Narayangarh","Narayani","27.682369,84.430361","N"
"ATHARWA BACHAT TATHA RIN SAHAKARI S L","ANP330719","Phulbari Bharatpur 44200","Bagmati","27.683363,84.431638","N"
"NARAYANI DEVELOPMENT BANK LIMITED","ANP279274","Bharatpur Cancer Hospital Road Bharatpur","Bagmati","27.666654,84.423033","N"
"DARSHAN MONEY TRANSFER","ANP274642","Bharatpur Upamahanagarpalika 10","Narayani","27.684933,84.438702","N"
"CHITRAWAN SACCOS","ANP144314","Bharatnagar Mnc 10","Narayani","27.668039,84.422564","N"
"EX ARMY MONEY TRANSFER","ANP164510","Bharatpur Mnc 7","Narayani","27.665252,84.423151","N"
"LOK KALYANKARI SAVING AND CREDIT COOP","ANP198610","Rampur Rd Lokkalyankari Saccos Bldg","Bagmati Province","27.67847,84.422794","N"
"SAMAJHDARI BHOJAD SAVING AND CR COOP LTD","ANP304167","Branch Office Bharatpur Manapa 11","Bagmati","27.680538,84.423834","N"
"SYNERGY HOME CENTER","ANP265666","Bharatpur Mmnc 11","Narayani","27.685659,84.445659","N"
"FIKURI MONEY TRANSFER","ANP115923","Fikuri Vdc Ward No 4","Bagmati","27.686173,84.431788","N"
"NEW CHITWAN SAVING AND CREDIT COOP LTD","ANP115956","Bharatpur Municipality 10","Narayani","27.686173,84.431788","N"
"ROYAL MONEY TRANSFER","ANP091612","Bharatpur Mnc 12","Narayani","27.686325,84.429254","N"
"KRISHNAPUR MONEY TRANSFER","ANP214253","Bharatpur Sub Metropolitan City 7","Narayani","27.663881,84.418082","N"
"JANASEWA MONEY TRANSFER","ANP213669","Bharatpur Sub Metropolitan City 4","Narayani","27.677915,84.417333","N"
"KUMARI BANK LTD","ANP160165","Bharatpur Mnc  6","Narayani","27.675533,84.416399","N"
"BANK OF KATHMANDU LUMBINI LTD","ANP157965","Bharatpur Metropolitan City 6","Narayani","27.677358,84.417","N"
"CHAUTARI SACCOS","ANP281417","Bharatpur 3","Narayani","27.676231,84.4165","N"
"PRAYASH SAVING AND CREDIT COOPERATIVE L","ANP279241","Bikram Baba Bharatpur","Bagmati","27.674554,84.415966","N"
