"name","orig_id","streetAddress","state","location","platinum"
"WU MULTICENTRO","APM037440","C C  Multicentro 1er  Piso A Lado De La","Panama","8.976956,-79.517862","Y"
"AM PM OBARRIO","APM038517","Calle Samuel Lewis Edif Generalli Local1","Panama","8.985543,-79.521677","N"
"AM PM BEIRUT","APM038627","Avenida Ricardo Arias Am Pm Penta Plaza","Panama","8.984647,-79.523592","N"
"WU PLAZA CONCORDIA","APM031400","Via Espana Plaza La Concordia Local 131","Panama","8.984679,-79.525998","Y"
"MAS ME DAN VENETO","APM036241","Frente Del Don Lee","Panama","8.983816,-79.52727","Y"
"MONKEY PRINT","APM038353","Marbella Cl Aquilino De La Guardia Edif","Panama","8.975689,-79.521452","N"
"EMPENOS VENETO 5","APM038463","Vista Hermosa Al Lado Del 99","Panama","8.983748,-79.526863","N"
"WU MULTIPLAZA","APM035471","Cc Multiplaza Tercer Piso","Panama","8.986601,-79.511186","Y"
"KENG FAIN LIANG","APM038452","Urb Bella Vista Call 4 Edif Ph Kitaen","Panama","8.986373,-79.526569","N"
"MAS ME DAN CL  50","APM038364","Calle 50 Plaza La Colmena Local 5","Chiriqui","8.986034,-79.512751","N"
"MAS ME DAN VIA PORRAS","APM036229","Diagonal Al Super 99 Despues D","Panama","8.99313,-79.517077","Y"
"CASA DE EMPENOS CASH CASH","APM038474","Via Argentina Calle Principal Ed","Panama","8.988518,-79.528724","N"
"AM PM VIA ISRAEL","APM038528","Via Israel Edif  The Plaza Local Pb","Panama","8.987498,-79.509191","N"
"AM PM VIA PORRAS","APM038539","Via Porras City Plaza Local 8","Panama","8.993952,-79.516368","N"
"EMPENOS VENETO","APM030553","Vista Hermosa Al Lado Del Super 99","Panama","8.997968,-79.519688","Y"
"MAS ME DAN TRANSISTMICA","APM036252","Frente Al Mcdonald","Panama","8.995784,-79.5281","Y"
"EMPENOS VENETO 4","APM038441","Bella Vista P H  Lemon Tower","Panama","8.97825,-79.531799","N"
"MAS ME DAN VISTA HERMOSA","APM036603","Frente Al Super 99","Panama","8.998656,-79.519927","Y"
"AM PM CANGREJO","APM038496","Cangrejo Via Argentin Ed Vellure Localpb","Panama","8.985797,-79.532708","N"
"WU XTRA TRANSISTMICA","APM037945","Transistmica Simon Boolivara E","Panama","8.990868,-79.503795","Y"
"EMPENOS VENETO 2","APM031411","Avenida Peru Hotel Venecia","Panama","8.972256,-79.535594","Y"
"CD XTRA VIA ISRAEL SOLUCIONES INTEGRALES","APM038320","Urb. San Francisco Cl","Panama","8.987235,-79.501831","N"
"WU MACHETAZO CALIDONIA","APM030102","Dentro De Le Machetazo De Cali","Panama","8.967577,-79.539196","Y"
"AM PM VIA ESPANA","APM038616","Via Espana Edif Alai Local Pb","Panama","9.001758,-79.516256","N"
"MAS ME DAN CALIDONIA","APM036537","Calle 21 De Enero Antiguea Hie","Panama","8.96511,-79.539622","Y"
"JOYERIA PERU","APM032807","Calidonia Edif Arbel Local 4 P","Panama","8.972118,-79.539233","N"
"MAS ME DAN DORADO 2","APM036593","Al Frente De La Casa Redonda","Panama","9.007379,-79.533657","Y"
"SUPER CASH 12 DE OCTUBRE","APM037846","Pueblo Nuevo Ave 12 De Octubre Calle","Panama","9.009032,-79.507892","Y"
"MAS ME DAN PLAZA 5 DE MAYO","APM036339","Peatonal Al Frente Del Banismo","Panama","8.960249,-79.541025","Y"
"WU EL DORADO","APM031147","Urbanizacion Betaniaedificio P H Centro","Panama","9.008513,-79.53592","Y"
"MAS ME DAN EL DORADO / BANCO NACIONAL","APM036438","Dorado Mall","Panama","9.009138,-79.535064","Y"
"EMPENOS VENETO 3","APM031488","Ave. Cuba Edif. Poli Local B3","Panama","8.965356,-79.538185","N"
"CD XTRA CALIDONIA  PRONTO GIROS","APM038397","Xtracalidonis Avseptima Central Y Avperu","Panama","8.966648,-79.540288","N"
"MAS ME DAN ALBROOK TERMINAL","APM036560","La Terminal A Lado De La Caja","Panama","8.975366,-79.551517","Y"
