"name","orig_id","streetAddress","state","location","platinum"
"AG AREQUIPA","APU000023","Calle Mercaderes No 224 Local 126","Arequipa","-16.399117,-71.534432","Y"
"GREYES J NET","APU141362","Calle Mercaderes 212 Int 7 Galer Gamesa","Arequipa","-16.399047,-71.534749","N"
"CAJA SULLANA   AG AREQUIPA","APU144606","Calle Moran 101 Esquina Con Jerusalen","Arequipa","-16.397717,-71.534727","N"
"AG PLAZA VEA AREQUIPA","APU143452","Av La Marina Nro 300 Local Lci105","Arequipa","-16.397442,-71.538972","N"
"PROEMPRESA AGENCIA AREQUIPA","APU058433","Calle Moral 107 Cercado","Arequipa","-16.397511,-71.535289","N"
"FINANCIERA CONFIANZA AG AREQUI","APU051766","Av Jose Abelardo Quinonez Mz B","Arequipa","-16.397149,-71.547092","N"
"CAJA SULLANA  AGENCIA AREQUIPA","APU062162","Calle Moran N 101 Esquina Con Jerusalen","Arequipa","-16.424737,-71.538629","N"
"AG AVELINO CACERES","APU057476","Urb Vista Hermosa Mz D Lote 1","Arequipa","-16.425094,-71.535579","N"
"CMAC HUANCAYO AG  J L  BUSTAMANTE Y RIV","APU149414","Mz B Lt 1 De La Urb Los Balcones","Arequipa","-16.425225,-71.534307","N"
"COMERCIAL HM","APU146509","Av 15 De Julio Lote 02","ATE","-16.403258,-71.520487","N"
"CAJA RURAL RAIZ AG AREQUIPA","APU146015","Av Mariscal Castilla","Arequipa","-16.399313,-71.521523","N"
"PERU MONEY PAUCARPATA","APU069927","Av Porongoche 500","Arequipa","-16.417194,-71.514384","Y"
"FINANCIERA CONFIANZA AG LA NEG","APU051788","Av Venezuela Sn Centro Comerci","Arequipa","-16.403289,-71.518191","N"
"SNI SURPERUANA","APU141373","Urb Leon Xiii Mz A  Lt 9","Arequipa","-16.392152,-71.549001","N"
"AG  MALL PLAZA AREQUIPA","APU142208","Av Ejercito 793 Local Lf04 Aca","Arequipa","-16.390232,-71.54662","N"
"PREPAGO   COMERCIAL JOSUE","APU242649","Avenida Mariscal Castilla No 613 Int 1 E","Miraflores","-16.402384,-71.516823","N"
"CMAC HUANCAYO AG  MIRAFLORES   AREQUIPA","APU149425","Av Teniente Ferrer 217","Arequipa","-16.400356,-71.516069","N"
"FINANCIERA CONFIANZA AG CAYMA","APU051777","Av Cayma N  622","Arequipa","-16.388749,-71.547385","N"
"AGENCIA DE COBROS KASNET AG AREQUIPA","APU147676","Av El Ejercito Esq Con Calle Los Arces","Arequipa","-16.389082,-71.548683","N"
"PREPAGO   BIO QHALY","APU242627","Urb. Quinta La Cascada A-1","Arequipa","-16.393026,-71.555326","N"
"PROEMPRESA AGENCIA PAUCARPATA","APU058422","Av Jesus 612 C A 1 2 Cdra Del Mercado","Arequipa","-16.411926,-71.51255","N"
"MAVIL COMUNICACIONES","APU143935","Av Alfonso Ugarte 503 Lt La Li","Arequipa","-16.426892,-71.557808","N"
"INTERNET RODRIGO","APU142659","Calle Arequipa 372 Mollendo","Arequipa","-16.37897,-71.555021","N"
"PREPAGO  MINIMARKET CHOQUE","APU241945","Av Espana A S A N 522","Arequipa","-16.37958,-71.515978","N"
"PREPAGO   INFORNET","APU146367","Av Brasilia 308 Hunter Zona A","Arequipa","-16.44142,-71.55743","N"
"BAZAR LIBRERIA CHRISDEY","APU140174","Calle Pucallpa Nro  802","Arequipa","-16.447395,-71.532202","N"
"PREPAGO  LA VOLUNTAD DE DIOS","APU241022","Jr Huamachuco 426","Ancash","-16.361609,-71.516062","N"
"LIBRERIA BAZAR","APU144738","Pt Zamacola Ca Maranon 203","Arequipa","-16.35427,-71.565891","N"
"CAJA SULLANA  OF CERRO COLORAD","APU127722","Av Aviacion Km 8 5 Mza A Lote","Arequipa","-16.342266,-71.577408","N"
"CMAC HUANCAYO AG  CIUDAD MUNICIPAL AQP","APU149436","Asoc De Viv Ciudad Municipal Mz A Lt 4","Arequipa","-16.345207,-71.582409","N"
"CMAC HUANCAYO AG  CERRO COLORADO","APU149403","Villa Faucett Mz A Lt 21","Arequipa","-16.342708,-71.579193","N"
"CAJA LOS ANDES AG CERRO COLORADO","APU243145","Av Aviacion Mz A Lt 54 Zona A","Arequipa","-16.342448,-71.581648","N"
"PROEMPRESA AGENCIA YURA","APU141207","Eduardo De La Pinela Mz B Lt 10","Arequipa","-16.325445,-71.595951","N"
"PREPAGO   INTERNET ALVAREZ","APU145388","Asentamiento Poblacion Asociacion","Arequipa","-16.302249,-71.619948","N"
"AG CHICLAYO","APU058707","Jr Elias Aguirre 784","Lambayeque","-6.771904,-79.838691","Y"
"EDPYME ALTERNATIVA AG LAMBAYEQUE","APU147852","Calle Emiliano Nino 124","Lambayeque","-6.77316,-79.86179","N"
"PREPAGO  MAX SERVIC","APU145652","Calle San Jose 155 Oficina 113","Chiclayo","-6.770419,-79.846521","N"
"MULTISERVICIOS BODEGA B AND M","APU140493","Av  Salaverry Nro  155","Lambayeque","-6.771315,-79.845657","N"
"EDPYME ALTERNATIVA AG OYOTUN","APU147928","Calle San Jose 234","Lambayeque","-6.770836,-79.843831","N"
"CREDISERV","APU063866","Manuel Maria Izaga 206","Lambayeque","-6.773219,-79.842281","N"
"EDPYME ALTERNATIVA AG MOSHOQUEQUE","APU147841","El Dorado 1233","Lambayeque","-6.758686,-79.843849","N"
"CAJA TRUJILLO AGENCIA MOSHOQUEQUE","APU065055","Av El Dorado No 1265","Lambayeque","-6.75869,-79.843405","N"
"CAJA SULLANA  OF ESPECIAL MOSH","APU052998","Calle Bolivar268 Urb Francisco","Lambayeque","-6.760272,-79.841958","N"
"CAJA TRUJILLO AGENCIA CHICLAYO","APU055067","Esq Av Jose Balta 608 Nanuel Maria Izaga","Lambayeque","-6.773013,-79.838466","N"
"CAJA RURAL RAIZ AG CHICLAYO","APU146026","Ca Manuel Maria Izaga N 715 71","Lambayeque","-6.772826,-79.838217","N"
"CAJA SULLANA  OF BALTA CENTRO","APU127481","Av Balta Nro 468","Lambayeque","-6.775201,-79.838784","N"
"CAJA SULLANA  AGENCIA CHICLAYO","APU052976","Calle Alfredo Lapoint 980 982","Lambayeque","-6.767412,-79.83794","N"
"CAJA SULLANA  OFICNA BALTA MERCADO","APU127470","Av Balta Nro 1346","Lambayeque","-6.76736,-79.83786","N"
"AGENCIA DE COBROS KASNET AG CHICLAYO","APU147708","Av Elias Aguirre 838","Lambayeque","-6.772078,-79.837713","N"
"CAJA LOS ANDES AG CHICLAYO","APU242858","Calle San Jose Nro 879","Chiclayo","-6.771375,-79.837468","N"
"CAJA TRUJILLO AGENCIA MODELO","APU065066","Av Jose Balta No 1664","Lambayeque","-6.764575,-79.837593","N"
"CMAC HUANCAYO AG  CHICLAYO","APU149623","Av Balta 1699","Lambayeque","-6.7641,-79.837737","N"
"AG CHICLAYO","APU053087","Calle Alfredo Lapoint 933","Lambayeque","-6.771969,-79.836756","N"
"CAJA RURAL RAIZ AG MOSHOQUEQUE","APU146037","Ca  Bolivar No 368 Urb  Moshoq","Lambayeque","-6.757473,-79.841572","N"
"EDPYME ALTERNATIVA AG CHICLAYO","APU147830","Calle 7 De Enero 232","Lambayeque","-6.775261,-79.837125","N"
"PREPAGO CASA PRESTA EMPENOS CREDINORT","APU242177","Av Saen Pena 735","Lambayeque","-6.771731,-79.836215","N"
"PREPAGO   MANDM MARKET","APU242474","Av  Saenz Pena N  1139","Chiclayo","-6.769252,-79.835997","N"
"CMAC HUANCAYO AG  JOSE LEONARDO ORTIZ","APU149634","Simon Bolivar 376","Lambayeque","-6.75502,-79.841253","N"
"AG OPEN PLAZA CHICLAYO","APU143474","Av Raul Haya De La Torre Nro 150 Urb San","Lambayeque","-6.777963,-79.835899","N"
"PERU MONEY CHICLAYO","APU120176","C Mariscal Andres Avelino Caceres 222","Lambayeque","-6.77839,-79.8336","N"
"PREPAGO   ANDREE","APU241891","Calle Cacique Collique 231 Urb Latina","Lambayeque","-6.756945,-79.835162","N"
"NICOLE","APU145311","Av Gran Chimu Nro 809 Mza E Lote 5","Lambayeque","-6.748773,-79.841274","N"
"PREPAGO   DIVINO NINO JESUS","APU148545","Los Andes 1010 La Victoria","Lambayeque","-6.798089,-79.839476","N"
"PREPAGO   VALDEZ","APU242650","Cal Machu Picchu No 622 Int Mz A Lt 23b","Chiclayo","-6.801621,-79.834953","N"
"CAJA SULLANA  OF ESPECIAL OLMO","APU127513","Mz 6a Lote 12 Olmos","Lambayeque","-6.709734,-79.898008","N"
"CMAC PAITA - LAMBAYEQUE","APU143056","Av Ramon Castilla Nro 1140 Lambayeque","Lambayeque","-6.707076,-79.903511","N"
"CAJA SULLANA  LAMBAYEQUE","APU127502","Calle Lopez Vidaurre Nro 1138","Lambayeque","-6.70547,-79.901888","N"
"CAJA TRUJILLO AGENCIA LAMBAYEQUE","APU065109","Jr Ramon Castilla No 1019","Lambayeque","-6.706059,-79.902882","N"
"PREPAGO  BODEGA  J Y G","APU240791","Elias Aguirre Mza O Lt 7 Urb Victoria","Lambayeque","-6.834314,-79.928785","N"
"PREPAGO CENTRO DE TELECOMU GONZALES","APU242319","Mariscal Castilla N 564","Chiclayo","-6.87774,-79.871544","N"
"EDPYME ALTERNATIVA AG FERRENAFE","APU147896","Nicanor Carmona 637","Lambayeque","-6.643673,-79.787781","N"
"CAJA TRUJILLO AG FERRENAFE","APU143858","Calle Union 502","Lambayeque","-6.638801,-79.787676","N"
"PREPAGO  TELECOMUNICACIONES MACALOPU AND","APU241451","Av Tacna 538","Lambayeque","-6.636211,-79.79147","N"
"EDPYME ALTERNATIVA AG PATAPO","APU147906","Trapiche 02","Lambayeque","-6.737803,-79.638468","N"
"PREPAGO   VIDRIERIA MONTANO","APU240647","Av Jose Domingo Atoche S N Mz B Lt2","Lambayeque","-6.734026,-79.636212","N"
"EDPYME ALTERNATIVA AG CAYALTI","APU147917","Av  Paseo La Reforma 131  C Mz 17 Lt 17","Lambayeque","-6.891513,-79.561855","N"
"EDPYME ALTERNATIVA AG JAYANCA","APU147863","Calle Miguel Grau 536 Lt  7 Mz  M","Lambayeque","-6.391493,-79.821898","N"
"CAJA MUNICIPAL DEL SANTA AG GALVEZ","APU009747","Av Jose Galvez 602","Ancash","-9.073069,-78.589026","N"
"PREPAGO   KL COMPANY GENERALES","APU241286","Jr Leoncio Prado 483 Int 15 Casco","Ancash","-9.075197,-78.5895","N"
"PREPAGO   DAGUICO GROUP","APU240515","Mz A Lt2 Dptob Aahh Pueblo Libre Chimbot","Ancash","-9.076593,-78.587895","N"
"DHL CHIMBOTE 2","APU241132","Jr Elias Aguirre 252 Tienda 1","Ancash","-9.076469,-78.592369","N"
"AGENCIA DE COBROS KASNET AG CHIMBOTE","APU147720","Av  Jose Pardo 900","Ancash","-9.076925,-78.588913","N"
"CAJA MUNICIPAL DEL SANTA AG BOLOGNESI","APU009725","Av Bolognesi 735","Ancash","-9.07717,-78.5912","N"
"CAJA MUNICIPAL SULLANA AGENCIA CHIMBOTE","APU127690","Jr Francisco Bolognesi Nro 444","Ancash","-9.076587,-78.594127","N"
"CAJA TRUJILLO AGENCIA CHIMBOTE","APU065318","Av Francisco Bolognesi Nro 732 736","Ancash","-9.077431,-78.591266","N"
"PREPAGO   MULTISERVICIOS VALECRIS","APU241660","Av  Alfonso Ugarte 1842 Miraflores Bajo","Ancash","-9.076682,-78.577271","N"
"AG METRO NVO CHIMBOTE","APU143298","Av Pacifico Nro 272 A  Nuevo","Ancash","-9.120606,-78.535294","Y"
"PREPAGO MINIMARKETANDLICORERIA HATUNWASI","APU242209","Calle 69 Urb  Las Brisas Mz  X Lt  12","Ancash","-9.123688,-78.54207","N"
"PREPAGO   D TODO Y MUCHO MAS","APU242232","Av  Pacifico Urb  Pacifico Mz  L2 Lt  21","Ancash","-9.1252,-78.528334","N"
"PREPAGO  SERVICIOS GENERALES MAIA","APU241923","Urb Banchero Rossi Mz L4 Lt 20","Ancash","-9.123489,-78.520263","N"
"PREPAGO   ADRIMARKET EXPRESS","APU241307","Urb Jose Carlos Mariategui Mza D3 Lt 03","Ancash","-9.123615,-78.520241","N"
"CAJA MUNICIPAL DEL SANTA AG NVO CHIMBOTE","APU009758","Centro Civico Mz E Lt 38 Frente A Merca","Ancash","-9.127701,-78.520915","N"
"PREPAGO   LIBRERIA BAZAR JEDA AND BB","APU242287","H U P  Nicolas Garatea Mz  17 Lt  11","Ancash","-9.117991,-78.509928","N"
"PREPAGO   COMERC Y SERVICIOS D FAMILIA","APU242056","Urb Caceres Aramayo Mza D Lt 05","Ancash","-9.129825,-78.5159","N"
"PREPAGO   ATIKA","APU242551","Urb. La Florida  Jr. Los Sauce","Cusco","-13.531265,-71.960357","N"
"PREPAGO MULTISERVICIOS HEALTHY CUSCO","APU242386","Av.pachacutec 614","Cusco","-13.52478,-71.968086","N"
"AG CUSCO","APU063437","Calle Manco Inca N 204  206 Y 208","Cusco","-13.523439,-71.970953","N"
"CMAC HUANCAYO AG  WANCHAQ","APU149502","Av Huascar 140 A 2","Cusco","-13.522803,-71.969032","N"
"PREPAGO  4 ESTACIONES","APU241901","Calle Lloque Yupanqui  203","Cuzco","-13.524214,-71.960167","N"
"CAJA LOS ANDES AG CACHIMAYO SAN SEBA","APU243156","Av La Cultura A2","Cusco","-13.52026,-71.970837","N"
"PREPAGO VIRTUAL BUSINESS CUSCO SAC","APU242166","Av De La Cultura 230","Cusco","-13.520123,-71.970779","N"
"AGENTE DHL CUZCO","APU120561","Av El Sol 608 Cusco","Cusco","-13.5219,-71.9756","N"
"CAJA SULLANA   AGENCIA WANCHAQ","APU144585","Jr La Union Mz. B-2 Lt.7 Urb. Ttio","Cusco","-13.527857,-71.952783","N"
"AGENCIA DE COBROS KASNET AG CUSCO","APU147698","Av  El Sol Nro  382","Cusco","-13.520038,-71.976871","N"
"CAJA LOS ANDES AG ESPINAR","APU243123","Av El Sol 401","Espinar","-13.520112,-71.976975","N"
"AG CUZCO","APU000771","Calle Afligidos Nro 124 A","Cusco","-13.5192,-71.977231","N"
"FARMACIA MILLENIUM  3145","APU069202","Santa Catalina Angosta 163","Cusco","-13.517188,-71.977331","N"
"PERU MONEY CUSCO","APU120187","Av La Cultura A 2 Lt A 1er Piso","Cusco","-13.523549,-71.950605","N"
"CMAC HUANCAYO AG  SANTIAGO CUSCO","APU149580","Av Antonio Lorena 242 Urb Jerusalen","Cusco","-13.526176,-71.985917","N"
"MONEY CORNER","APU098242","Calle Del Medio 100","Cusco","-13.517,-71.9794","N"
"PREPAGO   YESMAR SERVICIOS","APU241781","Plaza San Francisco 317","Cusco","-13.517768,-71.981344","N"
"CMAC HUANCAYO AG  URUBAMBA CUSCO","APU149568","Calle Palacio 745","Cusco","-13.514692,-71.977271","N"
"PREPAGO   BOTICA MULTI TREBOL PHARMA","APU242528","Calle Hospital 889 A","Cusco","-13.522665,-71.986207","N"
"PREPAGO   PAGAFACIL","APU242320","Prolog. Av. La Cultura 1300","Cusco","-13.528712,-71.938157","N"
"CAJA LOS ANDES AG ARICA URCOS","APU242881","Jr Arica N 180 166","Quispicanchi","-13.534112,-71.936148","N"
"CMAC HUANCAYO AG  SAN SEBASTIAN","APU149513","Prolong Av La Cultura 203","Cusco","-13.529526,-71.935569","N"
"AG  CUSCO LA CULTURA","APU145070","Av  De La Cultura 1617   San Sebastian","Cuzco","-13.529849,-71.932402","N"
"CAJA SULLANA   AG SAN JERONIMO","APU144574","Asoc Pro Vivienda Picol Mojonpata A4","Cusco","-13.53828,-71.90462","N"
"CMAC HUANCAYO AG  SAN JERONIMO   CUSCO","APU149557","Av Llocllapata Lt 10 Mz D Asoc Retamales","Cusco","-13.544374,-71.889182","N"
"AG PISAC","APU063602","Calle Bolognesi N  545","Cusco","-13.423935,-71.858139","N"
"CAJA LOS ANDES AG ANTA","APU243080","Jr Jaquijiahuana N 336 Izcuchaca","Anta","-13.464031,-72.14469","N"
"CMAC HUANCAYO AG  ANTA CUSCO","APU149579","Jr Jaquijahuana 508   Izcuchaca","Cusco","-13.462939,-72.147236","N"
"PREPAGO   CABINA DE INTERNET CIBER HANDJ","APU145377","Calle Bolognesi S N Oropesa","Cuzco","-13.595532,-71.765384","N"
"PREPAGO   MULTISERVICIOS JACK","APU148402","Jr Palacios 257","Urubamba","-13.305935,-72.115411","N"
"AG URCOS","APU063701","Jr Arica N  306","Cusco","-13.686269,-71.622877","N"
"AG ANTA","APU063592","Avjaquijahuana N  415","Cusco","-13.509826,-72.379303","N"
"PREPAGO  KJAKUNA MATATA TOURS","APU241990","Calle Real 481 Of 4 Segundo Piso","Junin","-12.068594,-75.210371","N"
"PREPAGO   INVERSIONES MUNDO","APU241648","Jr Lima 288 Huancayo","Junin","-12.069259,-75.209571","N"
"DARGUI TOURS HUANCAYO","APU006777","Jr Ancash 367","Junin","-12.067808,-75.209598","N"
"AG CONSTITUCION","APU096613","Calle Real N  352  354 Y 356","Junin","-12.067449,-75.210903","N"
"CMAC HUANCAYO OF  PRINCIPAL REAL","APU242034","Calle Real 341 343","Junin","-12.067497,-75.211184","N"
"CMAC HUANCAYO OF  PRINCIPAL REAL","APU149766","Calle Real 341 343","Junin","-12.067497,-75.211184","N"
"AG HUANCAYO","APU050974","Jr Ancash No 540 Oficina 203","Junin","-12.069225,-75.208841","N"
"423 SCOTIABANK HUANCAYO","APU050776","Calle Real 750","Junin","-12.0706,-75.20889","N"
"AGENCIA DE COBROS KASNET AG HUANCAYO","APU147753","Jr  Ica 554","Junin","-12.071394,-75.209381","N"
"CMAC HUANCAYO AG  REAL CAJAMARCA","APU149788","Calle Real 991 995 Y Jr Cajamarca 420","Junin","-12.072444,-75.208025","N"
"CMAC HUANCAYO AG  MERCADO","APU149777","Av Ferrocarril 1161","Junin","-12.069338,-75.205047","N"
"CMAC HUANCAYO AG  REAL HUANUCO","APU149809","Calle Real 1098 1096 Y Jr Huanuco 398","Junin","-12.073184,-75.207284","N"
"PREPAGO   CREDI REAL II","APU242661","Av Giraldez 274","Junin","-12.066204,-75.205267","N"
"CAJA RURAL RAIZ AG REAL","APU146169","Calle Real No 1143","Junin","-12.073542,-75.207267","N"
"CMAC HUANCAYO AG  OPEN SAN CARLOS","APU149821","Prolong San Carlos 107 Mz A Lt 01","Junin","-12.062359,-75.208805","N"
"DARGUI TOURS   OFICINA OPEN PL","APU140130","Av Ferrocarril Nro 146 150 L21","Junin","-12.061998,-75.209207","N"
"AG CENTENARIO","APU096570","Avenida Centenario 356","Junin","-12.063206,-75.205874","N"
"CMAC HUANCAYO AG  HUANCAS","APU149799","Sec 1 2 Pab M Int M2 Merc Ramos Toscano","Junin","-12.067261,-75.203052","N"
"DARGUI TOURS FERROCARRIL","APU123311","Av Ferrocarril 150 Cc Open Plaza 1 Nivel","Junin","-12.060774,-75.209714","N"
"CMAC HUANCAYO AG  13 DE NOVIEMBRE","APU149722","Av Huancavelica 400   416","Junin","-12.065132,-75.217681","N"
"CMAC HUANCAYO AG  OCOPILLA","APU149810","Jr Tarapaca 492","Junin","-12.070654,-75.200711","N"
"CAJA RURAL RAIZ AG FERROCARRIL","APU146181","Av  Ferrocarril No 540","Junin","-12.056312,-75.212172","N"
"AG CHILCA","APU096581","Calle Real N  489  495","Junin","-12.079478,-75.203448","N"
"PREPAGO   BODEGA BAZAR ADRIANA","APU241396","Calle Real 509","Junin","-12.080232,-75.203073","N"
"CMAC HUANCAYO AG  CHILCA","APU149667","Calle Real 555   557","Junin","-12.080622,-75.202768","N"
"CAJA TRUJILLO AG EL TAMBO","APU142385","Av Mariscal Castilla Nro 1306  1308","Junin","-12.055625,-75.218227","N"
"CAJA TRUJILLO AG EL MILAGRO","APU143847","Centro Poblado El Milagro Ii","Junin","-12.055693,-75.218465","N"
"CMAC HUANCAYO AG  EL TAMBO","APU149711","Av Mariscal Castilla 1456","Junin","-12.054451,-75.21899","N"
"CAJA MUNICIPAL SULLANA   AG EL TAMBO","APU147225","Av  Jose Carlos Mariategui","Huancayo","-12.054945,-75.219946","N"
"PREPAGO   LIBRERIA ERI AND ARI","APU148259","Prolg Jose Carlos Mariategui 463","Huancayo","-12.051899,-75.215591","N"
"CAJA LOS ANDES AG HUANCAYO","APU242979","Calle Real Nro 847","Huancayo","-12.083573,-75.200888","N"
"YAURI VALLADOLID ODON","APU147489","Av 9 De Diciembre Nro 791","Huancayo","-12.086067,-75.207927","N"
"CMAC HUANCAYO AG  PARQUE LOS HEROES","APU149678","Av Huancavelica 603","Junin","-12.086382,-75.208097","N"
"AG EL TAMBO","APU096624","Av Mariscal Castilla N 1651","Junin","-12.053218,-75.219918","N"
"FINANCIERA QAPAQ   EL TAMBO","APU146972","Av  Mariscal Castilla N  1700","Huancayo","-12.052598,-75.220119","N"
"PREPAGO   JHIRE","APU241198","Av Inca Ripac Mza C Lt 11","Junin","-12.049981,-75.212704","N"
"CMAC HUANCAYO AG AV HUANCAVELICA EL TAMB","APU149744","Av Huancavelica 1959   1961","Junin","-12.054199,-75.22489","N"
"PREPAGO   MULTISERVICIOS JULIE","APU241374","Jr San Judas Tadeo 421","Junin","-12.050326,-75.199358","N"
"PROEMPRESA AGENCIA HUANCAYO","APU061523","Jiron Santa Isabel 1071","Junin","-12.049774,-75.221882","N"
"CMAC HUANCAYO AG  PILCOMAYO","APU149919","Av Coronel Parra S N","Junin","-12.05296,-75.246198","N"
"CMAC HUANCAYO AG  CIUDAD UNIVERSITARIA","APU149733","Av Mariscal Castilla 4156","Junin","-12.030223,-75.234375","N"
"CMAC HUANCAYO AG CIUDAD UNIVERSITARIA II","APU149755","Jr Catalina Huanca 148","Junin","-12.029278,-75.234063","N"
"CMAC HUANCAYO AG  HUAYUCACHI","APU149832","Calle Real 222 Lt 26 Mz Y1","Junin","-12.138606,-75.223469","N"
"CAJA RURAL RAIZ AG CHUPACA","APU146170","Jr  Bartolome Guerra No 218 22","Junin","-12.064466,-75.287125","N"
"CMAC HUANCAYO AG BRUNO TERREROS CHUPACA","APU149690","Jr Bruno Terreros 427 Barrio La Victoria","Junin","-12.062449,-75.287172","N"
"PREPAGO   CREDI REAL","APU241868","Jr  Jose Maria Flores S N","Junin","-12.060131,-75.287279","N"
"AG CHUPACA","APU099968","Jr Damaso Caballero 179","Junin","-12.062271,-75.287892","N"
"CMAC HUANCAYO AG  CHUPACA","APU149689","Jr Damaso Caballero 189","Junin","-12.061669,-75.288196","N"
"PREPAGO    IMPORT KRYSTELL","APU242430","Jr.petrona Apolaya 430","Junin","-12.062779,-75.289012","N"
"CMAC HUANCAYO AG  SAN JERONIMO DE TUNAN","APU149920","Carretera Central 665 667","Junin","-11.950998,-75.284457","N"
"CMAC HUANCAYO AG  CONCEPCION","APU149700","Jr Grau 729","Junin","-11.91809,-75.312476","N"
"PREPAGO   OZZARI","APU148446","Jr 9 De Julio 756 Concepcion","-","-11.918462,-75.313229","N"
"AG JAUJA","APU096679","Avenida Francisco Pizarro N  135","Junin","-11.778262,-75.497659","N"
"CMAC HUANCAYO AG  JAUJA","APU149843","Esq Jr Junin 1185 Y Jr Francisco Pizarro","Junin","-11.774929,-75.499994","N"
"AG LIMA","APU000100","Jr Carabaya 693","Lima","-12.05051,-77.032948","Y"
"411 SAC LAS MALVINAS","APU141339","Av Republica De Argentina 308","Lima","-12.044376,-77.046478","N"
"PREPAGO   BODEGA KYARA","APU242605","Urb. Santa Marina Norte Block","Callao","-12.042158,-77.038601","N"
"PREPAGO  TELECOMUNICACIONES MIRIAM","APU146510","Av Republica Argentina 460","Lima","-12.042769,-77.048006","N"
"CMAC HUANCAYO AG  NICOLAS DE PIEROLA","APU149106","Av Nicolas De Pierola 699","Lima","-12.04967,-77.037102","N"
"AG  METRO BREÑA","APU145058","Esquina Alfoinso Ugarte Con Av  Venezuel","Lima","-12.053725,-77.043144","N"
"411 SAC MALVINAS PLAZA","APU144091","Av Republica De Arg 608 Tienda 1173-1174","Lima","-12.043179,-77.050161","N"
"MACKLENAN OCONA","APU121616","Jr Ocona 176","Lima","-12.050362,-77.035459","N"
"PREPAGO - BETRAVEL","APU240911","Jr Union 870 Int 116","Lima","-12.050718,-77.034644","N"
"BISUTERIA ANGELES","APU144529","Av Venezuela N 927 929 Int 132","Lima","-12.054992,-77.046909","N"
"MACKLENAN CARABAYA","APU068290","Jr Carabaya 500","Lima","-12.048632,-77.031845","N"
"CASA DE CAMBIO MONEY EXCHANGE","APU121364","Jr Huallaga 160 Int 216 Esq Psje Jose Ol","Lima","-12.046377,-77.031255","N"
"PROEMPRESA AGENCIA CERCADO","APU058312","Jr Lampa 792 Cruce Con Jr Puno","Lima","-12.051052,-77.032085","N"
"PERU MONEY CENTRO CIVICO","APU067563","Av Garcilaso De La Vega 1337int 2173","Lima","-12.056587,-77.036963","N"
"PREPAGO   DASSA MOVIL","APU240702","Av Nicolas De Pierola 1153 Int 1136","Lima","-12.052797,-77.032571","N"
