"name","orig_id","streetAddress","state","location","platinum"
"EBIZ MASINAG","API116991","Unit 5 Gf Spectrum Bldg","Rizal","14.625545,121.123719","Y"
"CLH XENTRO MALL ANTIPOLO","AS7103827","Sumulong Hw Brgy Mambugan Antipolo","Rizal","14.625483,121.124481","N"
"CLX MASINAG","AS7103816","No 200 Sumulong Hw Cor Marcos Hw","Rizal","14.62551,121.124412","N"
"USSC SERVICE STORE - MASINAG","API193385","Sumulong Cor Marcos Highway 305","Rizal","14.62526,121.124717","N"
"RAQUEL PAWNSHOP INC ANTIPOLO 3","APZ368340","Sumulong Corner Marcos Hi Way","Rizal","14.625727,121.124696","N"
"CLH SUMULONG","AS7103531","201 Door 7 Sumulong Hw Brgy Mayamot","Rizal","14.625026,121.124659","N"
"RD PAWNSHOP MASINAG","APZ575722","Marcos Highway 168","Rizal","14.625231,121.12498","N"
"TAMBUNTING MASINAG MARKET","API972966","Masinag Public Market Stall 29","Rizal","14.625365,121.12513","N"
"LBC EXPRESS INC   MASINAG","API733914","Marcos Highway158","Rizal","14.625039,121.12394","N"
"MLI MASINAG ANTIPOLO RIZAL","API885637","182 Marcos Highway Cor. Sumulong Highway","Rizal","14.625147,121.12384","N"
"BDO MARCOS HIGHWAY","API984011","Marcos Highway","Rizal","14.62489,121.122455","N"
"BDO ANTIPOLO  SUMULONG HIGHWAY","API980293","Sumulong Highway","Rizal","14.62472,121.1225","N"
"TAMBUNTING  MAYAMOT","API970711","Sumulong Hiway","Rizal","14.626644,121.122089","N"
"SM SUPERMARKET MASINAG","API390603","Barangay Mayamot","Rizal","14.625375,121.120807","N"
"SM FOREX DEPT  STORE MARIKINA","AS5015307","Sm City Marcos Highway","Metro Manila","14.62535,121.12066","N"
"SM BUSINESS SERVICE CENTER MARIKINA","AS5015659","Sm City Marikina Upl Unit 021","Metro Manila","14.62535,121.12066","N"
"CLH SM   MASINAG","AS7103762","93 Marcos Hw Brgy Mayamot Antipolo","Rizal","14.625242,121.120662","N"
"SM FOREX DEPT  STORE MASINAG","AS5015363","Sm City Masinag Marcos Highway","Rizal","14.625249,121.120642","N"
"LBC EXPRESS INC   SM MASINAG","API733947","Marcos Highway","Rizal","14.625217,121.120385","N"
"MLI HILLSIDE MAYAMOT RIZAL","API958557","25 Hillside Plaza Sumulong Highway","Rizal","14.62929,121.12301","N"
"TAMBUNTING SUMULONG","API972142","Km 18 Sumulong Hi Way Cor  Soliven Ave","Rizal","14.629184,121.122033","N"
"LBC EXPRESS INC   MAYAMOT","API733936","Sumulong Highway 119","Rizal","14.629119,121.121595","N"
"CLH SUMULONG   SOLIVEN","AS7103564","115 Sumulong Hw Brgy Mayamot","Rizal","14.629945,121.120182","N"
"RAQUEL PAWNSHOP INC ANTIPOLO 2","APZ368229","Leovino Bldg Km 26 Circumferen","Rizal","14.631977,121.124227","N"
"ARCM PAYMENT CENTER","APZ632780","Tocs Ave 2","Rizal","14.624613,121.131815","N"
"BDO MARCOS HIGHWAY  VERMONT PARK","API987740","Marcos Highway Corner Vermont Park","Rizal","14.623953,121.115908","N"
"BDO SM CHERRY ANTIPOLO","AS5011259","Marcos Highway Mayamot","Rizal","14.624427,121.133484","N"
"LAVADORA LAUNDRY SHOP","AS5220776","10 Liamzon St  Cor  P  Oliveros St","Rizal","14.634309,121.122852","N"
"BDO ANTIPOLO  B V SOLIVEN","API980271","Benito Soliven Avenue","Rizal","14.634257,121.121625","N"
"SUMULONG ANTIPOLO","API292824","G/f Xentro Mall Sumulong High","Metro Manila","14.616957,121.133805","N"
"CLH PENAFRANCIA   CUPANG","AS7103355","Blk 43 Lot 11a Lsd Commercial","Rizal","14.625028,121.138332","N"
"LBC EXPRESS INC   PANORAMA","API733716","Panorama St 55","National Capital Region","14.639016,121.126182","N"
"SM SAVEMORE XENTRO MALL ANTIPOLO","API397369","Sumulong Highway  Brgy Mambugan","Rizal","14.617063,121.135592","N"
"MLI PANTABANGAN NUEVA ECIJA","API886748","Pantabangan","Nueva Ecija","14.638996,121.12685","N"
"BDO ANTIPOLO  XENTRO MALL","AS5014735","Ls01 05 Xentro Mall Antipolo","Rizal","14.616878,121.135604","N"
"MLI PANORAMA MARIKINA","API886737","62 Panorama Street","National Capital Region","14.63911,121.126931","N"
"CLH PANORAMA","AS7100231","4845 Panorama St Corner Waco St","Metro Manila","14.639232,121.127305","N"
"CLH MARCOS HIGHWAY MASINAG","AS7103311","No 168 Marcos Hw Brgy Mayamot","Rizal","14.622352,121.110282","N"
"ENICEO ENTERPRISES","API633144","Starlite St 146","Rizal","14.638536,121.131738","N"
"NEIL AND ROSE SARI SARI STORE","AS5220743","25 Olive St Sss Village","NCR","14.63822,121.114359","N"
"MLI MAYAMOT ANTIPOLO RIZAL","API885703","64 Redberry Square Sumulong Hiway Corner","Rizal","14.633556,121.10891","N"
"MLI ARANETA CENTER","API880577","016 Superstore Arcade General Romulo Ave","National Capital Region","14.633252,121.10869","N"
"SWIFT MONEY MASTERS INC   CAINTA RIZAL","API850327","Durian Street 22","Rizal","14.634766,121.108683","N"
"BDO CAINTA SUMULONG HIGHWAY","AS5011095","Along Sumulong Highway","Rizal","14.633989,121.107851","N"
"BDO SM CITY MARIKINA","API986079","Marikinainfanta Highway","National Capital Region","14.621559,121.105363","N"
"CLH KARANGALAN","AS7103629","Unit 108 Crv Bldg","Rizal","14.61731,121.106","N"
