"name","orig_id","streetAddress","state","location","platinum"
"FAYSAL BANK LTD","APK073859","Khasra 16 3 3 Khewat 3688 2421 Sq  83","Punjab","31.443813,73.138207","N"
"CANAL ROAD FAISALABAD","APK295994","Khasra #4528 Khatooni # 14805","Punjab","31.443813,73.138207","N"
"UNITED BANK LIMITED","APK188501","Nishatabad Faisalabad","Punjab","31.458174,73.124247","N"
"PAKISTAN POST OFFICE","APK060780","203 Rb Distt Fdl","Punjab","31.457736,73.149525","N"
"NISHAT ABAD","APK069295","Nishat Abad","Punjab","31.451343,73.11652","N"
"NATIONAL BANK OF PAKISTAN","APK032839","District Faisalabad","Punjab","31.467739,73.130414","N"
"UNITED BANK LIMITED","APK188271","Colony Faisalabad","Punjab","31.452135,73.113256","N"
"MCB BANK LIMITED","APK358716","P 3872 Hajiabad Sheikhupura Road","Punjab","31.458899,73.115062","N"
"MCB BANK LIMITED","APK674823","Chak No 204 Rb","Punjab","31.445664,73.158363","N"
"ALLIED BANK","APK704799","Property No  P 4015 Sheikhupura Road Fa","Punjab","31.449747,73.105826","N"
"MCB BANK LIMITED","APK358299","Mansoorabad Faisalabad","Punjab","31.432614,73.110761","N"
"MCB BANK LIMITED","APK354514","Satiana Road Faisalabad","Punjab","31.448319,73.100874","N"
"FAYSAL BANK LTD","APK071186","Madina Town Branch","Punjab","31.422225,73.121683","N"
"MADINA TOWN","APK069273","Madina Town","Punjab","31.422225,73.121683","N"
"MEEZAN BANK LTD","APK362346","Plot No 98 23  Madina Town","Punjab","31.422655,73.118299","N"
"BOK FAISALABAD 2 SOOSAN ROAD","APK130488","Ground & First Floor, Madina T","Punjab","31.421952,73.117668","N"
"NATIONAL BANK OF PAKISTAN","APK032828","District Faisalabad","Punjab","31.448961,73.097217","N"
"SHOP NO 1  GROUND FLOOR","APK221007","Near Tariq Masjid, Millat Chow","Punjab","31.44676,73.09672","N"
"MEEZAN BANK LTD","APK361257","Millat Chowk Branch 158 B","Punjab","31.445203,73.096226","N"
"MCB BANK LIMITED","APK673800","Gulistan Colony Faisalabad","Punjab","31.445841,73.096086","N"
"MCB BANK LIMITED","APK358530","Rafhan Mills East Canal Road","Punjab","31.420731,73.116361","N"
"MCB BANK LIMITED","APK354998","Madina Town Susan Road Faisalabad","Punjab","31.420536,73.116691","N"
"UNITED BANK LIMITED","APK250915","Madina Town","Punjab","31.420092,73.117442","N"
"NOORPUR","APK331744","Post Office","Punjab","31.456869,73.095864","N"
"MILLAT TOWN","APK148199","Post Office","Punjab","31.454058,73.094345","N"
"MADINA TOWN FAISALABAD","APK290537","Madina Town Faisalabad","Punjab","31.419,73.1154","N"
"MEEZAN BANK LTD","APK362720","Near Hafeez Plaza Ali Town","Punjab","31.446683,73.092917","N"
"TARIQABAD","APK149716","Post Office","Punjab","31.425975,73.103241","N"
"MCB BANK LIMITED","APK354680","Plot No  777 West Canal Road","Punjab","31.421359,73.108363","N"
"UNITED BANK LIMITED","APK188480","Nalka Kohala","Punjab","31.44835,73.09125","N"
"SUMMIT BANK SUSAN ROAD FAISALABAD","APK270320","Chak No 213 Rb Susan Road","Punjab","31.416022,73.112147","N"
"NATIONAL BANK OF PAKISTAN","APK032785","District Faisalabad","Punjab","31.421112,73.103571","N"
"ALLIED BANK","APK704755","P 70 Khewat No  1417 Khatooni No  2293","Punjab","31.443614,73.088928","N"
"MCB BANK LIMITED","APK672140","Plot No  C 6 St Plaza Kohinoor Town","Punjab","31.414327,73.114438","N"
"MCB BANK LIMITED","APK354316","Grain Market Toba Tek Singh","Punjab","31.431025,73.09379","N"
"BILAL GANJ MARKET FAISALABAD B","APK293310","Bilal Ganj Market,sargodha Roa","-","31.44035,73.088317","N"
"BUCHIANA SO","APK147066","Buchiana So","Punjab","31.4116,73.116617","N"
"MEEZAN BANK LTD","APK361213","1 A 11 People S Colony No 01","Punjab","31.411885,73.11284","N"
"FAISALABAD","APK241302","Opposite Punjab Medical College","Punjab","31.450118,73.084237","N"
"GEN BUS STAND FAISALABAD","APK291451","209 210 A Shoaib Bilal Market","Punjab","31.42659,73.09225","N"
"IBB SAMUNDARI ROAD FAISALABAD","APK075839","Commercial Plot No 1044 Main","Punjab","31.41193,73.10805","N"
"IBB JARANWALA ROAD FAISALABAD","APK076005","Khewat 6783 Khatoni  15951","Punjab","31.41193,73.10805","N"
"IBB FAWARA CHOWK","APK075774","Commercial Plot No P 259","Punjab","31.41193,73.10805","N"
"FAYSAL BANK LTD","APK074915","Chak 207 Rb Khewat 4380 14309 71 Killa 2","Punjab","31.413883,73.102643","N"
"MCB BANK LIMITED","APK671006","Kohinoor City Doburg Jaranwala Road","Punjab","31.405571,73.123187","N"
"262 MILLAT ROAD FAISALABAD","APK433769","354 A Millat Road Faisalabad","Punjab","31.422056,73.092325","N"
"JS BANK LIMITED","APK053026","Property # 38/b Saddar Bazar","Punjab","31.422056,73.092325","N"
"752 CLOCK TOWER FAISALABAD","APK433242","Montgomary Bazar Main Clock To","Punjab","31.422056,73.092325","N"
"DOLLAR EAST EXCHANGE COMPANY P","APK640460","Shop No. 2, Opposite Ptcl Buil","Punjab","31.422056,73.092325","N"
"JS BANK LIMITED","APK052498","P-72-f, Gulistan Colony No. 1","Punjab","31.422056,73.092325","N"
"MEEZAN BANK LTD","APK364667","Plot  P 409  Main Sheikhupura","Punjab","31.422056,73.092325","N"
"MEEZAN BANK LTD","APK365240","P 1  Allied Moor  Opposite Pun","Punjab","31.422056,73.092325","N"
"MEEZAN BANK LTD","APK365284","Property No  P 1  Near Hassan","Punjab","31.422056,73.092325","N"
"244 SUSAN ROAD BRANCH","APK433462","P-291, East Susan Road","Punjab","31.422056,73.092325","N"
"FUTURE ENTERPRISES","APK320294","Shop # 4 And 5 Lower Ground Fl","Punjab","31.422056,73.092325","N"
"NATIONAL BANK OF PAKISTAN","APK172288","P 63 Ahmad Park Colony Sargodha Road","Punjab","31.422056,73.092325","N"
"MCB BANK LIMITED","APK358408","Dhudiwala Jaranwala Road","Punjab","31.404907,73.123568","N"
"ALLIED BANK","APK700982","Khewat No  6740 Khatooni No  14767 Kha","Punjab","31.404575,73.124404","N"
"FAYSAL BANK LTD","APK074157","Building No 22 A 1 Peoples Colony","Punjab","31.408978,73.109575","N"
"PEOPLES COLONY BRANCH 0050","APK430645","15 D Fm Plaza Peoples Colony","Punjab","31.408958,73.109602","N"
"MADINA TOWN BRANCH","APK381387","Emaan Islamic Bank 17 A","Punjab","31.408264,73.110809","N"
"UNITED BANK LIMITED","APK189535","Muslim Town Faisalabad","Punjab","31.462098,73.081571","N"
"UNITED BANK LIMITED","APK250696","Ubl Ameen Faisalabad","Punjab","31.425997,73.087583","N"
"MEEZAN BANK LTD","APK363853","Plot No 17 B  Jail Road  Faisa","Punjab","31.447591,73.079595","N"
"FAYSAL BANK LTD","APK070240","Bilal Road Civil Lines","Punjab","31.429305,73.084656","N"
"DASUHA","APK331689","Post Office","Punjab","31.490022,73.103565","N"
"PAKISTAN POST OFFICE","APK060791","199 Gb Gatwala Distt Fdl","Punjab","31.461879,73.189537","N"
"SINDH BANK LIMITED","APK401111","Plot No 7 D P C No 1 Faisalabad","Punjab","31.406542,73.112007","N"
"MCB BANK LIMITED","APK670357","Sargodha Road Sui Gas Office","Punjab","31.464942,73.080769","N"
"FAISALABAD BRANCH 8","APK221272","Shop # 2, Nawaz Town Sargodha","Punjab","31.4651,73.080815","N"
"DOLLAREAST EXCHANGE COMPANY PVT.LTD","APK640097","33 B Malik Plaza D Ground","Punjab","31.406932,73.109068","N"
"FAYSAL BANK LTD","APK071462","Muslim Town Chak 122 Jb Main Sargodha","Punjab","31.406932,73.109068","N"
"HASSAN ARCADE BRANCH, FAISALABAD","APK601025","Ground Floor, Hassan Arcade, Plot No","Punjab","31.410051,73.10244","N"
"ALLIED BANK","APK704733","Plot Building No  23 D Peoples Colony F","Punjab","31.406005,73.1103","N"
"UNITED BANK LIMITED","APK188534","Peoples Colony Faisalabad","Punjab","31.406176,73.109842","N"
"MCB BANK LIMITED","APK358189","P 448 D Peoples Colony No  1","Punjab","31.406081,73.109176","N"
"FAYSAL BANK LTD","APK070712","Plot No 721 Dgm Block Batala Colony","Punjab","31.406363,73.10693","N"
"PAKISTAN CURRENCY EXCHANGE CO  PRIVATE","APK111469","Shop  246 B Peoples Colony No 1","Punjab","31.406363,73.10693","N"
"MEEZAN BANK LTD","APK361170","Serena Hotel Club Road","Punjab","31.428055,73.081868","N"
"MEEZAN BANK LTD","APK363161","Civil Lines Branch P 17 K  Bilal Road  C","Punjab","31.433039,73.079062","N"
"NATIONAL BANK OF PAKISTAN","APK030024","Civil Lines Faisalabad","Punjab","31.432833,73.079","N"
"MCB BANK LIMITED","APK354976","Chak No  199 Rb Gatwala","Punjab","31.465969,73.19277","N"
"RAILWAY ROAD FAISALABAD","APK290108","Railway Road Faisalabad","Punjab","31.4165,73.08862","N"
"ALLIED BANK","APK702412","Khasara No 6 3 Sq  No 10 Khewat No  117","Punjab","31.409366,73.096277","N"
"ALLIED BANK","APK703589","Plot No 78 Square No 42 Yousaf Chowk","Punjab","31.47406,73.079681","N"
"CHENAB MILLS FAISALABAD","APK292528","Sugar Road Nishatabad Distt","Punjab","31.4174,73.08636","N"
"MCB BANK LIMITED","APK356912","Akalgarh Chak No  209 Rb","Punjab","31.413981,73.180386","N"
"MCB BANK LIMITED","APK672777","Chak No  117 Jb Dhanola","Punjab","31.49834,73.10809","N"
"FAYSAL BANK LTD","APK075543","Khewat 268 251 Salam Khata Qita 1 64 Kha","Punjab","31.421264,73.082756","N"
"SATYANA ROAD FAISALABAD","APK291297","Satyana Road Faisalabad","Punjab","31.40385,73.10423","N"
"MCB BANK LIMITED","APK354075","Mcb Building Circular Road","Punjab","31.420176,73.083299","N"
"SATYANA ROAD","APK420239","575 B People S Colony Satiana Road","Punjab","31.408967,73.094467","N"
"FAYSAL BANK LTD","APK074289","Chak 212 Rb Shop 4  5 Khasra 1038 1 Jin","Punjab","31.421227,73.081642","N"
"MEEZAN BANK LTD","APK363875","Shop   6 7 8   Jinnah Market","Punjab","31.421227,73.081642","N"
"UNITED BANK LIMITED","APK250926","Adda Khanuana","Punjab","31.408867,73.0944","N"
"SATIANA ROAD","APK381848","P 719 Batala Colony","Punjab","31.402456,73.105466","N"
"FAISALABAD BRANCH","APK630241","Shop# 8 & 12 Lower Ground","Punjab","31.42094,73.081649","N"
"UNITED BANK LIMITED","APK188666","Sooter Mandi Faislabad","Punjab","31.421066,73.081368","N"
