"name","orig_id","streetAddress","state","location","platinum"
"DOHA EXCHANGE LIMITED","AQA190021","Shop No 439 Al Souq St","Doha","25.28766,51.532849","Y"
"AL FARDAN EXCHANGE COMPANY LLC","AQA250037","Bldg  No 36 St No 810","Doha","25.285849,51.535241","Y"
"ARABIAN EXCHANGE COMPANY","AQA100086","Bldg No 4 Mercure Grand Hotel St No 950","Doha","25.283113,51.527657","N"
"AL FARDAN EXCHANGE COMPANY LLC","AQA250972","Al Fardan Centre","-","25.285879,51.535278","N"
"GULF EXCHANGE CO","AQA080119","Bldg: No 34, Ali Bin Abdulla St No 138","Doha","25.28621,51.536645","Y"
"AL ZAMAN EXCHANGE CO WLL","AQA260025","Bldg Dar Al S.ali Bin Abdulla St","Doha","25.286164,51.535808","N"
"EASTERN EXCHANGE COMPANY W.L.L","AQA140093","Bldg  No 25 St No 950","Doha","25.280381,51.528929","N"
"AL DAR EXCHANGE WORKS W L L","AQA090042","Bldg  No 34 St 140 Zone 3","Doha","25.282691,51.525801","N"
"CITY EXCHANGE CO","AQA070242","Bldg  No 74 St No 214","Doha","25.280397,51.536564","Y"
"NATIONAL EXCHANGE COMPANY WLL","AQA120051","Bldg No 37 Al Souq St","Doha","25.287012,51.539226","Y"
"ISLAMIC EXCHANGE CO","AQA070033","Bldg  No 2 St No 137","Doha","25.286277,51.540166","Y"
"DOHA EXCHANGE LIMITED","AQA190065","Bldg No 15 Zone 15 St No 940","Doha","25.278494,51.534321","N"
"TRUST EXCHANGE CO WLL","AQA050178","Bin Dirham Plaza Shop No 8 B Ring Rd","Doha","25.274606,51.531888","Y"
"AL ZAMAN EXCHANGE CO WLL","AQA260070","Al Meera Hypermarket No 62 Al Arab St","Doha","25.271284,51.528922","Y"
"AL MANA EXCHANGE WLL","AQA150036","Bldg No 15 St No 830","Doha","25.272134,51.524707","Y"
"AL MANA EXCHANGE WLL","AQA150069","Bldg No 12 St No 221","Doha","25.281174,51.518432","N"
