"name","orig_id","streetAddress","state","location","platinum"
"Почта России","ASU158435","Миллионная Ул.., 11-1","-","55.816788,37.696492","N"
"Почта России","ASU158446","Маршала Рокоссовского Б-р., 33/12","","55.81652,37.714528","N"
"Почта России","ASU758859","Бориса Галушкина Ул.., 17","-","55.822798,37.660087","N"
"Почта России","ASU759223","Бажова Ул.., 16","-","55.832764,37.661554","N"
"Почта России","ASU758958","4-й Подбельского Пр-д., 4 К. 7","","55.819475,37.725525","N"
"Почта России","ASU758255","Маршала Рокоссовского Б-р., 7 К. 4","-","55.809781,37.724486","N"
"Почта России","ASU756792","Проспект Мира Ул.., 135","","55.833435,37.65275","N"
"Почта России","ASU759652","Мира Пр-кт., 182","-","55.826124,37.647768","N"
"МОСКОВСКИЙ ИНДУСТРИАЛЬНЫЙ БАНК","ARX005975","Хромова Ул.., 1","-","55.799657,37.714867","N"
"Почта России","ASU759212","Новоалексеевская Ул.., 13, Стр.. 2","-","55.810048,37.647172","N"
"АВАНГАРД БАНК","ARX107132","Открытое Ш.., 9, 1","-","55.815471,37.737943","N"
"Почта России","ASU757430","Остроумовская М. Ул.., 1а","-","55.794914,37.689619","N"
"Почта России","ASU158413","Халтуринская Ул.., 13","-","55.802217,37.724766","N"
"ДАЛЕНА","ARX321257","Енисейская Ул.., 1, Стр.. 1","","55.849974,37.670016","N"
"ПРОМСВЯЗЬБАНК","ARX021243","Стромынка Ул.., 18, 27","-","55.793899,37.695831","N"
"Почта России","ASU158512","Мира Пр-кт., 124","","55.815858,37.639563","N"
"БАНК РМП","ARX882103","Преображенская Ул.., 2, К.. 1","","55.794922,37.706739","N"
"РОССЕЛЬХОЗБАНК","ARX892014","Преображенская Ул.., 2, Корп. 1, Пом. Xxii","","55.794922,37.706739","N"
"Почта России","ASU757276","Амундсена Ул.., 1 К. 1","","55.849899,37.658329","N"
"ПРОМСВЯЗЬБАНК","ARX082248","Мира Пр-кт., 116а","-","55.809593,37.63812","N"
"РОССЕЛЬХОЗБАНК","ARX822660","Академика Королева Ул.., 3","","55.820908,37.631108","N"
"УРАЛСИБ","ARX276410","Академика Королева Ул.., 3","","55.820908,37.631108","N"
"Почта России","ASU166421","Мира Пр-кт., 97","-","55.809218,37.63636","N"
"УРАЛСИБ","ARX276377","Русаковская Ул.., 28, 1б","-","55.788574,37.68352","N"
"АВАНГАРД БАНК","ARX910176","Русаковская Ул.., 31","-","55.788576,37.678685","N"
"Почта России","ASU158381","Сокольнический Вал Ул.., 24-3","-","55.790829,37.664824","N"
"Почта России","ASU158392","Барболина Ул.., 4","-","55.787236,37.686766","N"
"Почта России","ASU758190","Большая Черкизовская Ул.., 30 К. 1","","55.799552,37.740969","N"
"МОСКОВСКИЙ ИНДУСТРИАЛЬНЫЙ БАНК","ARX008857","Гастелло Ул.., 2","-","55.786719,37.680717","N"
"Почта России","ASU756219","Летчика Бабушкина Ул.., 7","","55.859227,37.672918","N"
"Почта России","ASU758815","Королева Ул.., 9, К.. 1","","55.820939,37.623824","N"
"Почта России","ASU758442","Суворовская Ул.., 2/1","-","55.787416,37.710388","N"
"Почта России","ASU759421","Ярославское Ш.., 55, Стр.. 1","","55.861528,37.690871","N"
"МОСКОВСКИЙ ИНДУСТРИАЛЬНЫЙ БАНК","ARX034366","Кольская Ул.., 2, 6","-","55.858004,37.656313","N"
"Почта России","ASU757991","Седова Ул.., 7 К. 1","-","55.851531,37.640752","N"
"КРЕДИТ ЕВРОПА БАНК","ARX188124","Красносельская Верхняя Ул.., 3а","-","55.785862,37.666677","N"
"Почта России","ASU756736","Аргуновская Ул.., 4","-","55.814076,37.620976","N"
"Почта России","ASU758134","Открытое Ш.., 25 К. 1","-","55.827317,37.762701","N"
"ФОРА-БАНК","ARX890012","Семеновская Б. Ул.., 17а","","55.782861,37.705841","N"
"НС БАНК","ARX274133","Ткацкая Ул.., 5, Стр.. 3","-","55.786092,37.722621","N"
"РОССЕЛЬХОЗБАНК","ARX841580","Большая Семеновская Ул.., 27, К.. 2","","55.782626,37.708116","N"
"ТРАНССТРОЙБАНК","ARX893675","Большая Семеновская Ул.., 16","","55.782071,37.704116","N"
"АВАНГАРД БАНК","ARX898119","Семеновская Б. Ул.., 20, Стр.. 1","-","55.781784,37.70511","N"
"АВАНГАРД БАНК","ARX913795","Ярославское Ш.., 54","","55.865,37.704","N"
"Почта России","ASU757650","Менжинского Ул.., 5","-","55.866167,37.67879","N"
"ТРАНССТРОЙБАНК","ARX913816","Семеновская Пл.., 7","-","55.783,37.72","N"
"ФОРА-БАНК","ARX892289","Краснопрудная Ул.., 15","-","55.780983,37.66802","N"
"ТРАНССТРОЙБАНК","ARX891749","Щербаковская Ул.., 5","","55.782754,37.724723","N"
"Почта России","ASU756934","Ивовая Ул.., 7","-","55.860005,37.644646","N"
"РОССЕЛЬХОЗБАНК","ARX800770","Краснопрудная Ул.., 30-34, Стр.. 1","-","55.780109,37.668284","N"
"Почта России","ASU166443","Щелковское Ш.., 10, 1","-","55.803787,37.762641","N"
"Почта России","ASU759553","Измайловское Ш.., 71гд","","55.790434,37.747106","N"
"КРЕДИТ ЕВРОПА БАНК","ARX339759","Вельяминовская Ул.., 6","-","55.781079,37.722637","N"
"Почта России","ASU759795","Щербаковская Ул.., 35","-","55.782902,37.730235","N"
"УРАЛСИБ","ARX276047","Бакунинская Ул.., 50, 1","-","55.776593,37.688242","N"
"ТРАНССТРОЙБАНК","ARX891684","Бакунинская Ул.., 44-48, Стр.. 1","-","55.776342,37.687686","N"
"АВАНГАРД БАНК","ARX324382","Измайловское Ш.., 71а","","55.789829,37.74958","N"
"Почта России","ASU166432","Краснопрудная Ул.., 7/9","-","55.778112,37.662205","N"
"АВТОГРАДБАНК","ARX887021","Гиляровского Ул.., 62","","55.787852,37.633194","N"
"Почта России","ASU758167","Сущевский Вал Ул.., 62","-","55.79232,37.625123","N"
"Почта России","ASU757287","Бакунинская Ул.., 26/30, Стр.. 1","-","55.775105,37.685128","N"
"АВАНГАРД БАНК","ARX454610","Енисейская Ул.., 19","","55.869208,37.663018","N"
"ПСКБ","ARX081171","Бакунинская Ул.., 17/28","-","55.77471,37.68217","N"
"МОСКОВСКИЙ ИНДУСТРИАЛЬНЫЙ БАНК","ARX005810","Щербаковская Ул.., 57/20","","55.783885,37.741999","N"
"ПРОМСВЯЗЬБАНК","ARX824156","Олимпийский Пр-кт., 32, Стр.. 1","-","55.79222,37.622924","N"
"Почта России","ASU757759","Летчика Бабушкина Ул.., 38 К. 2","","55.872325,37.679457","N"
"КРЕДИТ ЕВРОПА БАНК","ARX331849","Менжинского Ул.., 23","","55.869763,37.660377","N"
"Почта России","ASU757946","Госпитальный Вал Ул.., 5 К. 18","","55.774299,37.704503","N"
"ФОРА-БАНК","ARX451178","Шереметьевская Ул.., 6, К.. 1","","55.795773,37.616841","N"
"Почта России","ASU760180","Нижняя Красносельская Ул.., 43, 1","-","55.77379,37.675015","N"
"Почта России","ASU759410","Проспект Мира Ул.., 51, Стр.. 1","-","55.784145,37.634439","N"
"РОССЕЛЬХОЗБАНК","ARX892025","Менжинского Ул.., 38, К.. 2, Строен. 2, Пом. Iii , Бабушкинский Р-н","-","55.870996,37.660745","N"
"Почта России","ASU758233","Щербаковская Ул.., 58а","","55.781714,37.742261","N"
"РОССЕЛЬХОЗБАНК","ARX910813","Нижняя Красносельская Ул.., 45/17","","55.773034,37.675765","N"
"Почта России","ASU758695","Октябрьская Ул.., 89","","55.797154,37.612508","N"
"Почта России","ASU759663","Минусинская Ул.., 16","","55.875459,37.691218","N"
"Почта России","ASU758970","Академика Королева Ул.., 28 К. 1","","55.822182,37.597451","N"
"Почта России","ASU760256","Березовая Ал.., 9","-","55.853098,37.61366","N"
"Почта России","ASU758738","Бауманская Ул.., 38, Стр.. 2","-","55.771245,37.677643","N"
"ЭКСПОБАНК","ARX247799","Каланчевская Ул.., 29, Стр.. 2, Vip","-","55.775786,37.64978","N"
"РОССЕЛЬХОЗБАНК","ARX822583","Мира Пр-кт., 46, Стр.. 1","-","55.781175,37.633925","N"
"Почта России","ASU757825","Дежнева Пр-д., 2а","","55.871891,37.651905","N"
"АВАНГАРД БАНК","ARX382658","Грохольский Пер.., 29, К.. 1","-","55.778745,37.638424","N"
"СТОЛИЧНЫЙ КРЕДИТ","ARX126359","Бауманская Ул.., 54, Стр.. 1","-","55.769028,37.679116","N"
"ТРАНСКАПИТАЛБАНК","ARX137634","Октябрьская Ул.., 36","-","55.789542,37.614","N"
"РУССКИЙ СТАНДАРТ","ARX895325","Каланчевская Ул.., 17, Стр.. 1","","55.77276,37.651762","N"
"Почта России","ASU758617","Ботаническая Ул.., 29","-","55.833748,37.594195","N"
"Почта России","ASU759960","Лосевская Ул.., 22","-","55.877329,37.716106","N"
"УРАЛСИБ","ARX327792","Мира Пр-кт., 26, Стр.. 1","","55.777456,37.63339","N"
"Почта России","ASU756703","Новая Басманная Ул.., 15, Стр.. 1","","55.769972,37.658638","N"
"ФОРА-БАНК","ARX892937","Дежнева Пр-д., 27, К.. 1","-","55.870133,37.633956","N"
"Почта России","ASU758783","Сиреневый Б-р., 15а","-","55.803142,37.785769","N"
"Почта России","ASU760245","Руставели Ул.., 8 К. 1","","55.812395,37.590175","N"
"Почта России","ASU758552","Дежнева Пр-д., 34","-","55.870506,37.630912","N"
"Почта России","ASU758794","Боровая Ул.., 20","","55.766898,37.716771","N"
"Почта России","ASU759377","Сущевский Вал Ул.., 23","","55.793049,37.601301","N"
"КРЕДИТ ЕВРОПА БАНК","ARX323996","Олимпийский Пр-кт., 14","-","55.778202,37.623212","N"
"ПРОМСВЯЗЬБАНК","ARX100180","Садовая-спасская Ул.., 19, 1","-","55.769564,37.64748","N"
"СОЛИДАРНОСТЬ БАНК","ARX881706","Ярославское Ш.., 146, К.. 1","-","55.877748,37.730958","N"
"Почта России","ASU758408","Северный Б-р., 12б","","55.867364,37.620078","N"
"Почта России","ASU760410","Малыгина Ул.., 6","-","55.882629,37.696229","N"
"СОЛИДАРНОСТЬ БАНК","ARX881696","Ярославское Ш.., 146, К.. 2","-","55.878804,37.729988","N"
"Почта России","ASU758684","Щелковское Ш.., 48a","-","55.809335,37.794129","N"
"ВОСТОЧНЫЙ ЭКСПРЕСС БАНК","ARX913674","Суворовская Пл.., 1/52, К.. 1, 1 Этаж","-","55.78079,37.615273","N"
"Почта России","ASU757627","Уральская Ул.., 11","-","55.817619,37.797348","N"
"Почта России","ASU758299","Гиляровского Ул.., 1/3","-","55.773596,37.629473","N"
"Почта России","ASU757562","Тайнинская Ул.., 24","-","55.884069,37.68682","N"
"РОССЕЛЬХОЗБАНК","ARX898845","Малая Сухаревская Пл.., 10","-","55.772401,37.630769","N"
"Почта России","ASU759508","Полярная Ул.., 16 К. 1","","55.876579,37.637366","N"
"Почта России","ASU758420","Уральская Ул.., 1","-","55.811602,37.797708","N"
"РОССЕЛЬХОЗБАНК","ARX898823","Хачатуряна Ул.., 20","-","55.862035,37.604457","N"
"РУССКИЙ СТАНДАРТ","ARX895622","Хачатуряна Ул.., 20","","55.861463,37.603584","N"
