"name","orig_id","streetAddress","state","location","platinum"
"ENJAZ  BLOCK 8 308","ARA030551","Majmaah St Al Qadisiyah","Eastern","26.42043,50.073912","Y"
"ENJAZ  AL OMAL 320","ARA031123","King Fahd Rd Madinah Al Ummal Dist","Eastern","26.428339,50.105422","Y"
"ENJAZ  KHAZAN STREET 309","ARA031309","18th St Al Qazzaz District","Eastern","26.436749,50.096311","Y"
"ERSAL MONEY TRANSFER","ARA080105","Bldg Ersal Muhammad Ibn Saud 9th St","Eastern","26.435005,50.108224","Y"
"SAMBA FINANCIAL GROUP","ARA020486","Bldg: Seiko King Saud St","Eastern","26.442539,50.100549","Y"
"ERSAL MONEY TRANSFER","ARA080765","Bldg Ersal King Saud St","Eastern","26.442454,50.106654","Y"
"ENJAZ  HYATT PLAZA 307","ARA030540","King Saud St Al Anoud District","Eastern","26.441462,50.066567","Y"
"ERSAL MONEY TRANSFERS","ARA081195","Kiosk Swaiket","Saudi Arabia","26.442489,50.10669","N"
"ENJAZ  TUBAYSHI 331","ARA031903","King Faisal Rd Al Tabishi District","Eastern","26.435439,50.126094","Y"
"ERSAL MONEY TRANSFER","ARA080590","Bldg Ersal King Saud Rd","Eastern","26.431405,50.042954","Y"
"ENJAZ  BLOCK91 310","ARA030562","Abu B  Alsiddiq St  Badr District","Eastern","26.403812,50.038186","Y"
"ERSAL MONEY TRANSFER","ARA080150","Bldg Ersal Ind Area No1 St No 22","Eastern","26.401985,50.138876","Y"
"ERSAL MONEY TRANSFERS","ARA081184","Kiosk Dhabab","Saudi Arabia","26.431394,50.042964","N"
"ENJAZ  OMAR IBN ALKHATTAB 333","ARA032003","Omar Ibn Al Khattab St Al Sinaiyah","Eastern","26.446553,50.027072","Y"
"ENJAZ  SOUTH KHALIDIYAH 334","ARA032124","King Abdulaziz Rd Al Khalidiyah","Eastern","26.41484,50.160139","Y"
"ENJAZ  SIHAAT 329","ARA031837","King Abdulaziz Rd Al Khasab District","Eastern","26.491394,50.038628","N"
"ENJAZ  AL RAKAH 323","ARA031222","Khalid Bin Al Walid St Al Rakah","Eastern","26.366072,50.203669","Y"
"ENJAZ  AL QATIF 306","ARA030539","King Abdulaziz Rd Al Qatif","Eastern","26.558378,50.00405","Y"
"ENJAZ  AL AQRABIYA 319","ARA031013","Tenth St Al Aqrabiah District","Eastern","26.290524,50.196091","Y"
"ENJAZ  AL THUQBAH 312","ARA030584","St No 11  Al Thuqbah District","Eastern","26.280078,50.192197","Y"
"ENJAZ  KING FAHAD ST 317","ARA030627","King Fahd St Northern Khobar District","Eastern","26.284243,50.212176","Y"
"ERSAL MONEY TRANSFER","ARA080600","Bldg Ersal King Fahd Rd","Eastern","26.28417,50.212132","Y"
"ERSAL MONEY TRANSFER","ARA080864","Bldg Ersal Makkah Al Mukarramah St","Eastern","26.272794,50.19534","Y"
"ENJAZ  PRINCE MOHAMMED ST 314","ARA030605","Prince Nasser St Khobar","Eastern","26.282154,50.212767","Y"
"SAMBA FINANCIAL GROUP","ARA020255","Bldg: Khobar Br Prince Mansour St","Eastern","26.281213,50.212056","Y"
"ENJAZ  AL DHAHRAN ST 313","ARA030595","The Two Holy Mosques Rd  Khobar","Eastern","26.279831,50.211442","Y"
"ENJAZ  ALKHOBAR SOUTH 322","ARA031529","King Fahd Rd Southern Khobar","Eastern","26.269197,50.212813","Y"
"ENJAZ  AL SENAAIH 328","ARA031750","Commercial Complex St Al Sinaiyah","Eastern","26.236661,49.968461","Y"
"ERSAL KIOSK THOQBA","ARA080974","Thoqba","Eastern","26.272786,50.195387","N"
"ENJAZ  RAS TANORA 304","ARA030528","49 Street Ras Tanora","Eastern","26.70495,50.065687","Y"
"ENJAZ  ALBALAD JEDDAH 220","ARA031057","Gabel St  Al Balad District","Makkah","21.483087,39.183698","Y"
"ENJAZ  AL KORNICH 234","ARA030353","King Abdulaziz St Al Jawzi District","Makkah","21.485428,39.182959","Y"
"ENJAZ  AL SHARFIYAH 225","ARA030980","King Fahd Rd Al Kandara District","Makkah","21.494033,39.197333","Y"
"ERSAL MONEY TRANSFER","ARA080271","Bldg Ersal King Khalid Rd","Makkah","21.502314,39.191123","Y"
"ENJAZ  BOGHDADIYAH 238","ARA031354","King Khalid Rd Al Baghdadiyah District","Makkah","21.502544,39.189862","Y"
"ERSAL MONEY TRANSFER","ARA081337","Kiosk Sharafiya","Saudi Arabia","21.50235,39.19115","N"
"ENJAZ  PETROMIN ST 240","ARA031552","At Tilfizyun St Petromin District","Makkah","21.446248,39.201365","Y"
"ERSAL MONEY TRANSFER","ARA080644","Bldg Ersal At Tilfizyun St","Makkah","21.446262,39.202481","Y"
"ENJAZ  BANI MALEK 235","ARA030364","Market St  Bani Malik District","Makkah","21.529211,39.204394","Y"
"ERSAL MONEY TRANSFER","ARA080435","Bldg Ersal Bakhashab Rd","Makkah","21.480099,39.241074","Y"
"ENJAZ  MUSHREFAH 231","ARA030759","Muhammed Al Taweel St  Mushrifa","Makkah","21.536788,39.189292","Y"
"ERSAL MONEY TRANSFER","ARA080897","Bldg Ersal Al Makaronah St","Makkah","21.547525,39.195343","Y"
"ENJAZ  AL MAKARONA 222","ARA030308","Makarunah St Aziziyah","Makkah","21.548613,39.195103","Y"
"ENJAZ  AL JAMA A 232","ARA030342","Bin Laden St Al Jamaa District","Makkah","21.462583,39.255883","Y"
"ENJAZ  70 TH ST SOUTH 239","ARA031365","Prince Majed St Aziziyah District","Makkah","21.550583,39.204867","Y"
"ERSAL MONEY TRANSFER","ARA080161","Bldg Ersal Prince M Bin Abdul Aziz St","Makkah","21.553108,39.162846","Y"
"ERSAL MONEY TRANSFERS","ARA081106","Kiosk Makaronah","Saudi Arabia","21.54754,39.195327","N"
"SAMBA FINANCIAL GROUP","ARA020145","Bldg: Samria Br Rawdat Al Khalij St","Makkah","21.560201,39.168738","Y"
"ENJAZ  ALWAHA2 242","ARA032014","M  Al Bassam St Al Waha District","Makkah","21.552072,39.237361","Y"
"ENJAZ  AL MORABBA 221","ARA031453","Prince Saud Al Faisal St Al Morabba","Makkah","21.565325,39.173938","Y"
"ERSAL MONEY TRANSFER","ARA081348","Kiosk Mahjar","Saudi Arabia","21.544147,39.144958","N"
"ENJAZ  AL SAFA 229","ARA030650","Prince M  Bin Abdulziz Rd Al Safa","Makkah","21.578811,39.208939","Y"
"ENJAZ  AL SALAMA 230","ARA030661","Sari St As Salamah District","Makkah","21.580715,39.163057","Y"
"ENJAZ  ALSAMER 236","ARA031046","Waheeb Bin Omair St Al Samer District","Makkah","21.591634,39.236393","Y"
"ENJAZ  AL BWADI 224","ARA030320","King Fahad Rd Al Bawadi","Makkah","21.602501,39.170798","Y"
"ENJAZ  ALSITEEEN JEDDAH 227","ARA030870","Hirat St Al Siteeen","Makkah","21.618137,39.176746","Y"
"ENJAZ  NAHDAH 226","ARA030748","Al Nadha Center Hira St","Makkah","21.608311,39.130698","Y"
"ENJAZ  AL NOZHAH 228","ARA030331","Sultan Bin Salman Rd Al Nozhah","Makkah","21.624,39.188771","Y"
"ENJAZ  PRINCE SULTAN ST 237","ARA031299","Prince Sultan B  Abdulaziz St Al Nahda","Makkah","21.648209,39.127467","Y"
"ERSAL MONEY TRANSFER","ARA080633","Bldg Ersal Al Hamadaniyah St","Makkah","21.73887,39.192697","Y"
"ENJAZ  HAMDANIA 244","ARA031914","Main St Al Hamdaniya District","Makkah","21.744635,39.189812","Y"
"ENJAZ  OBHUR AL SHAMALIAH 245","ARA031947","Prince Abdul Majeed Rd Al Amwaj Dist","Makkah","21.762728,39.077468","Y"
"ERSAL MONEY TRANSFERS","ARA081216","Kiosk Hamadaniyah","Saudi Arabia","21.738863,39.192658","N"
"ERSAL MONEY TRANSFERS","ARA081117","Kiosk Souq Khamis","Saudi Arabia","18.30771,42.739697","N"
"ENJAZ  KHAMIS MUSHAIT 284","ARA030429","King Fahd Rd Al Urq Al Shamali Dist","Asir","18.307878,42.730976","Y"
"ERSAL MONEY TRANSFER","ARA080918","Bldg Ersal King Fahd Rd","Asir","18.307681,42.730931","Y"
"ERSAL MONEY TRANSFER","ARA080808","Bldg Ersal King Khalid Rd","Asir","18.242492,42.772034","Y"
"ERSAL KIOSK AL RAUNAH","ARA081030","Raunah","Southern","18.242483,42.772047","N"
"ENJAZ  AL NUMAIS 292","ARA031606","King Fahd Rd An Numus District","Asir","18.216655,42.503067","Y"
"ENJAZ  ABHA 285","ARA030430","Main Street Down Town","Asir","18.216345,42.50305","Y"
"ENJAZ  SARAT OBADIAH 294","ARA031826","King Khalid Rd Al Rabwah District","Asir","18.085208,43.135255","Y"
"ENJAZ  MHAIEL ASEER 291","ARA030485","Main Street Down Town","Asir","18.545003,42.047188","Y"
"ENJAZ  AL DARB 297","ARA031893","Al Darb Main St Central Al Darb","Jizan","17.725262,42.245334","Y"
"ENJAZ  BAISH 298","ARA031981","King Abdulaziz Rd Al Khadra District","Asir","17.382891,42.544402","Y"
"ERSAL MONEY TRANSFER","ARA080831","Bldg Ersal King Abdulaziz Rd","Jizan","17.37823,42.546264","Y"
"ENJAZ  AL NAMAS 278","ARA031211","King Faisal Rd Al Zahra District","Asir","19.124571,42.129818","Y"
"ENJAZ  SABIA 286","ARA030441","King Faisal Rd  Al Waha District","Jazan","17.149179,42.625189","Y"
"ERSAL KIOSK BAISH","ARA081052","Baish","Southern","17.378152,42.546531","N"
"ENJAZ  ABU AREESH 290","ARA030474","King Abdulaziz St Khalidiya District","Jizan","16.964806,42.832432","Y"
"ENJAZ  JIZAN ALKORNICH 295","ARA031563","Prince Abdullah Al Faisal St Jazan","Jizan","16.903923,42.549982","Y"
"ERSAL MONEY TRANSFER","ARA080819","Bldg Ersal Prince Sultan Rd","Jazan","16.900941,42.557468","Y"
"ERSAL MONEY TRANSFER","ARA080534","Bldg Ersal King Abdul St","Jazan","16.891435,42.542065","Y"
"ERSAL MONEY TRANSFER","ARA080347","Bldg Ersal King Abdulaziz Rd","Najran","17.4874,44.131217","Y"
"ENJAZ  NAJRAN 287","ARA030452","King Abdulaziz Rd Najran","Najran","17.542705,44.223594","Y"
"ENJAZ  BISHAH 283","ARA030418","King Fisal Street 283","Asir","20.00186,42.604737","Y"
"ENJAZ  SAMTAH 289","ARA030463","Bedouin St Al Sunaid District","Jazan","16.595523,42.937509","Y"
"ERSAL KIOSK PRINCE SULTAN ROAD","ARA081041","Rawdah","Southern","16.900899,42.557443","N"
"ENJAZ  AL QUNFOTHAH 282","ARA030782","Al Qunfudah Center Passport St","Makkah","19.125844,41.085662","Y"
"ERSAL MONEY TRANSFER","ARA081371","Kiosk Jazan Albalad","Saudi Arabia","16.891378,42.541887","N"
"ENJAZ  BILJORASHI 280","ARA031156","King Saud Rd  Biljurashi","Al Bahah","19.862198,41.562061","Y"
"ERSAL KIOSK KING ABDULAZIZ ROAD","ARA081063","Khalidiyah","Southern","17.542607,44.223774","N"
"ENJAZ  AL BAHA 281","ARA030771","King Abdulaziz Rd Al Baha","Al Bahah","20.012048,41.464185","Y"
"ENJAZ  AL AZIZIAH 259","ARA030869","Main St Al Azizia","Makkah","21.410722,39.866288","Y"
"ERSAL MONEY TRANSFER","ARA080084","Bldg Ersal Al Masjid Al Haram Rd","Makkah","21.427686,39.856855","Y"
"ERSAL MONEY TRANSFER","ARA080073","Bldg Ersal Al Hijrah Rd","Makkah","21.410559,39.822129","Y"
"ENJAZ  KAAKIAH 261","ARA031134","Ibrahim Al Khalil St Al Kaakeya","Makkah","21.381929,39.806993","Y"
"ENJAZ  JABAL ALNOOR 252","ARA030957","King Faisal Rd Jabal Al Noor District","Makkah","21.449964,39.864008","Y"
"ENJAZ  AL SITEEN MAKKAH 258","ARA030397","Umm Al Qura St Al Zahraa","Makkah","21.424596,39.795928","Y"
"ENJAZ  AL SHAWQIYAH 255","ARA031860","Muhammad Saleh St Al Shawqiyyah","Makkah","21.382771,39.783852","Y"
"ERSAL MONEY TRANSFER","ARA080293","Bldg Ersal Ash Shaikh A Al Qarawi St","Makkah","21.400917,39.781782","Y"
"ERSAL MONEY TRANSFER","ARA080028","Bldg Ersal Al Madinah Al Munnawarah Rd","Makkah","21.446524,39.809046","Y"
"ENJAZ  AL GAZA ST 251","ARA030375","Hassan Bin Thabit St Al Hujun District","Makkah","21.434999,39.812574","N"
"ERSAL MONEY TRANSFER","ARA081359","Kiosk Alzaher","Saudi Arabia","21.446366,39.808803","N"
"ERSAL MONEY TRANSFER","ARA081360","Kiosk Alaskaan","Saudi Arabia","21.403282,39.774247","N"
"ENJAZ  AL SHAYREE 262","ARA031518","Omar Al Qadi St 64 Al Khadra District","Makkah","21.468182,39.943026","Y"
"ERSAL MONEY TRANSFER","ARA080776","Bldg Ersal Al Muhandes Umar Qadi St","Makkah","21.466881,39.944602","Y"
"ERSAL KIOSK SHARAE A","ARA080996","Sharae A","Western","21.46685,39.944347","N"
"ENJAZ  AL JAMOOM 263","ARA031628","Al Jumum Hada Rd Al Naseem District","Makkah","21.618344,39.702009","Y"
"ERSAL MONEY TRANSFER","ARA080424","Bldg Ersal Abo Sakr Al Siddiq Rd","Al Madinah","24.485217,39.574151","Y"
