"name","orig_id","streetAddress","state","location","platinum"
"OSCHADBANK","AUN706914","Str Polyarna 20 D","Kiev","50.520226,30.479802","N"
"NOVA POSHTA","AUA760915","Polyarna Str  20 D","Kyivska","50.520109,30.479751","N"
"FUIB","AUN443277","Polyarna Str. 20d","Kyivska","50.519315,30.476183","N"
"NOVA POSHTA","AUA764414","Polyarna Str  17a","Kyivska","50.519695,30.467677","N"
"NOVA POSHTA","AUA760849","Bogatyrska Str  6a Prym  513","Kyivska","50.519363,30.484625","N"
"NOVA POSHTA","AUA760728","Petrakalnyshevskogo Str  2","Kyivska","50.518603,30.465649","N"
"PRIVATBANK","AUN167892","Rokossovskogo St. 8","Kyivska","50.523102,30.460103","N"
"OSCHADBANK","AUN637966","Str Geroiv Dnipra 31 B Lit A","Kiev","50.522878,30.493672","N"
"PRIVATBANK","AUN164745","Geroev Dnepra St. 18","Kyivska","50.520713,30.493249","N"
"PRIVATBANK","AUN370522","Geroev Dnepra St  21","Kyivska","50.520713,30.493249","N"
"NOVA POSHTA","AUA782696","Rokosovskogo Marshala Av  3 A","Kyivska","50.521489,30.454697","N"
"UKRAINIAN FINANCIAL GROUP","AUN474714","Zoyi Gayday Str 2","Kyivska","50.51447,30.49309","N"
"NOVA POSHTA","AUA763248","Minske Shose Str  10a","Kyivska","50.523981,30.453111","N"
"OSCHADBANK","AUN637988","Pr Kt Minskij 4","Kiev","50.522603,30.452403","N"
"NOVA POSHTA","AUA760717","Obolonskyj Av  35","Kyivska","50.518043,30.497826","N"
"PRIVATBANK","AUN481831","Marshala Timoshenko St 13","Kyivska","50.511749,30.490689","N"
"PRIVATBANK","AUN348952","Marshala Timoshenko St  13a","Kyivska","50.512195,30.492111","N"
"JSCB PRAVEX BANK","AUN217382","Marshala Timoshenka Str., 21","Kyivska","50.513317,30.494144","N"
"PRIVATBANK","AUN297845","Druzhby Narodov 8a Sq  37","Kyivska","50.525965,30.500042","N"
"BANK INVESTMENTS AND SAVINGS","AUN502633","Marshala Tymoshenko 21","Kyivska","50.513338,30.494578","N"
"ALFA BANK","AUN289606","Tymoshenko St 21 5","Kyivska","50.513558,30.495163","N"
"PJSC BANK FORWARD","AUN453748","Ul Timoshenko 21","Kyivska","50.513472,30.495134","N"
"UKRAINIAN FINANCIAL GROUP","AUN505812","Marshala Timoshenko Str 21 Build 7a","Kyivska","50.51313,30.49509","N"
"PAO IDEA BANK","AUN345618","Tymoshenko St 21","Kyivska","50.51313,30.49509","N"
"KREDIT DNEPR","AUN324071","M. Tymoshenka Str? 21","Kyivska","50.51313,30.49509","N"
"RADABANK","AUN506671","21 Marshala Timoshenka","Kyivska","50.513041,30.495001","N"
"OSCHADBANK","AUN703669","Prospekt Obolonskij 21 B Sekciya A 3","Kiev","50.516326,30.498657","N"
"NOVA POSHTA","AUA750060","Berezhans Ka Str  9","Kyiv","50.509979,30.461719","N"
"PRIVATBANK","AUN347731","Timoshenka St  19","Kyivska","50.513835,30.496785","N"
"NOVA POSHTA","AUA759311","Marshalatymoshenko Str  9","Kyivska","50.509762,30.490456","N"
"OSCHADBANK","AUN637955","Str Timoshenka Marshala 12","Kiev","50.511616,30.495407","N"
"FUIB","AUN441286","Obolonskiy Ave. 26","Kyivska","50.514586,30.499025","N"
"NOVA POSHTA","AUA760388","Pivnichna Str  1a","Kyivska","50.527956,30.502961","N"
"UNIVERSAL BANK   OPERATION UNIT","AUN600027","54 19 B Avtozavodska St","Kyivska","50.509278,30.458196","N"
"NOVA POSHTA","AUA759399","Vyshgorodska Str  46","Kyivska","50.515358,30.45031","N"
"NOVA POSHTA","AUA760564","Obolonskyj Av  26 Prym  388","Kyivska","50.513513,30.499762","N"
"PIRAEUSBANK ICB","AUN443343","Obolonskiy 26","Kyivska","50.513513,30.499762","N"
"UKRAINIAN FINANCIAL GROUP","AUN505450","Heroyiv Dnipra Str 34","Kyivska","50.522227,30.504521","N"
"OSCHADBANK","AUN703625","Str Geroiv Dnipra 53 Lit A","Kiev","50.522958,30.505691","N"
"NOVA POSHTA","AUA760618","Gerojivdnipra Str  53","Kyivska","50.522918,30.50569","N"
"UKRAINIAN FINANCIAL GROUP","AUN506187","Geroiv Dnipra Str 41 A","Kyivska","50.52259,30.50604","N"
"PRIVATBANK","AUN373316","Timoshenka St  29","Kyivska","50.51301,30.5012","N"
"OSCHADBANK","AUN637977","Pr Kt Obolonskij 15","Kiev","50.510122,30.497579","N"
"NOVA POSHTA","AUA761125","Avtozavodska Str  29 A Prym  1","Kyivska","50.508113,30.457406","N"
"SBERBANK","AUN289222","Obolonskiy Pr., 22 V","Kyivska","50.51082,30.49954","N"
"FUIB","AUN104114","Obolonskiy Ave. 22b","Kyivska","50.510667,30.499376","N"
"OSCHADBANK","AUN703593","Str Vishgorodska 38","Kiev","50.510764,30.450993","N"
"PRIVATBANK","AUN371590","Malinovskogo St  5","Kyivska","50.505297,30.490863","N"
"UNEX BANK","AUN501764","Tymoshenka 29","Kyivska","50.512845,30.504117","N"
"OSCHADBANK","AUN708433","Ave Obolonskij 1b","Kiev","50.507914,30.498254","N"
"OSCHADBANK","AUN630541","Prospekt Obolonskij 1 B Litera A Sek","Kiev","50.507914,30.498254","N"
"PIVDENNYI N2612","AUN570744","M Tymoshenko 21 8 Str","Kyivska","50.512961,30.504742","N"
"NOVA POSHTA","AUA785600","Vozdvyzhenska Str  73b","Poltavska","50.510649,30.449336","N"
"OTP BANK","AUN105391","Tymoshenko Str  18","Kyivska","50.51143,30.50323","N"
"PRIVATBANK","AUN121296","M.timoshenka St. 29","Kyivska","50.512844,30.504752","N"
"PRIVATBANK","AUN346521","Obolonskiy Av  16","Kyivska","50.507709,30.499352","N"
"PRIVATBANK","AUN376023","Vyshgorodskaya St 45","Kyivska","50.509182,30.449184","N"
"NOVA POSHTA","AUA785776","Vyshgorodska Str  45 A 5","Kyivska","50.509004,30.449147","N"
"NOVA POSHTA","AUA782926","Obolonskyj Av  22 V Sektsiya 3","Kyivska","50.509661,30.503864","N"
"UKREXIMBANK","AUN329867","G. Stalingrada 24","Kyivska","50.511757,30.507341","N"
"OSCHADBANK","AUN703603","Pr Kt Obolonskij 14 Lit B","Kiev","50.505603,30.499259","N"
"NOVA POSHTA","AUA759948","Gerojiv Stalingradu Av  24","Kyivska","50.511841,30.507665","N"
"NOVA POSHTA","AUA762708","Malynovskogo Str  11","Kyivska","50.502338,30.492252","N"
"RAIFFEISEN BANK","AUN036068","Geroev Stalingrada Pr 24 Korp 7","Kyivska","50.51134,30.50772","N"
"NOVA POSHTA","AUA759773","Gerojiv Stalingrada Av  55a","Kyivska","50.521439,30.513031","N"
"PRIVATBANK","AUN374340","Geroev Stalingrada Av  53b","Kyivska","50.52091,30.51306","N"
"PRIVATBANK","AUN290969","Vyshgorodskaya St  26 2","Kyivska","50.505202,30.451939","N"
"UKRAINIAN FINANCIAL GROUP","AUN470051","Vyshhorodska Str 33","Kyivska","50.50502,30.45063","N"
"ALFA BANK","AUN445466","Geroiv Stalingradu 4a","Kyivska","50.508283,30.50616","N"
"NOVA POSHTA","AUA762896","Vyshgorodska Str  20 1a","Kyivska","50.503696,30.451935","N"
"NOVA POSHTA","AUA760926","Zapadynska Str  9a","Kyivska","50.507882,30.443873","N"
"PRIVATBANK","AUN483954","Vyshgorodskaya St 29 1","Kievska","50.503328,30.450876","N"
