"name","orig_id","streetAddress","state","location","platinum"
"7-ELEVEN #33086","ACH049886","343 S Dearborn St","IL","41.877229,-87.629011","N"
"WALGREENS #5387","ACH109287","79 W Monroe St","IL","41.880646,-87.630647","N"
"175 W JACKSON CURRENCY EXCHANG","ACH998966","175 W Jackson Blvd","IL","41.878102,-87.633446","N"
"JEWEL #3368","ACH133091","550 N State St","IL","41.87508,-87.627686","N"
"WALGREENS #2432","ACH106877","200 W Adams St","IL","41.879416,-87.634168","N"
"7-ELEVEN #33705","ACH078376","216 W Jackson Blvd","IL","41.878465,-87.634525","N"
"7-ELEVEN #33496","ACH062733","525 S State St Unit D","IL","41.874947,-87.627436","N"
"WALGREENS #15667","ACH114687","122 S Michigan Ave","IL","41.879621,-87.62442","N"
"WALGREENS #16355","ACH118559","2 N State St # 1","IL","41.882155,-87.627839","N"
"WALGREENS #4349","ACH108176","201 W Madison St","IL","41.881872,-87.633913","N"
"WALGREENS #10558","ACH111442","250 S Wacker Dr","IL","41.878129,-87.637144","N"
"WALGREENS #09438","ACH111035","30 N Michigan Ave","IL","41.882967,-87.624871","N"
"WALGREENS #16085","ACH115127","100 W Randolph St","IL","41.884662,-87.631373","N"
"WALGREENS #15196","ACH114094","151 N State St","IL","41.88483,-87.627872","N"
"WALGREENS #21221","ACH143308","433 W Van Buren St Suite 150","IL","41.875452,-87.638842","N"
"PLS CHECK CASHERS CC078","ACH066177","570 W Roosevelt Rd","IL","41.867462,-87.641961","Y"
"7-ELEVEN #36881","ACH104622","177 N Wells St","IL","41.885386,-87.633637","N"
"7-ELEVEN #33892","ACH081125","200 N Dearborn St","IL","41.886088,-87.63001","N"
"WORLD'S MONEY EXCHANGE INC","ACH138106","203 N La Salle St Fl M11","IL","41.886043,-87.632267","N"
"7-ELEVEN #33582","ACH070806","58 E Lake St","IL","41.885979,-87.625894","N"
"WALGREENS #7179","ACH110418","2 E Roosevelt Rd","IL","41.867547,-87.627248","N"
"MARIANO'S #503","ACH136434","333 E Benton Pl","IL","41.88534,-87.618944","N"
"JEWEL #3345","ACH131868","1224 S Wabash Ave","IL","41.866286,-87.62626","N"
"WALGREENS #15921","ACH114599","410 N Michigan Ave","IL","41.890042,-87.624242","N"
"WALGREENS #4978","ACH108769","111 S Halsted St","IL","41.879625,-87.647137","N"
"7-ELEVEN #38585","ACH137578","560 W Grenshaw St","IL","41.868184,-87.641354","N"
"WALGREENS #4461","ACH108242","501 W Roosevelt Rd","IL","41.866831,-87.639472","N"
"MARIANO'S #508","ACH136533","40 S Halsted St","IL","41.880818,-87.647758","N"
"JEWEL #3376","ACH132793","370 N Desplaines St","IL","41.88871,-87.64433","N"
"CHICAGO RUSH C E","ACH114313","62 E Chicago Ave","IL","41.896941,-87.625941","Y"
"WALGREENS #2340","ACH106855","342 E Illinois St","IL","41.891063,-87.618528","N"
"WALGREENS #3072","ACH107229","641 N Clark St","IL","41.893622,-87.631055","N"
"JEWEL #4500","ACH131989","1340 S Canal St","IL","41.864126,-87.639871","N"
"SWIFT PASSPORT SERVICES","ACH112443","1 E Erie St Ste 525","IL","41.89395,-87.627771","N"
"WALGREENS #15044","ACH112245","680 N Lake Shore Dr","IL","41.894261,-87.617574","N"
"MARIANO'S #512","ACH136577","1615 S Clark Street","IL","41.85933,-87.629618","N"
"WALGREENS #12426","ACH111958","315 W Chicago Ave","IL","41.896457,-87.636602","N"
"WALGREENS #211","ACH106163","757 N Michigan Ave","IL","41.896679,-87.623797","N"
"7-ELEVEN #35978","ACH104347","520 N Halsted St","IL","41.891885,-87.64806","N"
"7-ELEVEN #33629","ACH069181","1160 W Taylor St","IL","41.869594,-87.656668","N"
"WALGREENS #7630","ACH110649","933 N State St","IL","41.900181,-87.628261","N"
"PACIFIC GLOBAL BANK","ACH077221","2156a S Archer Ave","IL","41.853585,-87.634334","N"
"NEW 18TH & BLUE ISLAND C E","ACH021813","1825 S Blue Island Ave","IL","41.857171,-87.661535","Y"
"WALGREENS #4752","ACH108505","316 W Cermak Rd","IL","41.853126,-87.635474","N"
"CERMAK WABASH CURRENCY EXCH","ACH098505","67 E Cermak Rd","IL","41.852768,-87.62491","N"
"CERMAK & WABASH CE II","ACH125104","67 E. Cermak Rd","IL","41.85277,-87.624505","N"
"DIVISION CLARK C E","ACH057366","113 W Division St","IL","41.903785,-87.632128","N"
"WALGREENS #1375","ACH106482","1200 N Dearborn St","IL","41.903988,-87.630147","N"
"JEWEL #3234","ACH131637","102 W Division St","IL","41.90388,-87.633095","N"
"JEWEL #3546","ACH132869","424 W Division St","IL","41.90378,-87.63933","N"
"PACIFIC GLOBAL BANK","ACH067871","2323 S Wentworth Ave","IL","41.850291,-87.631633","N"
"JEWEL #3344","ACH131857","1220 S Ashland Ave","IL","41.866344,-87.66639","N"
"NEW GRAND ASHLAND CURR EXCH","ACH121902","1609 W Grand Ave","IL","41.890927,-87.667444","N"
"31ST & WALLACE CURRENCY EXCHAN","ACH006678","3101 S Wallace St","IL","41.837949,-87.641309","Y"
"WALGREENS #249","ACH106217","1601 N Wells St","IL","41.911207,-87.634392","N"
"WESTERN & LAKE CHECK CASHERS","ACH120275","149 N Western Ave","IL","41.884466,-87.686026","Y"
"PLS CHECK CASHERS CC001","ACH013827","1958 W Cermak Rd","IL","41.852268,-87.675707","Y"
