"name","orig_id","streetAddress","state","location","platinum"
"NHNO CAN THO II CN CO DO","AVN093755","Ap Thoi Hoa, Tt Co Do","Can Tho","10.045162,105.746854","N"
"BIDV CAN THO PGD BAC CAN THO","AVN362848","70,ap Thi Tu,tt Phong Dien","Can Tho","10.045162,105.746854","N"
"CTY TNHH MTV PHUC NGUYEN","AVN118210","101 B Kv Thoi Xuong Ii Thoi Lo","Can Tho","10.045162,105.746854","N"
"ABBANK PGD BINH THUY","AVN281273","12 Le Hong Phong","Can Tho","10.045162,105.756645","N"
"TECHCOMBANK CANTHO","AVN222478","So 45a   47 Duong 30 4","Can Tho","10.037005,105.754731","N"
"CTY TNHH MOT THANH VIEN KIM TI","AVN195219","55 Nguyen Van Cu, P.an Hoa","Can Tho","10.025896,105.747518","N"
"NAM A BANK CN CAN THO PGD NINH","AVN364840","230 Nguyen Van Cu P An Hoa Q N","Can Tho","10.04711,105.76868","N"
"BAN VIET BANK CN CAN THO PGD N","AVN364851","307 Nguyen Van Cu P An Hoa Q N","Can Tho","10.04711,105.76868","N"
"MARITIME BANK CAN THO  AN THOI","AVN213689","So 304 Duong Cmt8 P  An Thoi","Can Tho","10.062385,105.762907","N"
"MILITARY BANK TAY DO","AVN181029","43 Cmt 8 P  An Thoi Q Binh Thuy","Can Tho","10.0611,105.764249","N"
"SHB AN HOA","AVN250594","179 Nguyen Van Cu P An Hoa Q Ninh Kieu","Can Tho","10.048535,105.770428","N"
"VIETINBANK TAY DO PGD BINH THUY","AVN165816","C4 Cmt8 P Bui Huu Nghia Q Binh Thuy","Can Tho","10.061986,105.76346","N"
"ACB PGD AN THOI","AVN113084","325 B Cmt8, P. Bui Huu Nghia","Can Tho","10.061524,105.76413","N"
"KIEN LONG BANK BINH THUY","AVN200951","91 Cmt8, P. An Thoi,","Can Tho","10.066563,105.758965","N"
"BIDV TAY DO PGD NAM CAN THO","AVN249417","28 30 Mau Than P An Nghiep Q Ninh Kieu","Can Tho","10.038068,105.770978","N"
"VP BANK - PGD NINH KIEU","AVN192249","85 Nguyen Van Cu, P.an Hoa, Q.ninh Kieu","Can Tho","10.049993,105.772082","N"
"TV SON CA","AVN281712","83 Bui Huu Nghia Street","Can Tho","10.070337,105.752454","N"
"SHB SO SAO","AVN250505","69/3, Kp1, Tan Dinh, Ben Cat","Binh Duong","10.019661,105.755435","N"
"SAIGON COM BANK CAN THO AN HOA","AVN310742","106 Tran Viet Chau P An Hoa","Can Tho","10.049758,105.773759","N"
"VIETINBANK CAN THO PGD AN THOI","AVN160493","296 Cach Mang Tam Can Tho","Can Tho","10.071149,105.754458","N"
"NHNO CAN THO II PGD AN HOA","AVN095779","36/24a Tran Viet Chau","Can Tho","10.047545,105.775745","N"
"MARITIME BANK KV3 MIEN NAM LAI","AVN216011","495a Quoc Lo 80 Tt Lai Vung H Laivung","Dong Thap","10.03056,105.772669","N"
"CTY TNHH 1TV TIEM VANG KIM NGU","AVN195264","20 Pham Ngu Lao, P.thoi Binh","Can Tho","10.046761,105.777008","N"
"ABBANK PGD AN NGHIEP","AVN281262","152 154 Tran Hung Dao Ninh Kieu","Can Tho","10.036905,105.775986","N"
"PVCOMBANK AN PHU","AVN246371","132 Tran Hung Dao Ninh Kieu","Can Tho","10.037208,105.776156","N"
"MARITIME BANK CAN THO  HUNG LOI","AVN213690","So 188a Duong 3 2 P  Hung Loi","Can Tho","10.020364,105.763897","N"
"BAN VIET BANK CN CAN THO","AVN361551","135h 135y Tran Hung Dao An Phu","Can Tho","10.033159,105.774742","N"
"PVCOMBANK CAN THO","AVN246360","131 Tran Hung Dao Ninh Kieu","Can Tho","10.034358,105.775363","N"
"MARITIME BANK CAN THO  NINH KIEU","AVN213711","So 89 91 Tran Hung Dao Phuong An Phu","Can Tho","10.037245,105.776372","N"
"MILITARY BANK NINH KIEU","AVN181030","113 Mau Than P Xuan Khanh Q Ni","Can Tho","10.032156,105.774823","N"
"ABBANK CN CAN THO","AVN281251","74 76 Hung Vuong Q Ninh Kieu","Can Tho","10.042937,105.778191","N"
"PVCOMBANK NINH KIEU","AVN246304","54a Hung Vuong Thoi Binh Ninh","Can Tho","10.043932,105.778638","N"
"SAIGON COM BANK CAN THO AN PHU","AVN310731","109 Ly Tu Trong Ninh Kieu Can Tho","Can Tho","10.036314,105.777668","N"
"PVCOMBANK LY TU TRONG","AVN246359","127 Ly Tu Trong Ninh Kieu","Can Tho","10.036138,105.778005","N"
"SAIGON COM BANK CAN THO HUNG LOI","AVN312030","71b 3 Thang 2, Hung Loi,","Can Tho","10.015231,105.759074","N"
"LIEN VIET BANK CAN THO","AVN107023","62 Ly Tu Trong, An Cu, Ninh Ki","Can Tho","10.034928,105.779111","N"
"SAIGON COM BANK CAN THO","AVN310720","217 Duong 30 4 Xuan Khanh","Can Tho","10.022528,105.771816","N"
"ACB PGD XUAN KHANH","AVN114063","5/8a Duong 30/4,p.xuan Khanh,n","Can Tho","10.022258,105.771672","N"
"VP BANK   LY TU TRONG","AVN042540","126 Ly Tu Trong, P.an Cu","Can Tho","10.03483,105.779319","N"
"PVCOMBANK XUAN KHANH","AVN246294","1 1 Duong 30 4 Ninh Kieu","Can Tho","10.023631,105.773299","N"
"PVCOMBANK TAY DO","AVN246272","14c Duong 30 4 Xuan Khanh Ninh Kieu","Can Tho","10.025855,105.77507","N"
"SEABANK XUAN KHANH","AVN291447","So 301 Duong 30/4 P Xuan Khanh","Can Tho","10.02547,105.775253","N"
"NAM A BANK CN CAN THO","AVN363069","209,duong 30/4,xuan Khanh,ninh","Can Tho","10.025876,105.775811","N"
"TIEM VANG THANH VAN","AVN291997","Dong Hoa Dong Thuan","Can Tho","10.037552,105.780961","N"
"VIETINBANK CAN THO PGD NGUYEN TRAI","AVN162044","12 Nguyen Trai P Cai Khe Q Niinh Kieu","Can Tho","10.043588,105.782089","N"
"CTY TNHH TMDV TV KIM TIN CAN THO","AVN206694","171 Duong 30 4 P Xuan Khanh","Can Tho","10.027221,105.777216","N"
"INDOVINABANK CANTHO","AVN164419","So 8 Phan Van Tri P An Phu Q Ninh Kieu","Can Tho","10.032984,105.780261","N"
"VAB  CN CAN THO","AVN216956","04 Phan Van Tri P An Phu","Can Tho","10.033056,105.780291","N"
"LIENVIETPOSTBANK CAN THO PGD P","AVN363663","130 Phan Van Tri, Ktm Huyen","Can Tho","10.032559,105.780723","N"
"ACB CN CAN THO","AVN010497","41 - 41b - 41c Duong 30/04","Can Tho","10.029856,105.780337","N"
"DNTN VBDQ TIEN LIEN CHKD","AVN206616","109a1 Ho Tung Mau Tttm Cai Khe","Can Tho","10.044881,105.783901","N"
"OCEANBANK CAN THO BR","AVN340727","430 30 4 Str Hung Loi Ward","Can Tho","10.010791,105.760624","N"
"ABBANK PGD CAI RANG","AVN281284","216 Ql1a P Le Binh Q Cai Rang","Can Tho","10.00788,105.750235","N"
"SHB BINH THUY","AVN250572","17 9 Le Hong Phong P Binh Thuy","Can Tho","10.082074,105.740281","N"
"DNTN TV QUANG KHIEM","AVN207617","Lo 5 Cho An Binh P An Binh","Can Tho","10.007705,105.748918","N"
"VIETINBANK CN CAN THO QUANG TRUNG","AVN167214","24 Quang Trung P Phu Thu Q Cai Rang","Can Tho","10.027252,105.780439","N"
"SHB TRAN PHU","AVN250549","2bis Tran Phu  Q  Ninh Kieu","Can Tho","10.049112,105.784918","N"
"VP BANK","AVN041428","52-54 Tran Van Kheo","Can Tho","10.045232,105.78522","N"
"SHB CN CAN THO PGD THANH AN","AVN250561","71a Quoc Lo 80 Thanh An","Can Tho","10.082254,105.737673","N"
"BAO VIET BANK CN CAN THO","AVN243455","90 92 Tran Van Kheo Q Ninh Kieu","Can Tho","10.045575,105.785759","N"
"CTY TNHH MTV TV LE PHAT TUNG","AVN204911","146 Nguyen An Ninh,p.tan An","Can Tho","10.031629,105.783909","N"
"PG BANK PGD NINH KIEU CN CAN T","AVN243576","55a,nam Ky Khoi Nghia,tan An,n","Can Tho","10.032034,105.784206","N"
"BIDV CAN THO","AVN100840","12 Dai Lo Hoa Binh Tp Can Tho","Can Tho","10.034411,105.785044","N"
"KIEN LONG BANK   CAN THO","AVN117110","38 40 Dai Lo Hoa Binh P An Cu Q Ninh Kie","Can Tho","10.034086,105.785009","N"
"DNTN THANH HUONG","AVN203482","47 Nam Ky Khoi Nghia,p.tan An","Can Tho","10.032003,105.784816","N"
"BIDV TAY DO PGD ME KONG","AVN109850","108e, Tran Van Kheo,p.cai Khe","Can Tho","10.045336,105.787122","N"
"BUU CUC TP CAN THO","AVN120057","02b Hoa Binh P An Hoi Ninh Kieu","Can Tho","10.035832,105.786655","N"
"NHNO NINH KIEU   PGD AN BINH","AVN065617","1a 1 Ap Loi Nguyen B Xa An Bin","Can Tho","10.03072,105.78529","N"
"NHNO AND PTNT CAN THO  CN QUAN THOT NOT","AVN077850","99 Nguyen Thai Hoc Tt Thot Not","Can Tho","10.03072,105.78529","N"
"NAVIBANK","AVN044586","85 Vo Van Tan, W.tan An","Can Tho","10.03072,105.78529","N"
"NHNO CAN THO II CN THOI LAI","AVN077838","Ap Thoi Thuan B Tt Thoi Lai","Can Tho","10.03072,105.78529","N"
"BUU CUC VINH THANH","AVN124721","Xa Quanh Thoi H  Vinh Thanh","Can Tho","10.03072,105.78529","N"
"NHNO CAN THO II CN VINH THANH","AVN067158","So 2983, Ql 80, Tt Thanh An","Can Tho","10.03072,105.78529","N"
"NHNO AND PTNT CAN THO  CN QUAN CAI RANG","AVN060964","106 4 Vo Tanh Thi Tran Cai Rang","Can Tho","10.03072,105.78529","N"
"NHNO AND PTNT CAN THO CN QUAN O MON","AVN061305","48 1 Tran Hung Dao Tt O Mon","Can Tho","10.03072,105.78529","N"
"BUU CUC THOT NOT","AVN124710","Tt Thot Not H  Thot Not","Can Tho","10.03072,105.78529","N"
"NHNO AND PTNT CAN THO  PGD03","AVN079885","90 Ly Tu Trong, P. An Cu,  Ninh Kieu, Tp","Can Tho","10.03072,105.78529","N"
"NGAN HANG NONG NGHIEP VA PT NONG THON","AVN067125","15 Hoa Binh Tp Can Tho","Can Tho","10.03072,105.78529","N"
"BIDV PGD NINH KIEU CAN THO","AVN102435","29 31 Chau Van Liem Q  Ninh Kieu","Can Tho","10.03072,105.78529","N"
"NAVIBANK CAN THO NINH KIEU","AVN043529","318 Duong 30 4 P Hung Loi Q Ninh Kieu","Can Tho","10.03072,105.78529","N"
"NHNO CAN THO II   HOI SO","AVN061031","8-10 Nam Ky Khoi Nghia Can Tho","Can Tho","10.03072,105.78529","N"
"NHNO AND PTNT CAN THO  HOI SO","AVN060975","3 Phan Dinh Phung Can Tho","Can Tho","10.03072,105.78529","N"
"BUU CUC PHONG DIEN","AVN124709","Tt Nhon Ai H  Phong Dien","Can Tho","10.03072,105.78529","N"
"ACB PGD NINH KIEU","AVN111015","15-17-19 Nam Ky Khoi Nghia, P.","Can Tho","10.03072,105.78529","N"
"NHNO AND PTNT CAN THO  CN BINH THUY","AVN065606","17 12 Le Hong Phong P. Binh Thuy","Can Tho","10.03072,105.78529","N"
"NHNO CAN THO II CN PHONG DIEN","AVN077849","Ap Thi Tu Xa Nhom Ai","Can Tho","10.03072,105.78529","N"
"BIDV TAY DO","AVN248515","05 Phan Dinh Phung P Tan An Q Ninh Kieu","Can Tho","10.034929,105.787135","N"
"VIETINBANK CAN THO PKT","AVN160448","9 Phan Dinh Phung Q Ninh Kieu Can Tho","Can Tho","10.034137,105.787091","N"
"VIETINBANK KCN BIEN HOA PKT","AVN159899","Khu Pho 10 P An Binh Bien Hoa","Dong Nai","10.034137,105.787091","N"
"DNTN VBDQ TIEN LIEN CHKD VBDQ","AVN207684","38 Ngo Quyen P Tan An Ninh Kie","Can Tho","10.034421,105.787443","N"
"VIETINBANK CAN THO PGD NINH KIEU","AVN160459","59 Phan Dinh Phung Can Tho","Can Tho","10.032587,105.786907","N"
"SHB PHAN DINH PHUNG","AVN250538","42a Phan Dinh Phung Q  Ninh Kieu","Can Tho","10.031654,105.786613","N"
"MARITIME BANK CAN THO  CAN THO","AVN213700","So 40 Phan Dinh Phung Q  Ninh Kieu","Can Tho","10.031673,105.7867","N"
"SEABANK CAN THO","AVN291436","26 28 Duong Nguyen An Ninh","Can Tho","10.031002,105.786669","N"
"DNTN VBDQ TIEN LIEN","AVN203525","25 Ly Thuong Kiet P Tan An","Can Tho","10.034411,105.787757","N"
"BIDV TAY DO PGD NGUYEN AN NIN","AVN249428","60 62 Phan Dinh Phung P Tan An","Can Tho","10.030709,105.786581","N"
"CTY TNHH KDV MINH PHAT","AVN203206","24 Ngo Quyen P Tan An","Can Tho","10.033962,105.787904","N"
"DNTN TUYET NHAN","AVN206430","11 Ngo Quyen, Phuong Tan An","Can Tho","10.033804,105.787974","N"
"DNTN DV CAM DO KIM PHUOC","AVN190335","36 Phan Boi Chau P Tan An Q Ninh Kieu","Can Tho","10.031737,105.787384","N"
"KIEN LONG BANK CAI RANG","AVN117121","163 4a Ql 1 Le Binh Cai Rang","Can Tho","10.002078,105.750539","N"
"VIETINBANK CN CAN THO CAI RANG","AVN166851","278 Qlo 1a P Lebinh Q Cairang Tp Can Tho","Can Tho","10.000978,105.754864","N"
"VAB  CN CAN THO  PGD PHU AN","AVN216989","21 Vo Nguyen Giap","Can Tho","10.01358,105.780066","N"
"NHNO&PTNT CAN THO  PGD SO 1","AVN095999","17/12 Le Hong Phong, Quan Binh","Can Tho","10.095553,105.721384","N"
"DNTN TV PHUOC HIEN GX","AVN202997","Ap Thoi Giai, X.giai Xuan","Can Tho","10.028101,105.69096","N"
"DNTN TV QUANG KHIEM  DKD QUANG KHAI","AVN207628","Ap My Phuoc  X My Khanh","Can Tho","9.995378,105.717225","N"
"NHNO AND PTNT V LONG TAN LUOC  BINH TAN","AVN063374","Chi Nhanh Tan Luoc Binh Minh","Vinh Long","10.103425,105.751679","N"
"DNTN MINH HOANG BICH THUY","AVN194274","601 D.phan Van Nam,tt Cai Von,h.binhminh","Vinh Long","10.065454,105.805738","N"
"BIDV_PGD TRA NOC,CAN THO","AVN102446","Kcn Tra Noc, Tp. Can Tho","Can Tho","10.100662,105.715057","N"
"BIDV VINH LONG PGD CAI VON","AVN249220","5279 Khom 1 P Cai Von Tx Binh","Vinh Long","10.066562,105.808289","N"
"PVCOMBANK HUNG PHU","AVN246283","T1 1 Tay Nguyen Plaza Cai Rang","Can Tho","10.004785,105.798376","N"
"DNTN TV TAN PHUOC THUAT","AVN206375","81a Nguyen Chi Thanh, Kv6","Can Tho","10.080283,105.691409","N"
"LIEN VIET BANK  PGD TRA NOC","AVN109333","A1 To 7 Kv4 Le Hong Phong,tra","Can Tho","10.10038,105.70831","N"
"ACB PGD BINH MINH","AVN206748","78a Nguyen Van Thanh","Vinh Long","10.06814,105.811042","N"
"VIETINBANK TAY DO PKT","AVN160514","Lo 30a9 Kcn Tra Noc 1 P Binh Thuy","Can Tho","10.106674,105.708802","N"
"BUU CUC PHU THU","AVN143597","D1dg 56,khu586,phu Thu,cai Rang","Can Tho","9.993837,105.799677","N"
"KIEN LONG BANK_PGD BINH MINH","AVN119541","114 Ngo Quyen Khom 1 Tt Cai Von Tx Binh","Vinh Long","10.066784,105.821529","N"
"NHNO AND PTNT VINH LONG TT CAI VON BM","AVN070907","5 7 Ngo Quyen - Thi Tran Cai Von","Vinh Long","10.066257,105.821911","N"
"DNTN TV KIM MY 2","AVN206067","So 107 To 3 Khom 1 Phuong Cai Von","Vinh Long","10.067447,105.821829","N"
"DNTN TV KIM MY","AVN201105","946 To 17 Khom 1 Tt Cai Von","Vinh Long","10.067428,105.821845","N"
"TIEM VANG KIM TRAN DNTN","AVN208728","So 173 Duong Ngo Quyen To 4","Vinh Long","10.065445,105.822722","N"
"TV KIM LAN II  DNTN","AVN207387","849/17 Phan Van Nam To 17 Khom","Vinh Long","10.068154,105.82216","N"
"PVCOMBANK TRA NOC","AVN246315","31a Kcn Tra Noc Binh Thuy","Can Tho","10.111223,105.704249","N"
"DNTN VANG DQ DUC TIN","AVN204791","180 Ap Thi Tu, Thi Tran Phong","Can Tho","9.996766,105.668661","N"
"ACB PGD THOT NOT","AVN111631","469b Ql 91 Kv Phung Thanh 1","Can Tho","10.106464,105.668209","N"
"NHNO AND PTNT V LONG DONG BINH BINH MINH","AVN063406","Ap Dong Hau Dong Binh Binh Minh","Vinh Long","10.056571,105.846644","N"
"SHB PHONG DIEN","AVN250527","341 342 Thi Tu H Phong Dien","Can Tho","10.006319,105.652983","N"
"NHNO AND PTNT V LONG MY THUAN BINH MINH","AVN063385","To 6 Ap My Thanh B My Thuan Binh Minh","Vinh Long","10.110337,105.824435","N"
"QTDND TAN LUOC","AVN194571","587c To 13 Ap Tan Luoc","Vinh Long","10.142368,105.715185","N"
"SHB CAN THO","AVN250516","138 Duong 3 2 P Hung Loi Q Ninh Kieu","Can Tho","10.007264,105.65002","N"
"BIDV PGD CHAU THANH A CN HAU G","AVN103919","45 Ql1a Ap Phu Loi,tan Phu Tha","Hau Giang","9.942664,105.72928","N"
"DNTN TV LE DANG","AVN206474","001, Khu Vuc Tan Xuan, Phuong","Can Tho","10.091691,105.64525","N"
"DOANH NGHIEP TU NHAN PHONG VU","AVN195220","Ap Phu Nhon, Xa Dong Phu, Chau","Hau Giang","9.968525,105.834646","N"
"LIENVIET TAN PHU THANH CN HAU","AVN107045","418a Quoc Lo 1 Ap Tan Phu Cai","Hau Giang","9.930219,105.725101","N"
"NHNO N PTNT HAU GIANG NH LOAI 3 CAI TAC","AVN067192","G6 G7 Duong So 9 Khu Thuong Mai","Hau Giang","9.9237,105.738051","N"
"DNTN TV QUANG NUI","AVN207134","112 Quoc Lo 61, Thi Tran Cai T","Hau Giang","9.923758,105.725472","N"
"HAU GIANG PGD CAI TAC","AVN160460","48 Quoc Lo 61 Tt Cai Tac Hau Giang","Hau Giang","9.924029,105.723921","N"
"KIEN LONG BANK PHUNG HIEP","AVN200335","44 Duong 1 5 P 1 Tp Vi Thanh","Hau Giang","9.923381,105.725358","N"
"DNTN TV KHAI HOAN","AVN204670","105 Quoc Lo 61 Ap Tan Phu A","Hau Giang","9.923237,105.722343","N"
"ACB PGD CHAU THANH A","AVN204427","633a Quoc Lo 1a, Ap Tan Phu A","Hau Giang","9.919248,105.730204","N"
"BIDV HAU GIANG PGD NGA SAU","AVN362574","So 45, Duong Hung Vuong, Ap Th","Hau Giang","9.923736,105.800672","N"
"DNTN TV HOANG HIEN VAN","AVN207750","Ap Thoi Trung X Truong Thanh","Can Tho","10.023068,105.613598","N"
