"name","orig_id","streetAddress","state","location","platinum"
"LOJA WU MORUMBI","ARE632437","Av Alberto Augusto Alves N 50","Sao Paulo","-23.641624,-46.734634","Y"
"DAYCAMBIO MAIS SHOPPING","ARE690527","Rua Amador Bueno","Sao Paulo","-23.652622,-46.710648","N"
"SIENA CAMBIO E TURISMO","ARE629413","Av Giovanni Gronchi 5930","Sao Paulo","-23.632051,-46.738627","N"
"LOJAO DO BRAS SANTO AMARO","ARE655625","Largo Treze De Maio, 398","Sao Paulo","-23.653857,-46.706017","N"
"LOJA WU INTERLAGOS","ARE632460","Av. Interlagos ,n 2255","Sao Paulo","-23.676147,-46.679208","Y"
"VOLPAGO CAMBIO E TURISMO LTDA","ARE653931","Avenida Washington Luis 1415","Sao Paulo","-23.655388,-46.69283","N"
"DAYCAMBIO SHOPPING INTERLAGOS","ARE690462","Av  Interlagos","Sao Paulo","-23.676476,-46.676608","N"
"DAYCAMBIO SHOPPING MARKET PLAC","ARE690451","Avenida Chucri Zaidan","Sao Paulo","-23.621817,-46.699235","N"
"PAY SERVICES","ARE690978","R  Barao Do Triunfo 464   3  Andar","Sao Paulo","-23.624037,-46.683065","N"
"LOJA WU ITAIM BIBI","ARE630183","Rua Clodomiro Amazonas 1023","Sao Paulo","-23.592211,-46.67676","Y"
"DAYCAMBIO SHOPPING VILA OLIMPIA","ARE690561","R  Olimpiadas","Sao Paulo","-23.595777,-46.686497","N"
"PM LJ SP ROTANA H AND M","ARE658497","Avenida Moaci 155","Sao Paulo","-23.609641,-46.668064","N"
"MOEMA CAMBIO","ARE690901","Av  Pavao 678   Moema","Sao Paulo","-23.605731,-46.66939","N"
"FEDERAL CAMBIO","ARE658080","Rodovia Raposo Tavares S N Bloco A","SP","-23.590065,-46.824191","N"
"LOJA WU OSASCO","ARE632372","Av Autonomistas N 1542 Luc L20","Sao Paulo","-23.538667,-46.768403","Y"
"TREVISO MATRIZ","ARE600845","Dr.eduardo De Souza Aranha, 38","Sao Paulo","-23.589098,-46.677774","N"
"LOJA WU PAULISTA","ARE632316","Avenida Paulista 2001","Sao Paulo","-23.559364,-46.659226","Y"
