"name","orig_id","streetAddress","state","location","platinum"
"EFECTY CARRERA 3","ACB278604","Cr 3 Cl 5 Y 6","Magdalena","10.699951,-74.716327","N"
"EFECTY CENTRO","ACB115716","Cr 14 # 7-20","Magdalena","10.46559,-74.618664","N"
"EFECTY MERCADO CRA.11","ACB119183","Cl 10 # 9-38","Magdalena","10.4634,-74.621781","N"
"EFECTY FRENTE A LA CENTRAL DE POLICIA","ACB120842","Cr 17 # 17-31","Atlantico","10.639752,-74.752419","N"
"EFECTY DIMONEX PALMAR CALLE 5.","ACB304565","Cl 5 5-71","Atlantico","10.743354,-74.750512","N"
"EFECTY MITA CARRETERA ORIENTAL","ACB123043","Cl 11 # 4 A-196","Atlantico","10.743078,-74.755422","N"
"EFECTY SANTO TOMAS CLL 8","ACB126189","Cl 8 # 11-104","Atlantico","10.760148,-74.755734","N"
"EFECTY SANTO TOMAS CARRERA 11","ACB122251","Cl 13 # 9 A-80 Lc 1","Atlantico","10.77659,-74.760477","N"
"EFECTY CRA 7 CON LA 10 SABANAGRANDE","ACB324123","Cr 7 10-48","Atlantico","10.789177,-74.757401","N"
"EFECTY EXPRESS BRR SAN FRANCISCO CR 16","ACB305489","Cr 16 # 7 75","Atlantico","10.794084,-74.753945","N"
"EFECTY RUMBAHABANA SABANAGRANDE","ACB324970","Cl 11 # 10-29","Atlantico","10.790631,-74.757863","N"
"EFECTY SABANAGRANDE KRA 7","ACB151400","Cr 7 # 16-95","Atlantico","10.789518,-74.763108","N"
"EFECTY","ACB351787","Calle 8 Cra 4  7   34","Magdalena","10.61252,-74.26608","N"
"EFECTY","ACB322846","Calle 7  4 20","Atlantico","10.62676,-74.829191","N"
"EFECTY CENTRO CALLE 5.","ACB190757","Cl 5 # 6 37","Magdalena","10.488252,-74.795565","N"
"EFECTY LA LUNA MALAMBO","ACB278495","Cl 4 A5 # 5 Sur 03","Atlantico","10.842919,-74.772341","N"
"EFECTY BARRIO EL TESORO MALAMBO","ACB278505","Cr 1d Cl 4 A # 03-11","Atlantico","10.848984,-74.772047","N"
"EFECTY BELLAVISTA CR1D CON LA 10 MALAMBO","ACB325003","Cr 1d #10-03","Atlantico","10.851301,-74.778076","N"
"EFECTY BARRIO EL PRADITO","ACB118016","Cr 7a # 10b-06","Atlantico","10.85715,-74.775264","N"
"EFECTY CORREGIMIENTO DE CARACOLI","ACB308767","Cl 10 # 10 -85","Atlantico","10.859356,-74.774222","N"
"EFECTY CENTRO","ACB114924","Cl 10 # 13 69 Lc 2","Atlantico","10.86098,-74.773837","N"
"MULTIPAGAS","ACB197710","Cra 17 9-35","Atlantico","10.86246,-74.773287","N"
"EFECTY BARRIO LA ESPERANZA","ACB306589","Cr 1c Sur # 11h-58","Atlantico","10.849743,-74.786216","N"
"EFECTY ENTRADA BARRIO EL CONCORDE","ACB174247","Cr 27 # 10 26a","Atlantico","10.86978,-74.771882","N"
"EFECTY CONCORDE","ACB169506","Cl 22 # 28a 06","Atlantico","10.872093,-74.778475","N"
"EFECTY EL CONCORD CARRERA 28","ACB119392","Cl 25c # 28-06","Atlantico","10.872665,-74.781527","N"
"EFECTY DIMONEX POLONUEVO CL 3 CON LA 4","ACB276680","Cl 3 N. 4-56","Atlantico","10.774539,-74.857145","N"
"EFECTY POLONUEVO CENTRO","ACB123207","Cl 3 # 9 34","Atlantico","10.777368,-74.856303","N"
"EFECTY CENTRO COMERCIAL CARNAVAL","ACB300462","Cl 30 7-627 Local 1038","Atlantico","10.904532,-74.769655","N"
"AYV PF CARNAVAL","ACB066876","Av 30 Via Granabastos","Atlantico","10.906364,-74.77042","N"
"EFECTY CACOM 3","ACB278516","Av 30 # 12-1000 Base Aerea Cacom 3","Atlantico","10.880113,-74.801331","N"
