"name","orig_id","streetAddress","state","location","platinum"
"ACTIVA AG CC AEROPUERTO UIO","AEX018018","Av La Prensa Y Homero Salas Aeropuerto","Pichincha","-0.14547,-78.492189","Y"
"RELIMPIEX","AEX185932","Manuel Serrano Y Av Florida","Pichincha","-0.143303,-78.494694","N"
"ACCESORIOS DE CELULARES EMILLY","AEX192170","Av. La Florida Oe4-21 Y Rafael","Pichincha","-0.142785,-78.49348","N"
"CIS PAGO AGIL LUCIA ROBALINO","AEX212081","Ignacio Asin N51 114 Y Antonio Roman","Pichincha","-0.145063,-78.500687","N"
"TU SE AV LA PRENSA CS 57 UIO","AEX180421","Av La Prensa S N","Pichincha","-0.137262,-78.493283","N"
"SRNP BCO PACIFICO PANAMERICANA","AEX055000","Av De La Prensa N 55 296","Pichincha","-0.135679,-78.494069","N"
"SRNP MARTINIZING LAVAN ECUA P INGLES","AEX188090","Av Jose Fernandez","Pichincha","-0.13374,-78.498304","N"
"GOLPECK 4","AEX069201","Luis Robalino Sn Y Antonio Vil","Pichincha","-0.13366,-78.49778","N"
"SRNP TIA 218 TIA PARQUE INGLES UIO","AEX131395","Avenida Jose Fernandez Davila","Pichincha","-0.133695,-78.498469","N"
"MOLINA FLORES MARTHA NOEMI","AEX088099","La Concepcion Juan Jota Paz Mino","Pichincha","-0.148511,-78.492121","N"
"CIS ANDRADE LA CONCEPCION","AEX211091","Juan Jota Pazmino N49 131","Pichincha","-0.148451,-78.492012","N"
"SERVICIOS SILVA","AEX066583","Juan Paz Y Mino Oe311 Y Av De La Prensa","Pichincha","-0.148338,-78.490753","N"
"CIS PAGO AGIL KAREN VILANA","AEX212465","Machala 57 242 Y Vivente Anda Aguirre","Pichincha","-0.131277,-78.497831","N"
"SRNP DIF PHARMACYS PP050 BRASI","AEX184612","Av Brasil N47 250 Y Santiago Duarte","Quito","-0.152561,-78.492372","N"
"SRNP PAPELERIA MANA 2 UIO","AEX059905","Real Audiencia","Pichincha","-0.128964,-78.487175","Y"
"ACTIVA MAGDA LA LUZ UIO","AEX051370","Republica Y Almagro","Pichincha","-0.150264,-78.482756","Y"
"SRNP SUBLIMATODO TECHNOLOGY UO","AEX180894","Pedro De Alvarado","Pichincha","-0.127769,-78.501827","N"
"WAESFRA","AEX194556","Av Galo Plaza Lasso Y Abelardo","Pichincha","-0.146926,-78.483673","N"
"CIS EQUATOR HIGHLANDS","AEX089957","Jose Maria Borrero Oe 1 22","Pichincha","-0.133165,-78.484458","N"
"SRNP TRAMACOEXPRESS LA PRENSA UIO","AEX188463","Sector El Rosario Av La Prensa","Pichincha","-0.12657,-78.49374","N"
"CELL CLINIC","AEX185943","Cotocollao Barrio Aeropuerto","Pichincha","-0.129114,-78.487255","N"
"SRNP FE FARM ECONOMICAS BUSTAMANTE UIO","AEX174514","Rafael Bustamante E395 Y","Pichincha","-0.144306,-78.481528","N"
"ACTIVA AG PLAZA ALEGRIA UIO","AEX057035","Av La Prensa","Pichincha","-0.121643,-78.494105","Y"
"ACTIVA AG CC EL BOSQUE UIO","AEX053350","Centro Comercial El Bosque","Pichincha","-0.16144,-78.498814","Y"
"DELEMA WU 1","AEX069366","Oe3 Real Audiencia N59 46 Y Tufino","Pichincha","-0.128093,-78.487427","N"
"M Y J SOLUCIONES","AEX191476","Real Audiencia N 59 46 Y Luis Tufino","Pichincha","-0.128062,-78.48725","N"
"SRNP MARTINIZING LAVAN ECUA LABRADOR","AEX188111","Av Galo Plaza Lazo","Pichincha","-0.151652,-78.48395","N"
"SRNP TIA 473 LA LUZ","AEX132396","Capitan Ramos E210 Y Diez De Agosto","Pichincha","-0.150256,-78.482775","N"
"CANDO DOICELA BLANCA YOLANDA","AEX086790","Av Los Pinos E6 19","Pichincha","-0.138011,-78.479878","N"
"COMERCIAL B Y K","AEX078209","Pedro De Alvarado N Y Flavio Alfaro","Pichincha","-0.123721,-78.502451","N"
"LA DELICIA CARNICERIA","AEX192729","Av La Prensa N45113 Y Jose Su","Pichincha","-0.157555,-78.488413","N"
"MULTISERVICIOS FLORES Y BAUTISTA","AEX193038","Av. Del Maestro Oe4-263 Y Rio","Pichincha","-0.123079,-78.492443","N"
"AGENCIA EL INCA","AEX070245","Av 6 De Diciembre N 46 223","Pichincha","-0.155082,-78.477048","Y"
"CIS PAGO AGIL COAC CHIBULEO SA","AEX210650","Rafael Ramos E4 139 Y Jacinto Jijon","Pichincha","-0.148923,-78.479075","N"
"AMERICAN","AEX193292","Cap Rafael Ramos Y Jijon Y Caa","Pichincha","-0.148627,-78.478935","N"
"M&M FARMACEUTICA 1","AEX191355","Gonzalo Zaldumbide N49224","Pichincha","-0.14484,-78.477548","N"
"CIS INVERSIONES MF","AEX210957","Av La Prensa N 62 49","Pichincha","-0.121589,-78.494185","N"
"SRNP MARTINIZING LAVAN ECUA EL BOSQUE","AEX188034","Av Mariscal Sucre","Pichincha","-0.161542,-78.49837","N"
"ACTIVA TIA 6 DE DICIEMBRE UIO","AEX055594","Av 6 De Diciembre Y El Inca","Pichincha","-0.156739,-78.476946","Y"
"DAVID ROBERTO LOPEZ TAMAYO","AEX186801","Sector Kennedy Calle Gonzalo Z","Pichincha","-0.147011,-78.477488","N"
"SAG ZAMBRANO CABRERA RAUL FRAN","AEX089232","Real Audiencia N60 201","Pichincha","-0.123835,-78.486118","N"
"SRNP DIF PHARMACYS PP052 EL BO","AEX185712","Centro Comercial El Bosque Paseo","Quito","-0.162081,-78.497338","N"
"SRNP BCO PACIFICO EL BOSQUE UIO","AEX054900","C C El Bosque Entrada 4","Pichincha","-0.162129,-78.497806","N"
"ACTIVA TIA COTOCOLLAO UIO","AEX014366","Calle Lizardo Ruiz Of-4907 E Alfareros Y","Pichincha","-0.114575,-78.495398","Y"
"ACTIVA SANTA MARIA LA OFELIA UIO","AEX052360","Av Diego De Vasquez Y Bellavista","Pichincha","-0.115217,-78.49042","Y"
"SRNP VANESSA LLUMIPANTA UIO","AEX181938","Av. Diego De Vasquez N63-117","Pichincha","-0.119567,-78.492734","N"
"CIS FIA COAC CATAR COTOCOLLAO","AEX210771","Av Diego De Vasquez N63 140","Pichincha","-0.119319,-78.492245","N"
"CIS PAGO AGIL COAC COTOCOLLAO MATRIZ","AEX210968","Rumiurco Oe4 624 Y 25 De Mayo","Pichincha","-0.118628,-78.494918","N"
"ANI REPUESTOS","AEX194699","Av 6 De Diciembre N52 121 Y Ramon Borja","Pichincha","-0.14076,-78.474228","N"
"COOP AHORRO 9 DE OCTUBRE QUITO","AEX087241","Av De La Prensa Y Manta","Pichincha","-0.118639,-78.493694","N"
"ZAPATA AULIA GLADYS DEL PILAR","AEX084501","Flavio Alfaro Oe17-237 Y","Pichincha","-0.123944,-78.512157","N"
"RECAUDACIONES KENNEDY","AEX193852","Barrio Kennedy, Av. 6 De Dicie","Pichincha","-0.139965,-78.474103","N"
"DELLYS HOUSE","AEX194402","De Los Alamos E8135 Y Av 6 De","Pichincha","-0.144752,-78.474186","N"
"SRNP MULTISERVICIOS UIO","AEX178541","Almeria N51 109 Y Avenida G","Pichincha","-0.142582,-78.473879","N"
"SRNP FE MEDICITY LA Y UIO","AEX171719","Av De La Prensa 42226","Pichincha","-0.162658,-78.486797","N"
"CIS SERVICE SPEED CENTER","AEX210254","Bernardo De Legarda Con 1","Pichincha","-0.119849,-78.507735","N"
"LEON TONATO MARTHA CECILIA","AEX088516","Cotocollao Bernardo De Legarda","Pichincha","-0.119567,-78.50742","N"
"ACTIVA CAB COMITE PUEBLO UIO","AEX133771","Juan Molineros E12 Y Floripond","Pichincha","-0.12852,-78.469728","Y"
"LICORERA LA CLINICA","AEX069519","Bernardo De Legarda Oe8 18 Y Rio Ambi","Pichincha","-0.118247,-78.504714","N"
"SRNP BCO PACIFICO EL INCA UIO","AEX054966","Av El Inca E8 178 Y Las Brevas","Pichincha","-0.154656,-78.476162","N"
"CERO AGUA","AEX078166","Rio Coca Y Avenida Amazonas","Pichincha","-0.162008,-78.482996","N"
"PUNTO PAGO SEGURO","AEX192224","Libertador N.oe5 162","Pichincha","-0.116262,-78.497353","N"
"COMISARIATO J&G","AEX192785","Av. De La Prensa N64-48 Y Bell","Pichincha","-0.115747,-78.494258","N"
"PAPELERIA AMERICA","AEX080299","Prensa Y Av Libertador","Pichincha","-0.115694,-78.494502","N"
