"name","orig_id","streetAddress","state","location"
"NORTH INDUSTRIAL AREA DIZENGOF","AI1170275","Opp Acp Near Dizengoff Circle","Greater Accra","5.603717,-0.186964"
"FAB KANTAMANTO","AI1280044","Tarzan House No D6 4 Mamlesh","Greater Accra","5.603717,-0.186964"
"OPP INTL  BEKWAI BRANCH","AI1041948","P.o.box Jt 323,accra","Ashanti","5.603717,-0.186964"
"FAB SPINTEX BRANCH","AI1280208","Plot No 30  Commercial Building","Greater Accra","5.603717,-0.186964"
"OISL WENCHI BRANCH","AI1044282","Box Jt 323, Accra","Greater Accra","5.603717,-0.186964"
"OISL  MADINA","AI1040606","C/o P. O. Box Jt 323 Accra","Greater Accra","5.603717,-0.186964"
"OPPORTUNITY INTL OBUASI BRANCH","AI1042202","Box Jt 323,accra","Ashanti","5.603717,-0.186964"
"HFC BANK ADABRAKA BRANCH","AI1210063","C89 2 Bonsu Brothers Building","Greater Accra","5.603717,-0.186964"
"OISL GOASO BRANCH","AI1042170","Box Jt323,accra","Ashanti","5.603717,-0.186964"
"FIDELITY BANK  HAATSO BRANCH","AI1120258","Parcel # Lvb 7403/04","Greater Accra","5.603717,-0.186964"
"OISL ABEKA LAPAZ BRANCH","AI1044293","Box Jt 323, Accra","Greater Accra","5.603717,-0.186964"
"OMNIBSIC BANK","AI1300032","59a Spintex Road Opposite Metalex","Greater Accra","5.603717,-0.186964"
"SINAPI ABA TRUST ABEKA","AI1040981","No B 213 27 Akro Gate Properties","Greater Accra","5.603717,-0.186964"
"ZENITH BANK NORTH INDUSTRIAL AREA BRANCH","AI1160122","32 Kakatsofa Street","Greater Accra","5.603717,-0.186964"
"DIRECT SAVINGS AND LOANS","AI1049287","1st Floor  Menaba House","Greater Accra","5.603717,-0.186964"
"LA COMMUNITY BANK LTD LA BRANCH","AI1080097","P O Box A499","Greater Accra","5.603717,-0.186964"
"FIRST ATLANTIC BANK LIMITED","AI1280011","Po Box Ct 1620","Greater Accra","5.603717,-0.186964"
"OISL KINTAMPO BRANCH","AI1042059","P.o.box Jt323,accra","Brong Ahafo","5.603717,-0.186964"
"PACIFIC SAVINGS AND LOANS ABOS","AI1110622","Jesus Connection St Near Fan M","Greater Accra","5.603717,-0.186964"
"ACHIMOTA BRANCH","AI1160254","C 26/30","Greater Accra","5.603717,-0.186964"
"GHANA POST COMPANY","AI1005418","Valley View University Campus","Greater Accra","5.603717,-0.186964"
"GUARANTY TRUST BANK","AI1100041","Town Centre","Greater Accra","5.603717,-0.186964"
"OPPORTUNITY INTL BOGOSO BRANCH","AI1042192","P.o.box Jt323,accra","Western","5.603717,-0.186964"
"ARB APEX BANK LTD ACCRA","AI1080031","P O Box Gp 20321 Accra","Greater Accra","5.603717,-0.186964"
"PAN AFRICAN S&L HEAD OFFICE","AI1040903","No. 4 Nortei Ababio Street","Greater Accra","5.606908,-0.188395"
"ZENITH BANK PATRICE LUMUMBA BRANCH","AI1160034","Plot No  A 229 Patrice Lumumba Road","Greater Accra","5.599499,-0.187814"
"FAB DZORWULU BRANCH","AI1280693","Hse No  C30 4","Greater Accra","5.60983,-0.183448"
"GUARANTY TRUST BANK","AI1100030","House 49 Patrice Lumumba Road","Greater Accra","5.609709,-0.182926"
"FAB AIRPORT BRANCH","AI1280242","Hse No. 47 Patrice Lumumba Road","Greater Accra","5.61004,-0.18206"
"ECOBANK ROMAN RIDGE BRANCH","AI1045535","Roman Ridge Accra","Greater Accra","5.602401,-0.195165"
"MERCHANT BANK","AI1150266","Ssnit Emporium Property","Greater Accra","5.603733,-0.17779"
"MERCHANT BANK","AI1150255","Ssnit Emporium Property","Greater Accra","5.603733,-0.17779"
"SBG ABEKA LAPAZ","AI1400329","Adjacent Apugu Tower","Greater Accra","5.602795,-0.177733"
"SBG STANBIC HEIGHTS","AI1400275","Stanbic Height","Greater Accra","5.599585,-0.178577"
"NIB TAKORADI","AI1070108","On Liberation Road","Western","5.605506,-0.177759"
"SBG AIRPORT CITY","AI1400055","Silver Star Tower Building","Greater Accra","5.600068,-0.178325"
"ECOBANK SILVER STAR TOWER","AI1040431","Silver Star Tower Branch Airpo","Greater Accra","5.599912,-0.178049"
"FIRST ATLANTIC BANK","AI1281078","Opposite Unilever Depot/ak Obe","Greater Accra","5.602829,-0.176194"
"CAL BANK","AI1010281","Nca Building","Greater Accra","5.601023,-0.176382"
