"name","orig_id","streetAddress","state","location","platinum"
"EKT 9381 FCO  DE MONTEJO MERIDA","AME106333","C  7 Mz  19 Secc  25   337","Yucatan","21.020305,-89.646179","Y"
"FUNDACION DONDE MERIDA 6 ID193","AME530327","Calle 21 No 102 A","Yucatan","21.0118,-89.632442","N"
"OXXO SAN LUIS MID","AME410735","21 Diag 330 Frac 1","Yucatan","21.012336,-89.642095","N"
"SUPER WILLYS 238 AP CASH","AME282134","Calle 20 No 90 A","Yucatan","21.014477,-89.631856","N"
"SUPER WILLYS 148 AP CASH","AME281375","Calle 22 No 52 Y 54","Yucatan","21.018374,-89.63354","N"
"OXXO CHUBURNA INN MID","AME411990","22 B 99","Yucatan","21.020318,-89.63512","N"
"FARM GUAD LOS PINOS YUC","AR5091954","Calle 40 No  446 Los Pinos","Yucatan","21.004314,-89.637386","N"
"OXXO CHUBURNA MID","AME411594","20a 135a","Yucatan","21.006169,-89.630812","N"
"OXXO FCO DE MONTEJO MID","AME409933","32 301","Yucatan","21.021446,-89.643049","N"
"FARM AHORRO ZACATEPEC ZACATEPEC","AR5026264","Emiliano Zapata Esq Escuadron 201 Sn","Morelos","21.002417,-89.639687","N"
"OXXO TANLUM MID","AME411484","43 440","Yucatan","21.002325,-89.639384","N"
"BANCO AZTECA ATM NCR O19381","AR5195102","Calle 7 Mz 19","Yucatan","21.020305,-89.646179","N"
"OXXO DEL PILAR MID","AME411714","28 202 Frac 1","Yucatan","21.006919,-89.647514","N"
"SUPER WILLYS 2 AP CASH","AME189954","Calle 11 No 522","Yucatan","21.017094,-89.625309","N"
"OXXO JUAN B SOSA MID","AME410119","20 219","Yucatan","21.023002,-89.630716","N"
"OXXO TECNOLOGICO MID","AME410955","19a 19","Yucatan","21.0123,-89.624208","N"
"SUPER AKI 102 CHENKU AP CASH","AME705042","Calle 21 229","Yucatan","21.00713,-89.64812","N"
"OXXO CONTADURIA MID","AME409724","20diagonal 300","Yucatan","21.003292,-89.629293","N"
"TELECOMM 31031","AMX543880","Calle 55b 182 A","Yucatan","21.024139,-89.642167","N"
"WALMART MERIDA PENSIONES","AME572127","Calle 21 Numero 371 A","Yucatan","20.999975,-89.634221","N"
"SORIANA   GRAN PLAZA MERIDA 912","AME497745","50 Diagonal 460","Yucatan","21.015073,-89.622222","N"
"FARM AHORRO XALAPA FERROCARRILERA","AR5031103","Avenida Lazaro Cardenas 790","Veracruz","21.01774,-89.651082","N"
"FARM GUAD FLORES MAGON GTO","AR5092438","Avenida Esperanza 790 Flores Magon Sur","Guanajuato","21.007297,-89.62292","N"
"FARM GUAD MONUMENTAL","AR5092791","Calle Belisario Dominguez 1699","Jalisco","21.018487,-89.650937","N"
"WALMART MERIDA CAMPESTRE","AME576912","Calle 60  Carretera Merida Progreso","Yucatan","21.00946,-89.62199","N"
"OXXO BUGAMBILIAS MID","AME410207","42 438 A B C","Yucatan","21.026983,-89.642231","N"
"FARM GUAD FRANCISCO MONTEJO","AR5092779","Calle 42 No 321","Yucatan","21.027115,-89.642432","N"
"OXXO FEDERAL 5 MID","AME410768","3a 321","Yucatan","20.999474,-89.644516","N"
"TELECOMM 31043","AR5000589","Calle 5 N 265 267 269 Entre 34a Y 36","Yucatan","20.998399,-89.6418","N"
"OXXO CHENKU MID","AME409670","28 284","Yucatan","21.002698,-89.649022","N"
"OXXO LINDA VISTA MID","AME410614","40 117 Y 119","Yucatan","21.011494,-89.653255","N"
"OXXO FLAMBOYAN MID","AME410021","50 Depto 1 480","Yucatan","21.023379,-89.64956","N"
"OXXO 60 TEC MID","AME410944","21a 309","Yucatan","21.00426,-89.622299","N"
"OXXO PEDREGALES MID","AME411428","16 49 Fracc 1","Yucatan","20.999534,-89.626853","N"
"BANORTE MERIDA LA TORRE","AMX725303","Calle 54 No 369 Loc 1","Yucatan","21.019532,-89.620127","N"
"OXXO SANTA CECILIA MID","AME409427","19 364","Yucatan","21.013456,-89.655406","N"
"OXXO TERRANOVA MID","AME411495","21 489","Yucatan","21.019991,-89.653779","N"
"BANORTE MERIDA FRANCISCO DE MONTEJO","AMX725282","Calle 51   202","Yucatan","21.02981,-89.640945","N"
"OXXO BENITO JUAREZ MID","AME411660","54 341","Yucatan","21.021516,-89.620809","N"
"SUPER AKI 73 FRANCISCO AP CASH","AME705031","Calle 50 396","Yucatan","21.02697,-89.64784","N"
"FARM GUAD XCUMPICH","AR5091943","Calle 7 No  321 Loma Bonita","Yucatan","21.030532,-89.637386","N"
"OXXO FCO DE MONT II MID","AME409922","50 371","Yucatan","21.027245,-89.648278","N"
"OXXO XCUMPICH MID","AME411934","20 C 301c","Yucatan","21.030541,-89.633697","N"
"OXXO ISSSTE MID","AME410780","7 224","Yucatan","20.994997,-89.640092","N"
"OXXO GONZALO GUERRERO MID","AME409757","33 46 A","Yucatan","21.026484,-89.624081","N"
"OXXO SAN JUANISTAS MID","AME411439","3 270 Depto1 Bis","Yucatan","21.011109,-89.617578","N"
"FARM GUAD CAMPESTRE YUCATAN","AR5091932","Calle 38 Avenida Campestre 269 Campestre","Yucatan","21.011365,-89.617552","N"
"CHEDRAUI MERIDA V 253","AME452096","60 No 7540","Yucatan","21.029953,-89.630084","N"
"AURRERA CHUBURNA","AME572710","Calle 20 30","Yucatan","20.997911,-89.625635","N"
"OXXO PANUCHO MID","AME411253","42 2991","Yucatan","21.030515,-89.64217","N"
"OXXO CHENKU II MID","AME409669","21 Diagonal 290 Y 292","Yucatan","21.003277,-89.653824","N"
"OXXO IMSS LA CEIBA MID","AME962199","7298 A Y 298 D","Yucatan","20.995467,-89.645079","N"
"OXXO MAGICO MID","AME411956","30 160a Dep 1","Yucatan","20.993532,-89.636345","N"
"SORIANA   LOS BALCONES 925","AME497756","Calle 60 275 Y 279 B","Yucatan","20.997875,-89.622778","N"
"OXXO CUPULES MID","AME409692","Cupules 115 Loc 1","Yucatan","20.994285,-89.628911","N"
"OXXO MESTIZA MID","AME411538","51 301 Y 303","Yucatan","21.031958,-89.646874","N"
"OXXO GAS MONTEJO MDA","AME825997","66 586 Frac 1","Yucatan","21.032106,-89.646894","N"
"SORIANA BUENA VISTA 432","AME493817","Calle 60 Por Circuito No 30","Yucatan","20.997365,-89.62098","N"
"OXXO PROLONGACION MONTEJO MID","AME995506","34379 Y 377 Loc 1","Yucatan","21.0092,-89.6141","N"
"WALMART EXPRESS MONTEJO","AME569905","Calle 30 Numero 500","Yucatan","21.013843,-89.613613","N"
"OXXO G 18 MID","AME409780","18 191","Yucatan","20.991202,-89.631329","N"
"AURRERA MERIDA MONTEJO","AME562315","Calle 7 Numero 359","Yucatan","21.035221,-89.635756","N"
"WALDOS MERIDA PASEO MONTEJO YUC 6191","AME890818","Calle 30 101 Esq Calle 21","Yucatan","21.003203,-89.615272","N"
"OXXO PENSIONES MID","AME411219","5 E Dep 17","Yucatan","20.998506,-89.655926","N"
"SUPER AKI 2 MONTEJO AP CASH","AME705064","Calle 30 104","Yucatan","21.00264,-89.61491","N"
"FUNDACION DONDE MERIDA 4 ID134","AME530305","Calle 211 No 327","Yucatan","20.992936,-89.649439","N"
"BANORTE MERIDA DONDE","AMX725271","Calle 32   200 A Locales 4 Y 5","Yucatan","20.9898,-89.6384","N"
"OXXO LA PAZ MID","AME411792","30 112","Yucatan","21.001463,-89.615271","N"
"TELECOMM 31035","AMX549314","Calle 59 298","Yucatan","21.034389,-89.627306","N"
"OXXO FCOMONTEJO III MID","AME410043","50 223","Yucatan","21.035109,-89.645001","N"
"OXXO MONTES DE AME MID","AME411417","79 162","Yucatan","21.02883,-89.618282","N"
"CHEDRAUI MERIDA III 043","AME452052","21 327 329 331 Entre 50 Y 52","Yucatan","20.992575,-89.650161","N"
"DAZ 2787 MERIDA PLAZA DORADA","AME106300","Calle 50 Por 51 Y 19  143","Yucatan","20.993295,-89.651562","N"
"OXXO JUAREZ NORTE MID","AME826042","39 160","Yucatan","21.024617,-89.614572","N"
