"name","orig_id","streetAddress","state","location","platinum"
"UNITYBANK PLC","ADH132089","Marian Road","Cross River","5.00371,8.345647","N"
"UNION BANK OF NIGERIA","ADH244113","20 Ndidem Iso Road Calabar, Cr","Cross River","5.001276,8.345629","N"
"FIRST BANK 8TH MILE BRANCH","ADH007482","Calabar 8th Mile Murtala","Rivers","5.002989,8.334761","N"
"FIRST BANK OF NIGERIA PLC","ADH004940","Ndidem Iso Road Branch","Cross River","4.986632,8.343517","N"
"FBN PLC","ADH009242","Off Murtala Muhammed Highway","Cross River","4.996571,8.33357","N"
"UBN PLC AKAMKPA","ADH240472","Calabar   Ikom Highway","Cross River","5.023024,8.333505","N"
"FBN PLC","ADH006261","6 Ikom Calabar Highway","Cross River","5.023024,8.333505","N"
"ECOBANK NIGERIA PLC","ADH054121","22 Murtala Mohammed Highway","Cross River","4.98981,8.333516","N"
"ECOBANK NIGERIA PLC","ADH054824","43 Murtala Mohammed","Lagos","4.989819,8.333496","N"
"ZENITH BANK LTD CALABAR BRANCH","ADH080508","1 Clement Ebiri Drive","Cross River","4.985055,8.334196","N"
"FIDELITY BANK","ADH202005","Plot 293r Block T","Cross River","4.975717,8.341701","N"
"ZENITH BANK PLC CHMLEY CALABAR","ADH083161","34 Chamley Road Calabar","Cross River","4.975717,8.341701","N"
"WEMA BANK","ADH110144","Calabar","Akwa Ibom","4.975717,8.341701","N"
"GUARANTY TRUST BANK PLC","ADH090145","Crosstrade Building Former Leventis","Cross River","4.975717,8.341701","N"
"UBA 15 CALABAR ROAD CALABAR C R S","ADH180181","Calabar","Cross River","4.975717,8.341701","N"
"UBA 12 CALABAR ROAD CALABAR C R S","ADH180806","Calabar","Cross River","4.975717,8.341701","N"
"GUARANTY TRUST BANK PLC","ADH090222","7 10 Murtala Mohammed Square","Kaduna","4.972162,8.32952","N"
"KEYSTONE BANK CALABAR","ADH192236","16 Murtalla Muhammed Highway","Cross River","4.971985,8.32973","N"
"FIDELITY BANK PLC CALABAR 1","ADH200212","1 Esong Esu Street Off Mm Way","Cross River","4.972418,8.328345","N"
"ECOBANK NIGERIA PLC","ADH055902","107 Ibb Way","Kogi","4.962244,8.348363","N"
"GTBANK CALABAR 2","ADH092664","65 Marian Road Calabar Municipality","Cross River","4.95996,8.33438","N"
"FIDELITY BANK","ADH201949","5 Calabar Road","Cross River","4.963272,8.324521","N"
"FIRST CITY MONUMENT BANK IKOM","ADH150601","7 Calabar Road Ikom","Cross River","4.963272,8.324521","N"
"UBN PLC TINAPA","ADH242430","Tinapa Business Resort","Cross River","5.048076,8.316193","N"
"FIRST CITY MONUMENT BANK PLC","ADH150436","14 Calabar Road","Cross River","4.962553,8.324027","N"
"UBA 14 CALABAR ROAD CALABAR C R S","ADH181302","Calabar","Cross River","4.96253,8.324045","N"
"ACCESS BANK PLC","ADH161843","10 Calabar Road","Cross River","4.962585,8.323879","N"
"ZENITH BANK MARY SLESSOR RD B","ADH082939","14 Mary Slessor Avenue","Cross River","4.954581,8.335375","N"
"ACCESS BANK","ADH167300","7 Mary Slessor Street","Cross River","4.959393,8.326293","N"
"HERITAGE BANK ENTREPRISE","ADH230945","2 Mary Slessor Avenue","Cross River","4.959372,8.326268","N"
"ECOBANK NIGERIA","ADH051722","Calabar Branch","Cross River","4.954431,8.335409","N"
"FIRST BANK OF NIGERIA PLC","ADH000166","Calabar Main","Cross River","4.958325,8.321347","N"
"POLARIS BANK LTD","ADH143111","4 Nelson Road","Cross River","4.956233,8.322536","N"
"FIRST BANK OF NIGERIA PLC","ADH000056","1 Mayne Avenue","Abia","4.949794,8.331346","N"
"ECOBANK NIGERIA PLC","ADH057454","Plot 182 Eta Agbor Road","Cross River","4.950005,8.325011","N"
"POLARIS BANK LTD","ADH141537","41 Murtala Muhammed Way","Cross River","4.949999,8.325003","N"
"ACCESS BANK","ADH164550","208 Azikiwe Street","Anambra","4.94208,8.32702","N"
"FBN PLC","ADH005907","22 Calabar Road","Cross River","4.948508,8.315457","N"
"UBN PLC CALABAR","ADH240780","12 Calabar Road Calabar","Cross River","4.948379,8.31542","N"
"FBN PLC","ADH006227","104 Mayne Avenue Road","Cross River","4.942636,8.323584","N"
"FIRST BANK AKAMKPA BRANCH","ADH007295","Ikom-calabar Highway","Cross River","4.941699,8.31453","N"
"ECOBANK NIGERIA PLC","ADH055683","31 Ikom Calabar Road","Cross River","4.941687,8.314535","N"
"FIRST BANK CALABARIMAN JUNCTION","ADH007008","67 Mbukpa Road","Cross River","4.933883,8.316869","N"
"WEMA BANK PLC","ADH111156","Le Meridien Hotel","FCT","5.055704,8.040225","N"
"ACCESS BANK","ADH167508","60 Ikot Ekpene Rd","Akwa Ibom","5.17233,8.00077","N"
"ACCESS BANK","ADH165726","40 Ikot Ekepene Road","Abia","5.17233,8.00077","N"
"POLARIS BANK LTD","ADH140239","58, Prince Utuks Street","Akwa Ibom","5.026003,7.959401","N"
"ACCESS BANK","ADH165979","Obosi 8 City Biscuit Rd Ugwuagba","Anambra","4.62391,8.469726","N"
"POLARIS BANK LTD","ADH141582","56 Nwaniba Street","Akwa Ibom","5.027844,7.942727","N"
"FBN PLC","ADH009538","252 Oron Road Uyo","Akwa Ibom","5.01015,7.940961","N"
"ACCESS BANK","ADH164417","21/23, Gibss Street, Uyo","Akwa Ibom","5.02104,7.93711","N"
"UBA 34 NWANIBA ROAD UYO AKS","ADH182765","Uyo","Akwa Ibom","5.030092,7.936399","N"
"FIRST BANK OF NIGERIA PLC","ADH008713","Uyo Oron Road","Akwa Ibom","5.028643,7.934257","N"
"FIRST BANK OF NIGERIA UYO CBD BRANCH","ADH006568","Plt2 Blcka Banking And Other Layout Udo","Akwa Ibom","5.002423,7.932738","N"
"GTBANK UYO 2","ADH092653","Plot 2 Block F Salvation Army Road Banki","Akwa Ibom","5.05127,7.9335","N"
"ACCESS BANK PLC","ADH161821","21 Wellighton Bassey Way","Akwa Ibom","5.035746,7.930063","N"
"UBN PLC 2ND UYO","ADH240108","Udo Udoma Avenue","Akwa Ibom","5.00363,7.928846","N"
"FIDELITY BANK","ADH202016","Bank Layout,","Akwa Ibom","5.002391,7.927973","N"
"ZENITH BANK","ADH082115","Plot 19 Aka Road","Akwa Ibom","5.032391,7.927285","N"
"GUARANTY TRUST BANK PLC","ADH090310","26 Aka Road","Akwa Ibom","5.031933,7.927073","N"
"HERITAGE BANK ENTREPRISE","ADH230923","41 Aka Road","Akwa Ibom","5.031935,7.927072","N"
"ECOBANK NIGERIA PLC","ADH056574","29 Aka Road","Akwa Ibom","5.030779,7.926575","N"
"ZENITH INTERNATIONAL BANK","ADH083699","Plot 11, Block 1, Abak Road Ho","Akwa Ibom","5.032245,7.924791","N"
"ACCESS BANK PLC","ADH161722","Aka Rd","Akwa Ibom","5.021853,7.922926","N"
"UBN PLC IKOT EKPENE","ADH241307","No 1b Uyo Road Ikot Ekpene","Akwa Ibom","5.036794,7.922784","N"
"ACCESS BANK","ADH165188","74 Abak Road","Akwa Ibom","5.031669,7.919619","N"
"ECOBANK NIGERIA PLC","ADH053724","12 Uyo Road, Nungudoe Ibesikpo","Akwa Ibom","5.040822,7.919841","N"
"KEYSTONE BANK UYO3","ADH191389","University Of Uyo Uyo Akwa Ibo","Akwa Ibom","5.040977,7.919852","N"
"KEYSTONE BANK UYO2","ADH192302","115 Ikot Ekpene Road","Akwa Ibom","5.039467,7.915156","N"
"WEMA BANK","ADH110166","Uyo","Akwa Ibom","5.03774,7.912795","N"
"UBN PLC UYOMAIN","ADH242540","No 1 Barracks Road Uyo","Akwa Ibom","5.03774,7.912795","N"
"UBA PLOT 15 BLK 1 ABAK RD UYO","ADH180202","Uyo","Akwa Ibom","5.03774,7.912795","N"
"UBA 7 13 AKA RD UYO AKWA IBOM","ADH181148","Uyo","Akwa Ibom","5.03774,7.912795","N"
"UBA UDO UDOMA AVENUE","ADH184844","Uyo","Akwa Ibom","5.03774,7.912795","N"
"STERLING BANK PLC","ADH101849","Plot 16 Block 1 Abak Road Estate","Akwa Ibom","5.02812,7.910468","N"
"UBA OJODU BO PLOT 104 ISHERI RD","ADH180873","Lagos","Lagos","6.63907,3.35681","N"
"ACCESS BANK PLC","ADH162130","Ibadan Challenge Challenge Area","OYO","6.63739,3.355372","N"
"ACCESS BANK PLC","ADH162129","Ojodu Berger 101 Isheri Road","Lagos","6.638856,3.361174","N"
"GTBANK OGBA 2","ADH092422","19 Isheri Road Opposite Waec Building","Lagos","6.63524,3.34844","N"
"POLARIS BANK LTD","ADH140338","37 38 Isheri Ojodu Road, Ogba","Lagos","6.635101,3.34881","N"
"UBA 26 ISHERI RD OJODU","ADH182051","Lagos","Lagos","6.63886,3.36203","N"
"FIDELITY BANK","ADH201752","Plot P, Blk 2 Ogba Housing Sch","Lagos","6.63535,3.34678","N"
"WEMA BANK PLC","ADH110429","Plot 45 Omole","Lagos","6.63468,3.35255","N"
"GTBANK","ADH091542","50 Isheri Road","Lagos","6.634564,3.350152","N"
