"name","orig_id","streetAddress","state","location","platinum"
"POSTA ROMANA","AE4122890","Str Victoriei Bl22a Nr22b","Buzau","45.381737,27.043071","N"
"BANCA TRANSILVANIA","AEB081251","Str Victoriei Nr 13f","Buzau","45.383009,27.041424","N"
"RAIFFEISEN BANK","AEB090293","Str Victoriei Nr 2","Buzau","45.381783,27.04257","N"
"CSV ROCRI BICAZ SRL","AEB403970","Str Barajului Nr Fn","Neamt","45.381395,27.042466","N"
"CSV ROCRI SRL","AEB403617","St M Kogalniceanu Nr 4d","Buzau","45.382878,27.04041","N"
"SPEED TRANSFER FINANCIAR SRL","AEB087675","Str Toamnei Bl 21b Parter","Buzau","45.380671,27.042554","N"
"POEANA SRL","AE4193827","Str Mihail Eminescu Nr 7","Buzau","45.377566,27.045275","N"
"POSTA ROMANA","AE4362919","Ramnicelu","Buzau","45.3638,27.1112","N"
"ROMERO EXCHANGE RAMNICU SARAT","AEB407534","Str Mihail Kogalniceanu Parter Bl 3c","Buzau","45.381862,27.035094","N"
"GINEL COMEXPO SRL 2","AE4715922","Sat Homesti","Buzau","45.36717,27.04815","N"
"MAGHI COM SRL","AE4512071","Sat Valea Ramnicului","Buzau","45.356864,27.052259","N"
"TERMOMEC DIOR SRL","AE4337852","Sat Oreavul  Nr  722","Buzau","45.36833,27.026161","N"
"POSTA ROMANA","AE4362634","Slobozia Bradului","Vrancea","45.481796,27.057135","N"
"POSTA ROMANA","AE4362854","Cotatcu","Buzau","45.4668,27.0125","N"
"POSTA ROMANA","AE4362623","Sihlea","Vrancea","45.499611,27.116983","N"
"DARDANIELA S R L","AE4575957","Strada Alexandru Sihleanu Nr 25","Vrancea","45.498775,27.123923","N"
"LALU ADINA PERSOANA FIZICA AUTORIZATA","AE4713283","Sat Obrejita","Vrancea","45.5018,27.088845","N"
"GINEL COMEXPO SRL","AE4715911","Sat Herasti","Buzau","45.400516,26.958734","N"
"MINONDASERV SRL","AE4576068","Sat Slimnic","Vrancea","45.510627,27.05646","N"
"POSTA ROMANA","AEB049967","Comuna Tamboiesti","Vrancea","45.51791,27.052252","N"
"COM FANION SRL","AE4682558","Sat Heliade Radulescu","Buzau","45.291389,27.120278","N"
"POSTA ROMANA","AEB045963","Comuna Ziduri","Buzau","45.286597,27.076119","N"
"MIH AND MARY MARKET SELECT S R L","AE4713481","Strada Gradinitei Nr 17","Buzau","45.27892,27.039326","N"
"MIH AND MARY MARKET SELECT S R L","AE4713524","Strada Principala Nr 29","Buzau","45.27016,27.09005","N"
"POSTA ROMANA","AE4361260","Dumbraveni","Vrancea","45.552004,27.107528","N"
"GESIMO NEW ERA SRL","AE4515029","Sat Ciorasti Tarlaua 16 Parcela 665","Vrancea","45.43043,27.304944","N"
"POSTA ROMANA","AE4361073","Loc Boldu","Buzau","45.304597,27.246237","N"
"POSTA ROMANA","AEB049923","Comuna Ciorasti","Vrancea","45.435354,27.314523","N"
"ARDELEANU ELENA GABRIELA INTREPRINDERE I","AE4713403","Strada M Kogalniceanu Bloc 6 Scara 2","Vrancea","45.566755,27.128511","N"
"ALINA MAGIC COM SRL","AE4576617","Sat Buda","Buzau","45.495921,26.902661","N"
"POSTA ROMANA","AE4369718","Com.buda","Buzau","45.495913,26.899599","N"
"POSTA ROMANA","AEB046513","Comuna Gugesti","Vrancea","45.569877,27.131969","N"
"CENUSA IRINA GABRIELA INTREPRINDERE INDI","AE4339942","Sat Gugesti","Vrancea","45.572796,27.132437","N"
"CALITEANU ALINA LILIANA INTREPRINDERE IN","AE4576530","Sat Dumitresti","Vrancea","45.554046,26.922278","N"
"100102 BC ISTRITA BUZAU - ZARNESTI","AE4233637","Agentia Istrita Buzau  Zarnesti  Pl","Buzau","45.296252,26.8798","N"
"FRUNCOIU C CORINA INTREPRINDERE INDIVIDU","AE4682866","Sat Dumitresti","Vrancea","45.555943,26.915003","N"
"DUVIRALUCA SRL","AE4397548","Sat Dumitresti Comuna Dumitresti","Vrancea","45.556462,26.914341","N"
"POSTA ROMANA","AEB048658","Sat Urechesti Comuna Urechesti","Vrancea","45.603036,27.071887","N"
"B C PUTNA FOCSANI URECHESTI","AE4237752","Comuna Urechesti","Vrancea","45.603036,27.071887","N"
"POSTA ROMANA","AEB046030","Comuna Zarnesti","Buzau","45.29671,26.867796","N"
"B C PUTNA FOCSANI DUMITRESTI","AE4237763","Comuna Dumitresti","Vrancea","45.562807,26.920735","N"
"POSTA ROMANA","AEB049934","Comuna Dumitresti","Vrancea","45.562807,26.920735","N"
"SILVIU COM SRL","AE4512169","Sat Valcelele Comuna Valcelele","Buzau","45.339467,27.359038","N"
"LA MITUS","AE4682064","Sat Bordeasca Veche","Vrancea","45.539227,27.315377","N"
"POSTA ROMANA","AE4362843","Cochirleanca","Buzau","45.208333,27.038889","N"
"RIGEIMAR SRL","AE4716055","Sat Lacu Lui Baban","Vrancea","45.60429,26.98207","N"
"POSTA ROMANA","AE4362777","Amara","Buzau","45.249994,27.292409","N"
"COSSEVAL MOBY S R L","AE4713821","Strada Unirii  Nr  147","Buzau","45.23994,27.28917","N"
"BAR MAURRO SRL","AE4715890","Sat Beceni Bloc 4 Etaj Parter","Buzau","45.38215,26.7662","N"
"POSTA ROMANA","AEB046041","Comuna Beceni","Buzau","45.38036,26.766467","N"
"BARBALATA DOBRITA INTREPRINDERE INDIVIDU","AE4247795","Sat Gologanu Comuna Gologanu","Vrancea","45.609248,27.267814","N"
"POSTA ROMANA","AEB049495","Sat Posta Calnau","Buzau","45.237778,26.866635","N"
"VIOREL SI ADRIANA SRL","AE4333979","Sat Posta Cilnau Nr 342a","Buzau","45.235928,26.856089","N"
"BAR MAURRO SRL","AE4191386","Sat Podu Muncii","Buzau","45.425712,26.744777","N"
"POSTA ROMANA","AE4520188","Drogu","Braila","45.182643,27.231741","N"
"POSTA ROMANA","AE4520078","Gradistea","Braila","45.266958,27.39258","N"
"POSTA ROMANA","AE4363284","Jirlau","Braila","45.162514,27.196228","N"
"MANOLE R DANIEL INTREPRINDERE INDIVIDUAL","AE4682833","Sat Cirligele","Vrancea","45.67239,27.088703","N"
"PURNAVEL PETREA INTREPRINDERE INDIVIDUAL","AE4397845","Strada Scolii Nr 27","Braila","45.230025,27.370324","N"
"POSTA ROMANA","AE4362766","Vintila Voda","Buzau","45.471673,26.72503","N"
"VADCHIM COLOR SRL","AE4336950","Sat Vintila Voda","Buzau","45.472615,26.724188","N"
"Focsani 2  Calea Bucuresti","AE4540559","B Dul Bucuresti Fn","Vrancea","45.67278,27.17432","N"
"SC PEDINABRIGHT EXCHANGE SRL","AEB404883","Bdul Bucuresti Nr 27 Block L1 Ap P","Vrancea","45.677854,27.178574","N"
"BANCA TRANSILVANIA","AEB081240","Blvd Bucuresti Nr 11","Vrancea","45.681122,27.181182","N"
"CSV ROCRI SRL","AEB403662","St Bucuresti Bl 9","Vrancea","45.682656,27.182186","N"
"POSTA ROMANA","AE4363327","Racovita","Braila","45.300187,27.464693","N"
"STEFAN MONTANA SRL","AE4683483","Sat Sarbesti","Buzau","45.476487,26.703227","N"
"BORCEA ARISTITA INTREPRINDERE INDIVIDUAL","AE4682350","Sat Rastoaca","Vrancea","45.661288,27.280975","N"
"FAMILY ISTRATE SRL","AE4715153","Sat Dalhauti","Vrancea","45.69163,27.04479","N"
"STELAGEO MARKET SRL","AE4715845","Sat Hingulesti T 13 P 1099 1100 1101","Vrancea","45.591116,27.406413","N"
"K ROXI 2000 SRL","AE4398088","Sat Hingulesti","Vrancea","45.593137,27.405499","N"
"POSTA ROMANA","AE4363383","Visani","Braila","45.156068,27.284895","N"
"GEOMEX 94 SRL","AE4390178","Sat Bajani Comuna Vadu Pasii","Buzau","45.167612,26.872892","N"
"BSG AMANET AND EXCHANGE","AE4641133","Bd Unirii  Nr 14","Vrancea","45.690646,27.185258","N"
"VISVAL AGRO SRL","AE4393632","Bulevardul Brailei Nr 45 Bloc 45","Vrancea","45.690252,27.19416","N"
"CSV ROCRI SRL","AEB403640","Bd Unirii 20 Ap 88","Vrancea","45.692033,27.185387","N"
"PEDINABRIGHT EXCHANGE 5","AEB404926","Blvd Unirii 20 Bl B2 Ap 46","Vrancea","45.692033,27.185387","N"
"ROMERO EXCHANGE SRL FOCSANI","AEB408492","Bulevardul Unirii Nr 24 Bloc B1 Scara 2","Vrancea","45.692968,27.183216","N"
"ROCRI BOTOSANI 11","AEB404113","Calea Nationala Nr 70","Botosani","45.693089,27.184728","N"
"POSTA ROMANA","AEB046018","Comuna Vadu Pasii","Buzau","45.159608,26.88215","N"
