"name","orig_id","streetAddress","state","location","platinum"
"СОВКОМБАНК","ARX914543","Карла Маркса Ул.., 23, Помещ.. 21-22","","51.376918,128.13806","N"
"ВОСТОЧНЫЙ ЭКСПРЕСС БАНК","ARX178048","К.маркса Ул.., 23","","51.37692,128.13806","N"
"АЗИАТСКО-ТИХООКЕАНСКИЙ БАНК","ARX133409","Лазо-орджоникидзе Ул.., 70-57, Пом.31","","51.346978,128.146252","N"
"АЗИАТСКО-ТИХООКЕАНСКИЙ БАНК","ARX035608","Ленина Ул.., 81","","51.384749,128.131596","N"
"Почта России","AK4063148","Серышевская Ул.., 25, Квартира 6","","51.274982,128.242942","N"
"Почта России","AK4063094","Школьная Ул.., 19","","51.509919,128.133078","N"
"Почта России","AK4063137","Толстого Ул.., 3","","51.229102,127.988","N"
"Почта России","AK4063115","Почтовая Ул.., 14, Подъезд. 1, Квартира 2","","51.123771,128.351748","N"
"ВОСТОЧНЫЙ ЭКСПРЕСС БАНК","ARX130583","Горького Ул.., 5","","51.09828,128.38268","N"
"СОВКОМБАНК","ARX912772","Горького Ул.., 5","","51.098278,128.38268","N"
"Почта России","AK4063083","Иванова Ул.., 35, Кв. 13","","50.986941,128.142825","N"
"Почта России","AK4063159","Маршала Неделина Ул.., 42","","51.764743,128.119666","N"
"Почта России","AK4063126","Центральная Ул.., Зд.. 51","","50.959026,128.334729","N"
"Почта России","AK4062972","Центральная Ул.., 21","","50.970545,127.82884","N"
