"name","orig_id","streetAddress","state","location","platinum"
"OSCHADBANK","AUN638099","Ave Mayakovskogo Volodimira 73 Lit","Kiev","50.516876,30.616561","N"
"NOVA POSHTA","AUA760816","Mayakovskogo Av  75b","Kyivska","50.517076,30.615648","N"
"PRIVATBANK","AUN374746","Mayakovskogo Av  73a","Kyivska","50.51663,30.61596","N"
"NOVA POSHTA","AUA780650","Mayakovskogo Av  44a","Kyivska","50.516579,30.618562","N"
"OSCHADBANK","AUN702514","Pr Kt Mayakovskogo Volodimira 63 12","Kiev","50.513617,30.613435","N"
"NOVA POSHTA","AUA759971","Mayakovskogo Av  63 12","Kyivska","50.513523,30.613581","N"
"ALFA BANK","AUN325281","Pr  Mayakovskogo 63 12","Kyivska","50.51359,30.6133","N"
"PRIVATBANK","AUN169948","Mayakovskogo Av. 38/10/268","Kyivska","50.513051,30.615463","N"
"OSCHADBANK","AUN638088","Str Balzaka Onore 66","Kiev","50.519751,30.608961","N"
"NOVA POSHTA","AUA759487","Kdankevycha Str  16 Office 1","Kyivska","50.521991,30.611208","N"
"OSCHADBANK","AUN702547","Str Zakrevskogo Mikoli 75 2","Kiev","50.517821,30.626047","N"
"PRIVATBANK","AUN371853","Mariny Tsvetaevoy St  13","Kyivska","50.523055,30.610296","N"
"RAIFFEISEN BANK","AUN033098","Zakrevskogo Str 51 2","Kyivska","50.51045,30.62069","N"
"NOVA POSHTA","AUA760124","O Saburova Str  2a","Kyivska","50.511371,30.624044","N"
"OSCHADBANK","AUN638109","Pr Kt Mayakovskogo Volodimira 60 10","Kiev","50.524057,30.620631","N"
"PRIVATBANK","AUN377365","Vladimira Mayakovskogo Av 26","Kyivska","50.50935,30.61105","N"
"FUIB","AUN441242","Lavrukhina Str. 4","Kyivska","50.516514,30.60191","N"
"OSCHADBANK","AUN638055","Str Zakrevskogo Mikoli 47","Kiev","50.507567,30.617747","N"
"OSCHADBANK","AUN638022","Ave Mayakovskogo Volodimira 45 Lit","Kiev","50.509126,30.607174","N"
"PRIVATBANK","AUN370654","Gradinskaya St. 1","Kyivska","50.517847,30.600865","N"
"PRIVATBANK","AUN345333","Balzaka Onore De 55 St  B","Kyivska","50.514575,30.601031","N"
"ACCENT BANK   BRANCH A213","AUN621048","Lavruhina Str  3","Kiev","50.515747,30.600445","N"
"NOVA POSHTA","AUA760850","Lavrukhinamykoly Str  3 Prym 10","Kyivska","50.515906,30.600227","N"
"NOVA POSHTA","AUA760805","Balzaka Str  42 20","Kyivska","50.512498,30.601683","N"
"OSCHADBANK","AUN702536","Str Balzaka Onore 42 20","Kiev","50.512437,30.601227","N"
"NOVA POSHTA","AUA762951","Mayakovskogo Volodymyra Av  26a","Kyivska","50.506728,30.610297","N"
"NOVA POSHTA","AUA762654","Str  Gradynska Str  7","Kyivska","50.518232,30.598747","N"
"NOVA POSHTA","AUA759915","Mayakovskogo Av  97 15","Kyivska","50.528093,30.619228","N"
"NOVA POSHTA","AUA760421","Zakrevskogo Str  87","Kyivska","50.525976,30.627593","N"
"NOVA POSHTA","AUA760904","Liskivska Str  12 1a","Kyivska","50.525064,30.600332","N"
"OSCHADBANK","AUN638110","Str Liskivska 12 1 Lit A","Kiev","50.525082,30.600095","N"
"UKRAINIAN FINANCIAL GROUP","AUN159202","Liskovskaya Str 12 1","Kyivska","50.52554,30.59962","N"
"NOVA POSHTA","AUA780715","Onorede Balzaka Str  91 29a","Kyivska","50.53243,30.60828","N"
"RAIFFEISEN BANK","AUN038026","Drayzera Str 6","Kyivska","50.501936,30.606087","N"
"RAIFFEISEN BANK","AUN105951","Draisera Str 6","Kyivska","50.502024,30.605592","N"
"NOVA POSHTA","AUA783851","Zakrevskogo Str  12","Kyivska","50.500559,30.612672","N"
"PRIVATBANK","AUN375473","Drayzera St 4","Kyivska","50.50165,30.604842","N"
"PRIVATBANK","AUN165274","Drayzera St. 4","Kyivska","50.50165,30.604842","N"
"NOVA POSHTA","AUA762973","Radunska Str  13a","Kyivska","50.530896,30.59863","N"
"NOVA POSHTA","AUA781552","Mayakovskogo Volodymyra Str  10","Kyivska","50.502791,30.595547","N"
"PRIVATBANK","AUN261820","Miloslavskaya St. 43a","Kyivska","50.531602,30.595939","N"
"PRIVATBANK","AUN169838","Onore Balzaka St. 16","Kyivska","50.507429,30.58774","N"
"NOVA POSHTA","AUA762885","Zakrevskogomykoly Str  21","Kyivska","50.498043,30.603499","N"
"PRAVEX BANK","AUN110098","Mayakovskogo Ave. 8","Kyivska","50.50182,30.59411","N"
"PIVDENNYI N2603","AUN570689","Mayakovskogo 17 Av","Kyivska","50.502776,30.591588","N"
"KREDOBANK","AUN157640","Taracshanskaya Str  191a","Kyivska","50.51194,30.583521","N"
"UKRPOSHTA","AUN242856","Mayakovskogo 15","Kyivska","50.501777,30.591461","N"
"OSCHADBANK","AUN638077","Pr Kt Mayakovskogo Volodimira 15","Kiev","50.501775,30.591453","N"
"NOVA POSHTA","AUA760146","Mayakovskogo Av  15a","Kyivska","50.502025,30.591072","N"
"NOVA POSHTA","AUA761181","Mykolykybalchycha Str  23","Kyivska","50.493563,30.604703","N"
"PRIVATBANK","AUN370379","Nikolaya Kibalchicha St  11v","Kyivska","50.493214,30.598572","N"
"OSCHADBANK","AUN637834","Str Kibalchicha Mikoli 11 B","Kiev","50.492745,30.599385","N"
"TASCOMBANK JSC","AUN441758","V Mayakovskogo 26","Kyivska","50.51021,30.575455","N"
"NOVA POSHTA","AUA760432","Balzaka Str  4","Kyivska","50.499493,30.577573","N"
"ALFA BANK","AUN447161","Bratuslavska 11","Kuivska","50.487033,30.610198","N"
"NOVA POSHTA","AUA759795","Kurnatovskogo Str  15","Kyivska","50.487557,30.602018","N"
"OSCHADBANK","AUN703207","Str Mikitenka Ivana 7 V","Kiev","50.487771,30.595388","N"
"NOVA POSHTA","AUA760894","Volkova Str  16a Prym  142","Kyivska","50.487877,30.637936","N"
"PRIVATBANK","AUN202904","Perova Blvd. 30","Kyivska","50.487016,30.593187","N"
"NOVA POSHTA","AUA763172","Stalskogosulejmana Str  20 Prym 1a","Kyivska","50.484577,30.602771","N"
"OSCHADBANK","AUN637801","Pr Kt Vatutina Generala 2 A","Kiev","50.493398,30.578104","N"
"NOVA POSHTA","AUA760135","P Vershygory Str  1a","Kyivska","50.493335,30.576398","N"
"NOVA POSHTA","AUA785303","Ivana Franka Str  60","Ivano Frankivska","50.551283,30.628915","N"
"UKRPOSHTA","AUN242582","Lisniy Ave 25","Kyivska","50.482675,30.631982","N"
"PRIVATBANK","AUN375363","Lesnoy Av  23","Kyivska","50.482504,30.631258","N"
"NOVA POSHTA","AUA780649","Rajduzhna Str  15","Kyivska","50.486655,30.585215","N"
"ALFA BANK","AUN283831","Perova St 32","Kyivska","50.482912,30.594328","N"
"FUIB","AUN444168","Perova Av 32","Kyivska","50.482814,30.594302","N"
"NOVA POSHTA","AUA760795","Rajduzhna Str  25a","Kyivska","50.483531,30.586051","N"
"NOVA POSHTA","AUA784357","Perova Blvd  24","Kyivska","50.480377,30.595086","N"
"OSCHADBANK","AUN638044","Str Kurchatova Akademika 25 37","Kiev","50.479254,30.635165","N"
"RAIFFEISEN BANK","AUN108613","Perova Bul 22","Kyivska","50.479494,30.595442","N"
"NOVA POSHTA","AUA760069","Akademika Kurchatova Str  19a","Kyivska","50.478381,30.631256","N"
"PRIVATBANK","AUN349052","Perova Blvd  5","Kyivska","50.479493,30.594642","N"
"NOVA POSHTA","AUA761312","Kurchatova Akademika Str  8 B","Kyivska","50.474813,30.626224","N"
"PRIVATBANK","AUN483206","Kubanskoy Ukrainy 29","Kyivska","50.475734,30.637519","N"
"OSCHADBANK","AUN638033","Str Bratislavska 30","Kiev","50.472369,30.624017","N"
"OSCHADBANK","AUN702493","Str Sholom Alejkhema 22","Kiev","50.473143,30.638157","N"
"PRIVATBANK","AUN484142","Alishera Navoi St 69","Kievska","50.471767,30.599439","N"
"NOVA POSHTA","AUA759685","Milyutenka Str  11a","Kyivska","50.471005,30.631141","N"
"NOVA POSHTA","AUA785699","Lobanovskogo Av  6a","Kyivska","50.470411,30.602248","N"
"NOVA POSHTA","AUA785875","Voskresenska Str  18","Kyivska","50.470357,30.602327","N"
"PRIVATBANK","AUN372975","Miropolskaya St  27","Kyivska","50.469534,30.619969","N"
"NOVA POSHTA","AUA761158","Perova Blvd  10","Kyivska","50.470346,30.598998","N"
"NOVA POSHTA","AUA761170","Bratyslavska Str  14 B","Kyivska","50.467417,30.629064","N"
"NOVA POSHTA","AUA785512","Prymiska Str  26 Prym  8","Kyivska","50.467865,30.598916","N"
"NOVA POSHTA","AUA785808","Kioto Str  25","Kyivska","50.468146,30.646418","N"
"NOVA POSHTA","AUA785633","Mikrorajon Gornyatskyj Str  36b","Dnipropetrovska","50.467996,30.646354","N"
"NOVA POSHTA","AUA760652","Darnytskyj Blvd  23","Kyivska","50.463634,30.609979","N"
"OSCHADBANK","AUN708840","Str Kioto 19","Kiev","50.464792,30.636806","N"
"NOVA POSHTA","AUA760838","Prosp Brovarskyj Str  3 V","Kyivska","50.469365,30.655972","N"
"OSCHADBANK","AUN703218","Str Malishka Andriya 39","Kiev","50.461779,30.626883","N"
"OSCHADBANK","AUN637791","Str Malishka Andriya 15 1","Kiev","50.459663,30.619202","N"
"ACCENT BANK   BRANCH AN7K","AUN621170","Popudrenko Str  52","Kiev","50.45999,30.634105","N"
"PRIVATBANK","AUN374999","Malyshka St  5","Kyivska","50.458596,30.615681","N"
"PRIVATBANK","AUN163272","Malyshko St. 5","Kyivska","50.458488,30.614111","N"
"NOVA POSHTA","AUA759959","Brovarskyj Av  29","Kyivska","50.458178,30.618951","N"
"NOVA POSHTA","AUA759508","Magnitogorska Str  1a","Kyivska","50.460917,30.644179","N"
"JSC BANK SICH BRANCH 12","AUN542453","Magnitogorsky Str 1a","Kyiv Region","50.45911,30.637709","N"
"NOVA POSHTA","AUA761213","Panelna Str  4 Prym 220","Kyivska","50.459529,30.585893","N"
